CI	S IY
CITROUS	S IH T R AH S
CITRULLINE	S IH T R AH L AY N
CITRULLINES	S IH T R AH L AY N Z
CITRUS	S IH T R AH S
CITRUSES	S IH T R AH S IH Z
CITRUSY	S IH T R AH S IY
CITTERN	S IH T AH R N
CITTERNS	S IH T AH R N Z
CITY	S IH T IY
CITYFIED	S IH T AH F AY D
CITYSCAPE	S IH T IY S K EY P
CITYSCAPES	S IH T IY S K EY P S
CITYWARD	S IH T IY W ER D
CITYWIDE	S IH T IY W AY D
CIVET	S IH V AH T
CIVETS	S IH V AH T S
CIVIC	S IH V IH K
CIVICALLY	S IH V IH K AH L IY
CIVICISM	S IH V IH K IH Z AH M
CIVICISMS	S IH V IH K IH Z AH M Z
CIVICS	S IH V IH K S
CIVIE	S IH V AY
CIVIES	S AH V AY Z
CIVIL	S IH V AH L
CIVILIAN	S AH V IH L Y AH N
CIVILIANIZATION	S AH V IH L Y AH N AH Z EY SH AH N
CIVILIANIZATIONS	S AH V IH L Y AH N AH Z EY SH AH N Z
CIVILIANIZE	S AH V IH L Y AH N AY Z
CIVILIANIZED	S AH V IH L Y AH N AY Z D
CIVILIANIZES	S AH V IH L Y AH N AY Z IH Z
CIVILIANIZING	S AH V IH L Y AH N AY Z IH NG
CIVILIANS	S AH V IH L Y AH N Z
CIVILISATION	S IH V AH L IY Z EY SH AH N
CIVILISATIONS	S IH V AH L IY Z EY SH AH N Z
CIVILISE	S IH V AH L AY Z
CIVILISED	S IH V AH L IY Z D
CIVILISES	S IH V AH L IY Z IH Z
CIVILISING	S IH V AH L IY Z IH NG
CIVILITIES	S AH V IH L AH T IY Z
CIVILITY	S AH V IH L AH T IY
CIVILIZATION	S IH V AH L IH Z EY SH AH N
CIVILIZATIONAL	S IH V AH L AH Z EY SH AH N AH L
CIVILIZATIONS	S IH V AH L IH Z EY SH AH N Z
CIVILIZE	S IH V AH L AY Z
CIVILIZED	S IH V AH L AY Z D
CIVILIZER	S IH V AH L AY Z ER
CIVILIZERS	S IH V AH L AY Z ER Z
CIVILIZES	S IH V AH L AY Z IH Z
CIVILIZING	S IH V AH L AY Z IH NG
CIVILLY	S IH V IH L IY
CIVISM	S AY V AH Z AH M
CIVISMS	S IH V AH Z AH M Z
CIVVIES	S IH V AY Z
CIVVY	S IH V IY
CLASSICISM	K L AE S IH S IH Z AH M
CLASSICISMS	K L AE S IH K S IH Z AH M Z
CLASSICIST	K L AE S AH S AH S T
CLASSICISTIC	K L AE S AH S AH S T IH K
CLASSICISTS	K L AE S AH S AH S T S
CLASSICIZE	K L AE S IH K S AY Z
CLASSICIZED	K L AE S IH K S AY Z D
CLASSICIZES	K L AE S IH K S AY Z IH Z
CLASSICIZING	K L AE S IH K S AY Z IH NG
CLEMENCIES	K L EH M AH N S IY Z
CLINICIAN	K L IH N IH SH AH N
CLINICIANS	K L IH N IH SH AH N Z
CLIOMETRICIAN	K L AY AH M EH T R IH S IY AH N
CLIOMETRICIANS	K L AY AH M AH T R IH S IY AH N Z
CLONICITIES	K L AA N IH K AH T IY Z
CLONICITY	K L AA N IH K AH T IY
CLOXACILLIN	K L AA K S AH S IH L AH N
CLOXACILLINS	K L AA K S AH S IH L AH N Z
COAGENCIES	K OW EY JH AH N S IY Z
COALESCING	K OW AH L EH S IH NG
COCARCINOGEN	K OW K AA R S IH N AH JH AH N
COCARCINOGENIC	K OW K AA R S IH N AH JH AH N AH K
COCARCINOGENS	K OW K AA R S IH N AH JH AH N Z
COCCI	K AA K S IY
COCCIC	K AA K S AH K
COCCID	K AA K S IH D
COCCIDIA	K AA K S IH D IY AH
COCCIDIOIDOMYCOSES	K AA K S AH D IY OY D AA M AH K OW Z AH Z
COCCIDIOIDOMYCOSIS	K AA K S IH D IY OY D OW M AY K OW S AH S
COCCIDIOSES	K AA K S IH D IY OW Z AH Z
COCCIDIOSIS	K AA K S IH D IY OW S AH S
COCCIDIUM	K AA K S IH D IY AH M
COCCIDS	K AA K S IH D Z
COCINERA	K OW S IH N AH R AH
COCINERAS	K OW S IH N AH R AH Z
CODEPENDENCIES	K OW D IH P EH N D AH N S IY Z
CODICIL	K OW D IH S AH L
CODICILLARY	K OW D IH K S IH L EH R IY
CODICILS	K AH D IH S AH L Z
COEFFICIENT	K OW AH F IH SH AH N T
COEFFICIENTS	K OW AH F IH SH AH N T S
COERCIBLE	K OW ER S AH B AH L
COERCING	K OW ER S IH NG
COERCION	K OW ER SH AH N
COERCIONS	K OW ER SH AH N Z
COERCIVE	K OW ER S IH V
COERCIVELY	K OW ER S IH V L IY
COERCIVENESS	K OW ER S IH V N AH S
COERCIVENESSES	K OW ER S IH V N AH S IH Z
COERCIVITIES	K OW ER S IH V AH T IY Z
COERCIVITY	K OW ER S IH V AH T IY
COFINANCING	K OW F AH N AE N S IH NG
COGENCIES	K OW JH AH N S IY Z
COGNOSCIBLE	K AH N AA S AH B AH L
COHERENCIES	K OW HH IH ER AH N S IY Z
COINCIDE	K OW IH N S AY D
COINCIDED	K OW AH N S AY D AH D
COINCIDENCE	K OW IH N S IH D AH N S
COINCIDENCES	K OW IH N S AH D AH N S IH Z
COINCIDENT	K OW IH N S AH D AH N T
COINCIDENTAL	K OW IH N S AH D EH N T AH L
COINCIDENTALLY	K OW IH N S IH D EH N T AH L IY
COINCIDENTLY	K OW IH N S AH D AH N T L IY
COINCIDES	K OW IH N S AY D Z
COINCIDING	K OW AH N S AY D IH NG
COLCHICINE	K AO L CH AH S IY N
COLCHICINES	K AA L CH AH S AY N Z
COLICIN	K OW L IH K S IH N
COLICINE	K OW L AH S AY N
COLICINES	K OW L AH S AY N Z
COLICINS	K OW L IH K S IH N Z
COLONELCIES	K OW L AH N EH L S AY Z
COMMENCING	K AH M EH N S IH NG
COMMERCIAL	K AH M ER SH AH L
COMMERCIALISE	K AA M AH R S IY AH L AY Z
COMMERCIALISED	K AH M ER SH AH L IY Z D
COMMERCIALISES	K AH M ER SH AH L IY Z IH Z
COMMERCIALISING	K AH M ER SH AH L IY Z IH NG
COMMERCIALISM	K AH M ER SH AH L IH Z AH M
COMMERCIALISMS	K AH M ER SH AH L IH Z AH M Z
COMMERCIALIST	K AH M ER SH AH L IH S T
COMMERCIALISTIC	K AH M ER SH AH L IH S T IH K
COMMERCIALISTS	K AH M ER SH AH L IH S T S
COMMERCIALITIES	K AH M ER SH AH L AH T IY Z
COMMERCIALITY	K AH M ER SH AH L AH T IY
COMMERCIALIZATION	K AH M ER SH AH L IH Z EY SH AH N
COMMERCIALIZATIONS	K AH M ER SH AH L AH Z EY SH AH N Z
COMMERCIALIZE	K AH M ER SH AH L AY Z
COMMERCIALIZED	K AH M ER SH AH L AY Z D
COMMERCIALIZES	K AH M ER SH AH L AY Z IH Z
COMMERCIALIZING	K AH M ER SH AH L AY Z IH NG
COMMERCIALLY	K AH M ER SH AH L IY
COMMERCIALS	K AH M ER SH AH L Z
COMMERCING	K AA M ER S IH NG
COMPETENCIES	K AA M P AH T IH N S IY Z
COMPLACENCIES	K AH M P L EY S AH N S IY Z
COMPLIANCIES	K AH M P L AY AH N S IY Z
COMPLICACIES	K AA M P L AH K AH S IY Z
COMPLICIT	K AH M P L IH S AH T
COMPLICITIES	K AH M P L IH S IH T IY Z
COMPLICITOUS	K AA M P L IH S AH T AH S
COMPLICITY	K AH M P L IH S AH T IY
COMPLICITY(2)	K AH M P L IH S IH T IY
CONCENTRICITIES	K AH N S EH N T R IH K AH T IY Z
CONCENTRICITY	K AH N S EH N T R IH K AH T IY
CONCIERGE	K AA N S IY EH R ZH
CONCIERGES	K OW N S Y EH R ZH IH Z
CONCILIAR	K AH N S IH L IY ER
CONCILIARLY	K AH N S IH L IY ER L IY
CONCILIATE	K AH N S IH L IY EY T
CONCILIATED	K AH N S IH L IY EY T IH D
CONCILIATES	K AH N S IH L IY EY T S
CONCILIATING	K AH N S IH L IY EY T IH NG
CONCILIATION	K AH N S IH L IY EY SH AH N
CONCILIATIONS	K AH N S IH L IY EY SH AH N Z
CONCILIATIVE	K AH N S IH L IY EY T IH V
CONCILIATOR	K AH N S IH L IY EY T ER
CONCILIATORS	K AH N S IH L IY EY T ER Z
CONCILIATORY	K AH N S IH L IY AH T AO R IY
CONCILIATORY(2)	K AH N S IH L Y AH T AO R IY
CONCINNITIES	K AA N S IH N AH T AY Z
CONCINNITY	K AA N S IH N AH T IY
CONCISE	K AH N S AY S
CONCISELY	K AH N S AY S L IY
CONCISENESS	K AH N S AY S N AH S
CONCISENESSES	K AH N S AY S N AH S IH Z
CONCISER	K AH N S AY S ER
CONCISEST	K AH N S AY S AH S T
CONCISION	K AH N S AY ZH AH N
CONCISIONS	K AH N S AY ZH AH N Z
CONCUPISCIBLE	K AA N K Y AH P IH S AH B AH L
CONCURRENCIES	K AH N K ER AH N S IY Z
CONDUCING	K AH N D UW S IH NG
CONDUCIVE	K AH N D UW S IH V
CONDUCIVENESS	K AH N D UW S IH V N AH S
CONDUCIVENESSES	K AH N D UW S IH V N AH S IH Z
CONFEDERACIES	K AH N F EH D ER AH S IY Z
CONFERENCING	K AA N F R AH N S IH NG
CONFERENCINGS	K AA N F AH R AH N S IH NG Z
CONGRUENCIES	K AH N G R UW AH N S IY Z
CONICITIES	K AA N IH K AH T IY Z
CONICITY	K AA N IH K AH T IY
CONSCIENCE	K AA N SH AH N S
CONSCIENCELESS	K AA N CH AH N S L AH S
CONSCIENCES	K AA N CH IH N S IH Z
CONSCIENTIOUS	K AA N SH IY EH N SH AH S
CONSCIENTIOUSLY	K AA N CH IY EH N CH AH S L IY
CONSCIENTIOUSNESS	K AA N CH IY EH N CH AH S N AH S
CONSCIENTIOUSNESSES	K AA N CH IY EH N CH AH S N AH S IH Z
CONSCIONABLE	K AA N CH AH N AH B AH L
CONSCIOUS	K AA N SH AH S
CONSCIOUSES	K AA N SH AH S IH Z
CONSCIOUSLY	K AA N SH AH S L IY
CONSCIOUSNESS	K AA N SH AH S N AH S
CONSCIOUSNESSES	K AA N SH AH S N AH S IH Z
CONSERVANCIES	K AH N S ER V AH N S IY Z
CONSISTENCIES	K AH N S IH S T AH N S IY Z
CONSOCIATE	K AH N S OW SH AH T
CONSOCIATED	K AH N S OW SH EY T IH D
CONSOCIATES	K AH N S OW SH AH T S
CONSOCIATING	K AH N S OW SH EY T IH NG
CONSOCIATION	K AH N S OW SH EY SH AH N
CONSOCIATIONAL	K AH N S OW SH EY SH AH N AH L
CONSOCIATIONS	K AH N S OW SH EY SH AH N Z
CONSONANCIES	K AA N S AH N AH N S IY Z
CONSPECIFIC	K AH N S P IH S IH F IH K
CONSPECIFICS	K AH N S P IH S IH F IH K S
CONSPIRACIES	K AH N S P IH R AH S IY Z
CONSTANCIES	K AA N S T AH N S IY Z
CONSTITUENCIES	K AH N S T IH CH UW AH N S IY Z
CONSULTANCIES	K AH N S AH L T AH N S IY Z
CONTINGENCIES	K AH N T IH N JH AH N S IY Z
CONTUMACIES	K AH N T UW M AH S IY Z
CONTUMACIOUS	K AH N T UW M AH S IY AH S
CONTUMACIOUSLY	K AH N T UW M AH S IY AH S L IY
CONVALESCING	K AA N V AH L EH S IH NG
CONVENIENCIES	K AH N V IY N Y AH N S IY Z
CONVERGENCIES	K AH N V ER JH AH N S IY Z
CONVERSANCIES	K AH N V ER S AH N S IY Z
CONVEYANCING	K AH N V EY AH N S IH NG
CONVEYANCINGS	K AH N V EY AH N S IH NG Z
CONVINCING	K AH N V IH N S IH NG
CONVINCINGLY	K AH N V IH N S IH NG L IY
CONVINCINGNESS	K AH N V IH N S IH NG N AH S
CONVINCINGNESSES	K AH N V IH N S IH NG N AH S IH Z
COPPICING	K AA P IH K S IH NG
COPRINCIPAL	K OW P R IH N S AH P AH L
COPRINCIPALS	K OW P R IH N S AH P AH L Z
COPRODUCING	K OW P R AH D UW S IH NG
CORECIPIENT	K OW R IH S IH P IY AH N T
CORECIPIENTS	K OW R IH S IH P IY AH N T S
CORNETCIES	K AA R N EH T S AY Z
CORNICING	K AO R N IH K S IH NG
CORPULENCIES	K AO R P Y AH L AH N S IY Z
CORRESPONDENCIES	K AO R AH S P AA N D AH N S IY Z
COSMETICIAN	K AA S M AH T IH S IY AH N
COSMETICIANS	K AA S M AH T IH S IY AH N Z
COSMETICIZE	K AA Z M EH T IH K AY Z
COSMETICIZED	K AA Z M EH T IH K AY Z D
COSMETICIZES	K AA Z M EH T IH K AY Z IH Z
COSMETICIZING	K AA Z M EH T IH K AY Z IH NG
COTRANSDUCING	K OW T R AE N S D UW S IH NG
COUNCIL	K AW N S AH L
COUNCILLOR	K AW N S AH L ER
COUNCILLORS	K AW N S AH L ER Z
COUNCILLORSHIP	K AW N S AH L ER SH IH P
COUNCILLORSHIPS	K AW N S AH L ER SH IH P S
COUNCILMAN	K AW N S AH L M AH N
COUNCILMANIC	K AW N S AH L M AE N IH K
COUNCILMEN	K AW N S AH L M EH N
COUNCILOR	K AW N S IH L ER
COUNCILORS	K AW N S IH L ER Z
COUNCILS	K AW N S IH L Z
COUNCILWOMAN	K AW N S IH L W UH M AH N
COUNCILWOMEN	K AW N S IH L W IH M AH N
COUNTENANCING	K AW N T AH N AH N S IH NG
COUNTERBALANCING	K AW N T ER B AE L AH N S IH NG
COUNTERBALANCING(2)	K AW N ER B AE L AH N S IH NG
COUNTERCOMMERCIAL	K AW N T ER K AH M ER SH AH L
COUNTERCONSPIRACIES	K AW N T ER K AH N S P IH R AH S IY Z
COUNTERCRITICISM	K AW N T ER K R IH T AH S IH Z AH M
COUNTERCRITICISMS	K AW N T ER K R IH T AH S IH Z AH M Z
COUNTERINFLUENCING	K AW N T ER IH N F L UW AH N S IH NG
COUNTERINSURGENCIES	K AW N T ER IH N S ER JH AH N S IY Z
COUNTERINSURGENCIES(2)	K AW N ER IH N S ER JH AH N S IY Z
COUNTERSCIENTIFIC	K AW N T ER S AY AH N T IH F IH K
COUNTERTENDENCIES	K AW N T ER T EH N D AH N S IY Z
COVALENCIES	K OW V EY L AH N S IY Z
CRANIOFACIAL	K R EY N IY AH F AH S IY AH L
CRESCIVE	K R EH S IH V
CRESCIVELY	K R EH S IH V L IY
CRITICISE	K R IH T AH S AY Z
CRITICISED	K R IH T IH K IY Z D
CRITICISES	K R IH T IH K IY Z IH Z
CRITICISING	K R IH T IH K IY Z IH NG
CRITICISM	K R IH T IH S IH Z AH M
CRITICISMS	K R IH T IH S IH Z AH M Z
CRITICIZABLE	K R IH T AH S AY Z AH B AH L
CRITICIZE	K R IH T IH S AY Z
CRITICIZED	K R IH T AH S AY Z D
CRITICIZER	K R IH T AH S AY Z ER
CRITICIZERS	K R IH T AH S AY Z ER Z
CRITICIZES	K R IH T IH S AY Z IH Z
CRITICIZING	K R IH T IH S AY Z IH NG
CROCI	K R AA S IY
CROCIDOLITE	K R AH S IH D AH L AY T
CROCIDOLITES	K R AH S IH D AH L AY T S
CROCINE	K R AH S AY N
CRUCIAL	K R UW SH AH L
CRUCIALLY	K R UW SH AH L IY
CRUCIAN	K R UW SH AH N
CRUCIANS	K R UW S IY AH N Z
CRUCIATE	K R UW S AY EY T
CRUCIBLE	K R UW S AH B AH L
CRUCIBLES	K R UW S AH B AH L Z
CRUCIFER	K R UW S AY F AH R
CRUCIFEROUS	K R UW S IH F AH R AH S
CRUCIFERS	K R UW S AH F AH R Z
CRUCIFIED	K R UW S AH F AY D
CRUCIFIES	K R UW S AH F AY Z
CRUCIFIX	K R UW S AH F IH K S
CRUCIFIXES	K R UW S AH F IH K S IH Z
CRUCIFIXION	K R UW S IH F IH K SH AH N
CRUCIFIXIONS	K R UW S AH F IH K SH AH N Z
CRUCIFORM	K R UW S AH F AH R M
CRUCIFORMS	K R UW S AH F AH R M Z
CRUCIFY	K R UW S AH F AY
CRUCIFYING	K R UW S AH F AY IH NG
CRUCIVERBALIST	K R UW S AH V AH R B AH L AH S T
CRUCIVERBALISTS	K R UW S AH V AH R B AH L AH S T S
CRYPTOCOCCI	K R IH P T AH K AA K S IY
CUBICITIES	K Y UW B IH K S AH T IY Z
CUBICITY	K Y UW B IH K S AH T IY
CULICID	K Y UW L AH S AH D
CULICIDS	K Y UW L AH S AH D Z
CULICINE	K Y UW L AH S AY N
CULICINES	K Y UW L AH S AY N Z
CURACIES	K Y UH R AH S IY Z
CURRENCIES	K ER AH N S IY Z
CURVACIOUS	K ER V AH S IY AH S
CYBERNETICIAN	S AH B AH R N AH T IH S IY AH N
CYBERNETICIANS	S AH B AH R N AH T IH S IY AH N Z
CYBERNETICIST	S AH B AH R N AH T IH S AH S T
CYBERNETICISTS	S IH B AH R N EH T AH S AH S T S
CYCLAZOCINE	S IH K L AE Z AH S AY N
CYCLAZOCINES	S IH K L AE Z AH S AY N Z
CYCLICITIES	S IH K L IH K AH T IY Z
CYCLICITY	S IH K L IH K AH T IY
CYNICISM	S IH N IH S IH Z AH M
CYNICISMS	S IH N AH S IH Z AH M Z
CYSTICERCI	S IH S T AH S AH R S IY
CYTOGENETICIST	S IH T AH JH EH N AH T IH S AH S T
CYTOGENETICISTS	S IH T AH JH AH N EH T AH S AH S T S
CYTOPATHOGENICITIES	S AH T AH P AE TH AH JH AH N IH S AH T AY Z
CYTOPATHOGENICITY	S IH T AH P AH TH AA JH AH N IH S AH T IY
CYTOTOXICITIES	S IH T AH T AA K S IH S AH T AY Z
CYTOTOXICITY	S IH T AH T AA K S IH S AH T IY
DANCING	D AE N S IH NG
DAUNOMYCIN	D AH N AA M AH S AH N
DAUNOMYCINS	D AH N AA M AH S AH N Z
DAUNORUBICIN	D AO N AH R UW B AH S AH N
DAUNORUBICINS	D AO N AH R UW B AH S AH N Z
DEACIDIFICATION	D IY AE S AH D AH F AH K EY SH AH N
DEACIDIFICATIONS	D IY AE S AH D AH F AH K EY SH AH N Z
DEACIDIFIED	D IY AE S AH D AH F AY D
DEACIDIFIES	D IY AE S AH D AH F AY Z
DEACIDIFY	D IY AE S AH D AH F AY
DEACIDIFYING	D IY AE S AH D AH F AY IH NG
DECADENCIES	D EH K AH D AH N S IY Z
DECALCIFICATION	D IY K AE L S AH F AH K EY SH AH N
DECALCIFICATIONS	D IY K AE L S AH F AH K EY SH AH N Z
DECALCIFIED	D IY K AE L S AH F AY D
DECALCIFIES	D IY K AE L S AH F AY Z
DECALCIFY	D IY K AE L S AH F AY
DECALCIFYING	D IY K AE L S AH F AY IH NG
DECENCIES	D IY S AH N S IY Z
DECIARE	D AH S AY AH R
DECIARES	D AH S AY AH R Z
DECIBEL	D EH S AH B EH L
DECIBELS	D EH S AH B AH L Z
DECIDABILITIES	D IH S AY D AH B IH L AH T EH Z
DECIDABILITY	D IH S AY D AH B IH L AH T EH
DECIDABLE	D IH S AY D AH B AH L
DECIDE	D IH S AY D
DECIDED	D IH S AY D IH D
DECIDEDLY	D IH S AY D AH D L IY
DECIDEDNESS	D IH S AY D AH D N AH S
DECIDEDNESSES	D IH S AY D AH D N AH S IH Z
DECIDER	D IH S AY D ER
DECIDERS	D IY S AY D ER Z
DECIDES	D IH S AY D Z
DECIDING	D IH S AY D IH NG
DECIDUA	D AH S IH D Y UW AH
DECIDUAE	D AH S IH D Y UW IY
DECIDUAL	D AH S IH D Y AH W AH
DECIDUAS	D AH S IH D Y UW AH Z
DECIDUATE	D AH S IH D Y UW EY T
DECIDUOUS	D IH S IH JH UW AH S
DECIDUOUSNESS	D AH S IH D Y UW AW Z N AH S
DECIDUOUSNESSES	D AH S IH D Y UW AW Z N EH S AH Z
DECIGRAM	D AH S IH G R AH M
DECIGRAMS	D AH S IH G R AH M Z
DECILE	D IY S AH L
DECILES	D IY S AH L Z
DECILITER	D EH S AH L IY T ER
DECILITERS	D AH S IH L AH T AH R Z
DECILLION	D AH S IH L IY AH N
DECILLIONS	D AH S IH L IY AH N Z
DECIMAL	D EH S AH M AH L
DECIMALIZATION	D EH S AH M AH L AH Z EY SH AH N
DECIMALIZATIONS	D EH S AH M AH L AH Z EY SH AH N Z
DECIMALIZE	D EH S AH M AH L AY Z
DECIMALIZED	D EH S AH M AH L AY Z D
DECIMALIZES	D EH S AH M AH L AY Z IH Z
DECIMALIZING	D EH S AH M AH L AY Z IH NG
DECIMALLY	D EH S AH M AH L IY
DECIMALS	D EH S AH M AH L Z
DECIMATE	D EH S AH M EY T
DECIMATED	D EH S AH M EY T IH D
DECIMATES	D IH S AH M EY T S
DECIMATING	D EH S AH M EY T IH NG
DECIMATION	D EH S AH M EY SH AH N
DECIMATIONS	D AH S AH M EY T IY AH N Z
DECIMETER	D AH S IH M AH T AH R
DECIMETERS	D AH S IH M AH T AH R Z
DECIPHER	D IH S AY F ER
DECIPHERABLE	D IY S AY F ER AH B AH L
DECIPHERED	D IH S AY F ER D
DECIPHERER	D IY S AY F ER ER
DECIPHERERS	D IY S AY F ER ER Z
DECIPHERING	D AH S AY F ER IH NG
DECIPHERMENT	D IY S AY F ER M AH N T
DECIPHERMENTS	D IY S AY F ER M AH N T S
DECIPHERS	D IY S AY F ER Z
DECISION	D IH S IH ZH AH N
DECISIONAL	D IH S IH ZH AH N AH L
DECISIONED	D IH S IH ZH AH N D
DECISIONING	D IH S IH ZH AH N IH NG
DECISIONS	D IH S IH ZH AH N Z
DECISIVE	D IH S AY S IH V
DECISIVELY	D IH S AY S IH V L IY
DECISIVENESS	D IH S AY S IH V N AH S
DECISIVENESSES	D AH S AY S IH V N AH S IH Z
DEDUCIBLE	D IH D UW S AH B AH L
DEDUCING	D IH D UW S IH NG
DEFACING	D IH F EY S IH NG
DEFICIENCIES	D IH F IH SH AH N S IY Z
DEFICIENCY	D IH F IH SH AH N S IY
DEFICIENT	D IH F IH SH AH N T
DEFICIENTLY	D IH F IH SH AH N T L IY
DEFICIENTS	D IH F IH SH AH N T S
DEFICIT	D EH F AH S AH T
DEFICITS	D EH F IH S IH T S
DEFORCING	D IY F OW R S IH NG
DEGENERACIES	D IY JH EH N ER AH S IY Z
DEGLACIATED	D IH G L AE S AY EY T AH D
DEGLACIATION	D IH G L AE S AY EY SH AH N
DEGLACIATIONS	D IH G L EY S IY EY T IY AH N Z
DEHISCING	D AH HH IH S AH NG
DEICIDAL	D IY AY S AH D AH L
DEICIDE	D IY AH S AY D
DEICIDES	D IY AH S AY D Z
DEICING	D IY AY S IH NG
DELEGACIES	D EH L IH G AH S IY Z
DELICACIES	D EH L IH K AH S IY Z
DELICIOUS	D IH L IH SH AH S
DELICIOUSLY	D IH L IH SH AH SH L IY
DELICIOUSNESS	D IH L IH SH AH S N AH S
DELICIOUSNESSES	D IH L IH SH AH S N AH S IH Z
DELINQUENCIES	D IH L IH NG K W AH N S IY Z
DELIQUESCING	D IH L AH K EH S AH NG
DEMOCRACIES	D IH M AA K R AH S IY Z
DENOUNCING	D IH N AW N S IH NG
DENUNCIATION	D IH N AH N S IY EY SH AH N
DENUNCIATIONS	D IH N AH N S IY EY SH AH N Z
DENUNCIATIVE	D AH N AH N S AY EY T AH V
DENUNCIATORY	D AH N AH N S AY AH T AO R IY
DEPENDENCIES	D IH P EH N D AH N S IY Z
DEPOLITICIZATION	D IY P AA L AH T IH K AH Z EY SH AH N
DEPOLITICIZATIONS	D IY P AA L AH T IH K AH Z EY SH AH N Z
DEPOLITICIZE	D IY P AA L AH T IH K AY Z
DEPOLITICIZED	D IY P AA L AH T IH K AY Z D
DEPOLITICIZES	D IY P AA L AH T IH K AY Z IH Z
DEPOLITICIZING	D IY P AA L AH T IH K AY Z IH NG
DEPRECIABLE	D IH P R IH SH AH B AH L
DEPRECIATE	D IH P R IY SH IY EY T
DEPRECIATED	D IH P R IY SH IY EY T IH D
DEPRECIATES	D IH P R IY SH IY EY T S
DEPRECIATING	D IH P R IY SH IY EY T IH NG
DEPRECIATINGLY	D IH P R IY SH IY EY T IH NG L IY
DEPRECIATION	D IH P R IY SH IY EY SH AH N
DEPRECIATIONS	D IH P R IY SH IY EY SH AH N Z
DEPRECIATIVE	D IH P R IY SH IY EY T IH V
DEPRECIATOR	D IH P R IY SH IY EY T ER
DEPRECIATORS	D IH P R IY SH IY EY T ER Z
DEPRECIATORY	D IH P R IY SH IY EY T ER IY
DERACINATE	D AH R AE S AH N EY T
DERACINATED	D AH R AE S AH N EY T AH D
DERACINATES	D AH R AE S AH N EY T S
DERACINATING	D AH R AE S AH N EY T AH NG
DERACINATION	D AH R AE S AH N EY SH AH N
DERACINATIONS	D AH R AE S AH N EY T IY AH N Z
DESPONDENCIES	D IH S P AA N D AH N S IY Z
DETERGENCIES	D IH T ER JH AH N S IY Z
DETERMINACIES	D IY T ER M AH N AH S IY Z
DEUCING	D IY Y UW S AH NG
DEVIANCIES	D IY V IY AH N S IY Z
DEVOICING	D IY V OY S IH NG
DEZINCING	D IY Z IH NG K IH NG
DIACID	D AY AH S AH D
DIACIDIC	D AY AH S AH D AH K
DIACIDS	D AY AH S AH D Z
DIAGNOSTICIAN	D AY IH G N AA S T IH SH AH N
DIAGNOSTICIANS	D AY IH G N AA S T IH SH AH N Z
DIALECTICIAN	D AY AH L EH K T IH S IY AH N
DIALECTICIANS	D AY AH L AH K T IH S IY AH N Z
DICIER	D AY S IY ER
DICIEST	D AY S IY AH S T
DICING	D AY S IH NG
DICKCISSEL	D IH K S IH S AH L
DICKCISSELS	D IH K S IH S AH L Z
DIDACTICISM	D IH D AE K T IH K S IH Z AH M
DIDACTICISMS	D IH D AE K T IH K S IH Z AH M Z
DIECIOUS	D IY SH AH S
DIETICIAN	D AY AH T IH SH AH N
DIETICIANS	D IY T IH S IY AH N Z
DIFFERENCING	D IH F ER AH N S IH NG
DIFFICILE	D IY F IH S IY L
DILATANCIES	D AY L EY T AH N S IY Z
DIOECIES	D AY OW AH S AY Z
DIOECIOUS	D AY OW AH SH AH S
DIOECISM	D AY OW AH S IH Z AH M
DIOECISMS	D AY OW AH S AH Z AH M Z
DIPLOCOCCI	D IH P L AH K AA K S IY
DIPLOMACIES	D AH P L OW M AH S IY Z
DISASSOCIATE	D IH S AH S OW SH IY EY T
DISASSOCIATE(2)	D IH S AH S OW S IY EY T
DISASSOCIATED	D IH S AH S OW SH IY EY T AH D
DISASSOCIATED(2)	D IH S AH S OW S IY EY T AH D
DISASSOCIATES	D IH S AH S OW S IY AH T S
DISASSOCIATING	D IH S AH S OW S IY EY T IH NG
DISASSOCIATION	D IH S AH S OW S IY EY SH AH N
DISASSOCIATIONS	D IH S AH S OW S IY EY SH AH N Z
DISCI	D IH S IY
DISCIFORM	D IH S IH F AH R M
DISCING	D IH S K IH NG
DISCIPLE	D IH S AY P AH L
DISCIPLED	D IH S AY P AH L D
DISCIPLES	D IH S AY P AH L Z
DISCIPLESHIP	D IH S AY P AH L SH IH P
DISCIPLESHIPS	D IH S AY P AH L SH IH P S
DISCIPLINABLE	D IH S AH P L AH N AH B AH L
DISCIPLINAL	D IH S AH P L AH N AH L
DISCIPLINARIAN	D IH S IH P L IH N EH R IY AH N
DISCIPLINARIANS	D IH S IH P L IH N EH R IY AH N Z
DISCIPLINARILY	D IH S AH P L AH N EH R IY L IY
DISCIPLINARITIES	D IH S AH P L AH N ER AH T IY Z
DISCIPLINARITY	D IH S AH P L AH N ER AH T IY
DISCIPLINARY	D IH S AH P L AH N EH R IY
DISCIPLINE	D IH S AH P L AH N
DISCIPLINED	D IH S AH P L AH N D
DISCIPLINER	D IH S AH P L AH N ER
DISCIPLINERS	D IH S AH P L AH N ER Z
DISCIPLINES	D IH S AH P L AH N Z
DISCIPLING	D IH S AY P AH L IH NG
DISCIPLINING	D IH S AH P L AH N IH NG
DISCORDANCIES	D IH S K AO R D AH N S IY Z
DISCOUNTENANCING	D IH S K AW N T AH N AH N S IH NG
DISCREPANCIES	D IH S K R EH P AH N S IY Z
DISGRACING	D IH S G R EY S IH NG
DISPLACING	D IH S P L EY S IH NG
