TE	T IY
BACTERICIDALLY	B AE K T AH R IH S AH D AE L IY
BACTERICIDE	B AE K T EH R AH S AY D
BACTERICIDES	B AE K T EH R AH S AY D Z
BACTERIN	B AE K T AH R AH N
BACTERINS	B AE K T AH R AH N Z
BACTERIOCHLOROPHYLL	B AE K T IY R IY AH K L AO R AH F AH L
BACTERIOCHLOROPHYLLS	B AE K T IY R IY AH K L AO R AH F AH L Z
BACTERIOCIN	B AE K T AH R IY AH S AH N
BACTERIOCINS	B AE K T AH R IY AH S AH N Z
BACTERIOLOGIC	B AE K T AH R IY AH L AH JH AH K
BACTERIOLOGICAL	B AE K T AH R IY AA L AH JH IH S AH L
BACTERIOLOGICALLY	B AE K T IY R IY AH L AA JH AH K AE L IY
BACTERIOLOGIES	B AE K T AH R IY AA L AH JH AY Z
BACTERIOLOGIST	B AE K T AH R IY AA L AH JH AH S T
BACTERIOLOGISTS	B AE K T IY R IY AA L AH JH AH S T S
BACTERIOLOGY	B AE K T IH R IY AA L AH JH IY
BACTERIOLYSES	B AE K T IY R IY AH L AY Z AH Z
BACTERIOLYSIS	B AE K T AH R IY AA L AH S AH S
BACTERIOLYTIC	B AE K T AH R IY AH L AH T AH K
BACTERIOPHAGE	B AE K T AH R IY AH F AH JH
BACTERIOPHAGES	B AE K T AH R IY AA F AH JH AH Z
BACTERIOPHAGIES	B AE K T AH R IY AA F AH JH AY Z
BACTERIOPHAGY	B AE K T AH R IY AA F AH JH IY
BACTERIORHODOPSIN	B AE K T AH R IY AH R AH D AA P S AH N
BACTERIORHODOPSINS	B AE K T AH R IY AH R AH D AA P S AH N Z
BACTERIOSTASES	B AE K T IY R IY AH S T EY Z AH Z
BACTERIOSTASIS	B AE K T IY R IY AA S T AH S AH S
BACTERIOSTAT	B AE K T IY R IY AA S T AH T
BACTERIOSTATIC	B AE K T IY R IY AA S T AH T AH K
BACTERIOSTATS	B AE K T IY R IY AH S T EY T S
BACTERIUM	B AE K T IH R IY AH M
BACTERIURIA	B AE K T IY R IY UH R IY AH
BACTERIURIAS	B AE K T IY R IY UH R IY AH Z
BACTERIZATION	B AE K T AH R AH Z EY SH AH N
BACTERIZATIONS	B AE K T AH R AH Z EY T IY AH N Z
BACTERIZE	B AE K T AH R AY Z
BACTERIZED	B AE K T AH R AY Z D
BACTERIZES	B AE K T AH R AY Z AH Z
BACTERIZING	B AE K T AH R AY Z AH NG
BACTEROID	B AE K T AH R OY D
BACTEROIDS	B AE K T AH R OY D Z
BAGATELLE	B AE G AH T EH L
BAGATELLES	B AE G AH T EH L Z
BAGUETTE	B AE G EH T
BAGUETTES	B AE G Y UW EH T S
BAITED	B EY T IH D
BAITER	B EY T ER
BAITERS	B EY T ER Z
BALDPATE	B AO L D P EY T
BALDPATES	B AO L D P EY T S
BALLASTED	B AE L AH S T IH D
BALLOTED	B AE L AH T IH D
BALLOTER	B AE L AH T ER
BALLOTERS	B AE L AH T ER Z
BALLUTE	B IY AH L UW T
BALLUTES	B IY AH L UW T S
BALUSTER	B AH L AH S T AH R
BALUSTERS	B AH L AH S T AH R Z
BANDMASTER	B AE N D M AE S T ER
BANDMASTERS	B AE N D M AE S T ER Z
BANISTER	B AE N IH S T ER
BANISTERED	B AE N AH S T ER D
BANISTERS	B AE N AH S T ER Z
BANKNOTE	B AE NG K N OW T
BANKNOTES	B AE NG K N OW T S
BANKRUPTED	B AE NG K R AH P T IH D
BANNERETTE	B AE N ER EH T
BANNERETTES	B AE N ER EH T S
BANNISTER	B AE N AH S T ER
BANNISTER(2)	B AE N IH S T ER
BANNISTERS	B AE N IY S T ER Z
BANQUETED	B AE NG K W AH T IH D
BANQUETER	B AE NG K W AH T ER
BANQUETERS	B AE NG K W AH T ER Z
BANQUETTE	B AE NG K W EH T
BANQUETTES	B AE NG K W EH T S
BANTENG	B AE N T AH NG
BANTENGS	B AE N T AH NG Z
BANTER	B AE N T ER
BANTERED	B AE N T ER D
BANTERER	B AE N T ER ER
BANTERERS	B AE N T ER ER Z
BANTERING	B AE N T ER IH NG
BANTERINGLY	B AE N T ER IH NG L IY
BANTERS	B AE N T ER Z
BAPTISTERIES	B AE P T AH S T R IY Z
BAPTISTERY	B AE P T AH S T R IY
BARBATE	B AA R B AH T
BARBETTE	B AA R B EH T
BARBETTES	B AA R B EH T S
BARBITURATE	B AA R B IH CH ER AH T
BARBITURATES	B AA R B IH CH ER AH T S
BARDOLATER	B AA R D OW L AH T ER
BARDOLATERS	B AA R D OW L AH T ER Z
BAREFOOTED	B AA R F UH T AH D
BARITE	B EH R AY T
BARITES	B EH R AY T S
BAROMETER	B ER AA M IH T ER
BAROMETERS	B ER AA M IH T ER Z
BARQUETTE	B AA R K W EH T
BARQUETTES	B AA R K W EH T S
BARRATER	B AA R AH T ER
BARRATERS	B AA R AH T ER Z
BARRETTE	B ER EH T
BARRETTES	B AA R EH T S
BARRISTER	B AE R IH S T ER
BARRISTER(2)	B EH R IH S T ER
BARRISTERS	B AE R IH S T ER Z
BARRISTERS(2)	B EH R IH S T ER Z
BARTEND	B AA R T EH N D
BARTENDED	B AA R T EH N D IH D
BARTENDER	B AA R T EH N D ER
BARTENDERS	B AA R T EH N D ER Z
BARTENDING	B AA R T EH N D IH NG
BARTENDS	B AA R T EH N D Z
BARTER	B AA R T ER
BARTERED	B AA R T ER D
BARTERER	B AA R T IY R AH R
BARTERERS	B AA R T AH R AH R Z
BARTERING	B AA R T ER IH NG
BARTERS	B AA R T AH R Z
BARYTE	B AH R AY T
BARYTES	B AH R AY T S
BASALTES	B AE S AH L T S
BASIDIOMYCETE	B AH S AH D IY AA M AH S IY T
BASIDIOMYCETES	B AH S AH D IY AA M AH S IY T S
BASSETED	B AE S IY T AH D
BASSETTED	B EY S EH T IH D
BASTE	B EY S T
BASTED	B EY S T AH D
BASTER	B EY S T ER
BASTERS	B EY S T ER Z
BASTES	B EY S T S
BATE	B EY T
BATEAU	B AE T OW
BATEAUX	B EY T IY AH K S
BATED	B EY T IH D
BATES	B EY T S
BATHWATER	B AE TH W AO T ER
BATHWATERS	B AE TH W AO T ER Z
BATISTE	B AH T IH S T AH
BATISTES	B AE T AH S T S
BATTEAU	B AE T IY UW
BATTEAUX	B AE T IY AH K S
BATTED	B AE T IH D
BATTEMENT	B AE T M AH N T
BATTEMENTS	B AE T AH M AH N T S
BATTEN	B AE T AH N
BATTENED	B AE T AH N D
BATTENER	B AE T AH N ER
BATTENERS	B AE T AH N ER Z
BATTENING	B AE T AH N IH NG
BATTENS	B AE T AH N Z
BATTER	B AE T ER
BATTERED	B AE T ER D
BATTERIE	B AE T ER IY
BATTERIES	B AE T ER IY Z
BATTERING	B AE T ER IH NG
BATTERS	B AE T ER Z
BATTERY	B AE T ER IY
BATTLEMENTED	B AE T AH L M AH N T IH D
BAUXITE	B AO K S AY T
BAUXITES	B AO K S AY T S
BAYONETED	B EY AH N AH T IH D
BAYONETTED	B EY AH N AH T IH D
BEATEN	B IY T AH N
BEATER	B IY T ER
BEATERS	B IY T ER Z
BEAUTEOUS	B Y UW T IY AH S
BEAUTEOUSLY	B Y UW T IY AH S L IY
BEAUTEOUSNESS	B Y UW T IY AH S N AH S
BEAUTEOUSNESSES	B Y UW T IY AH S N AH S IH Z
BECARPETED	B IH K AA R P AH T IH D
BECRUSTED	B IH K R AH S T IH D
BEDIGHTED	B AH D AY T AH D
BEDLAMITE	B IH D L AH M AY T
BEDLAMITES	B IH D L AH M AY T S
BEDMATE	B EH D M EY T
BEDMATES	B EH D M EY T S
BEDOTTED	B IH D AA T IH D
BEDPLATE	B EH D P L EY T
BEDPLATES	B EH D P L EY T S
BEDSTEAD	B EH D S T EH D
BEDSTEADS	B EH D S T EH D Z
BEDWETTER	B EH D W EH T ER
BEDWETTERS	B EH D W EH T ER Z
BEEFEATER	B IY F IY T ER
BEEFEATERS	B IY F IY T ER Z
BEEFSTEAK	B IY F S T EY K
BEEFSTEAKS	B IY F S T EY K S
BEFITTED	B IH F IH T IH D
BEFRETTED	B IH F R EH T IH D
BEGETTER	B IH G EH T ER
BEGETTERS	B IH G EH T ER Z
BEGOTTEN	B IY G AO T IH N
BEKNIGHTED	B IH N AY T IH D
BEKNOTTED	B IH N AA T IH D
BELATED	B IH L EY T IH D
BELATEDLY	B IH L EY T AH D L IY
BELATEDNESS	B IH L EY T AH D N AH S
BELATEDNESSES	B IH L EY T AH D N AH S IH Z
BELEMNITE	B AH L EH M N AY T
BELEMNITES	B AH L EH M N AY T S
BELTED	B EH L T AH D
BELTED(2)	B EH L T IH D
BELTER	B EH L T ER
BELTERS	B EH L T ER Z
BEMISTED	B IH M IH S T EH D
BENEFICIATE	B AH N AH F IH S AY EY T
BENEFICIATED	B AH N AH F IH S AY EY T AH D
BENEFICIATES	B AH N AH F IH S AY EY T S
BENEFITED	B EH N AH F IH T IH D
BENEFITER	B EH N AH F IH T ER
BENEFITERS	B EH N AH F IH T ER Z
BENEFITTED	B EH N AH F IH T IH D
BENEMPTED	B AH N EH M P T AH D
BENIGHTED	B IH N AY T IH D
BENIGHTEDLY	B IH N AY T AH D L IY
BENIGHTEDNESS	B IH N AY T AH D N AH S
BENIGHTEDNESSES	B IH N AY T AH D N AH S IH Z
BENTONITE	B EH N T AH N AY T
BENTONITES	B IH N T AH N AY T S
BENZOATE	B IH N Z OW EY T
BENZOATES	B IH N Z OW EY T S
BEPAINTED	B IH P EY N T IH D
BERATE	B IH R EY T
BERATED	B IH R EY T IH D
BERATES	B IH R EY T S
BESETTER	B IH S EH T ER
BESETTERS	B IH S EH T ER Z
BESHOUTED	B IH SH AW T IH D
BESMUTTED	B IH S M AH T AH D
BESOTTED	B AH S AA T AH D
BESPATTER	B IH S P AE T ER
BESPATTERED	B IH S P AE T ER D
BESPATTERING	B IH S P AE T ER IH NG
BESPATTERS	B IH S P AE T ER Z
BESTEAD	B IH S T EH D
BESTEADED	B IH S T EH D IH D
BESTEADING	B IH S T EH D IH NG
BESTEADS	B IH S T EH D Z
BESTED	B EH S T IH D
BETATTER	B IH T AE T ER
BETATTERED	B IH T AE T ER D
BETATTERING	B IH T AE T ER IH NG
BETATTERS	B IH T AE T ER Z
BETEL	B EH T AH L
BETELNUT	B AH T EH L N AH T
BETELNUTS	B AH T EH L N Y UW T S
BETELS	B AH T EH L Z
BETTED	B EH T IH D
BETTER	B EH T ER
BETTERED	B EH T ER D
BETTERING	B EH T ER IH NG
BETTERMENT	B EH T ER M AH N T
BETTERMENTS	B EH T ER M AH N T S
BETTERS	B EH T ER Z
BEVOMITED	B IH V AA M AH T IH D
BIATHLETE	B AY AE TH L IY T
BIATHLETES	B AY AE TH L IY T S
BIBLIOLATER	B AY B L AY AH L EY T AH R
BIBLIOLATERS	B AY B L AY AA L AH T AH R Z
BICARBONATE	B AY K AA R B AH N AH T
BICARBONATES	B AY K AA R B AH N AH T S
BICENTENARIES	B AY S EH N T AH N EH R IY Z
BICENTENARY	B AY S EH N T IH N EH R IY
BICENTENNIAL	B AY S EH N T EH N IY AH L
BICENTENNIALS	B AY S EH N T EH N IY AH L Z
BICHROMATE	B AY K R OW M AH T
BICHROMATED	B AY K R OW M EY T IH D
BICHROMATES	B AY K R OW M AH T S
BIFLAGELLATE	B AY F L AE JH AH L AH T
BIFORATE	B AY F OW R AH T
BIFURCATE	B IH F ER K EY T
BIFURCATE(2)	B AY F ER K EY T
BIFURCATED	B IH F ER K EY T IH D
BIFURCATED(2)	B AY F ER K EY T IH D
BIFURCATES	B AY F ER K EY T S
BIGHEARTED	B IH G HH AA R T IH D
BIGHEARTEDLY	B IH G HH AA R T AH D L IY
BIGHEARTEDNESS	B IH G HH AA R T AH D N AH S
BIGHEARTEDNESSES	B IH G HH AA R T AH D N AH S IH Z
BIGHTED	B AY T AH D
BIGOTED	B IH G AH T IH D
BIGOTEDLY	B IH G AH T AH D L IY
BIJOUTERIE	B IH ZH UW T AH R IY
BIJOUTERIES	B IH ZH UW T AH R IY Z
BIJUGATE	B AY JH AH G AH T
BILABIATE	B AY L AE B IY AH T
BILATERAL	B AY L AE T ER AH L
BILATERALISM	B AY L AE T AH R AH L IH Z AH M
BILATERALISMS	B AY L AE T AH R AH L IH Z AH M Z
BILATERALLY	B AY L AE T ER AH L IY
BILGEWATER	B IH L JH W AO T ER
BILGEWATERS	B IH L JH W AO T ER Z
BILLETED	B IH L AH T IH D
BILLETER	B IH L IY T ER
BILLETERS	B IH L AH T ER Z
BILLINGSGATE	B IH L IH NG Z G EY T
BILLINGSGATES	B IH L IH NG Z G EY T S
BILOBATE	B AY L OW B AH T
BILSTED	B IH L S T AH D
BILSTEDS	B AY L S T EH D Z
BIMESTER	B AY M EH S T AH R
BIMESTERS	B AY M EH S T AH R Z
BINATE	B IH N AH T
BINATELY	B IH N AH T L IY
BINUCLEATE	B AY N UW K L IY AH T
BINUCLEATED	B AY N UW K L IY EY T IH D
BIODETERIORATION	B AY AA D AH T IY R IY AH R EY SH AH N
BIODETERIORATIONS	B AY AH D AH T IY R IY AH R EY T IY AH N Z
BIOMATERIAL	B AY OW M AH T IH R IY AH L
BIOMATERIALS	B AY OW M AH T IH R IY AH L Z
BIOMETEOROLOGICAL	B AY AH M IY T IY AH R AA L AH JH IH S AH L
BIOMETEOROLOGIES	B AY AH M IY T IY AH R AA L AH JH AY Z
BIOMETEOROLOGY	B AY AH M IY T IY AH R AA L AH JH IY
BIOSYSTEMATIC	B AY AA S IY S T EH M AH T IH K
BIOSYSTEMATICS	B AY AA S IY S T EH M AH T IH K S
BIOSYSTEMATIST	B AY AA S IY S T EH M AH T IH S T
BIOSYSTEMATISTS	B AY AA S IY S T EH M AH T IH S T S
BIOTECH	B AY OW T EH K
BIOTECHNICAL	B AY AH T EH K N IH S AH L
BIOTECHNOLOGICAL	B AY OW T EH K N AH L AA JH IH K AH L
BIOTECHNOLOGIES	B AY OW T EH K N AA L AH JH IY Z
BIOTECHNOLOGIST	B AY AH T EH K N AA L AH JH AH S T
BIOTECHNOLOGISTS	B AY AA T AH K N AA L AH JH AH S T S
BIOTECHNOLOGY	B AY OW T EH K N AA L AH JH IY
BIOTECHS	B AY OW T EH K S
BIOTELEMETRIC	B AY AH T EH L AH M AH T R AH K
BIOTELEMETRIES	B AY AH T AH L AH M EH T R AY Z
BIOTELEMETRY	B AY AH T IY L M EH T R IY
BIOTITE	B AY AH T AY T
BIOTITES	B AY AH T AY T S
BIPARTED	B AY P AA R T IH D
BIPARTITE	B AY P AA R T AY T
BIPARTITELY	B AY P AA R T AY T L IY
BIPINNATE	B AY P IH N AH T
BIPINNATELY	B AY P IH N AH T L IY
BIRTHDATE	B ER TH D EY T
BIRTHDATES	B ER TH D EY T S
BIRTHRATE	B ER TH R EY T
BIRTHRATES	B ER TH R EY T S
BISECTED	B AY S EH K T IH D
BISTATE	B AY S T EY T
BISTER	B AY S T ER
BISTERED	B AY S T ER D
BISTERS	B AY S T ER Z
BISULFATE	B AY S AH L F EY T
BISULFATES	B AY S AH L F EY T S
BISULFITE	B AY S AH L F AY T
BISULFITES	B AY S AH L F AY T S
BITARTRATE	B AY T AA R T R EY T
BITARTRATES	B AY T AA R T R EY T S
BITE	B AY T
BITEABLE	B AY T AH B AH L
BITER	B AY T ER
BITERS	B AY T ER Z
BITES	B AY T S
BITEWING	B AY T W IH NG
BITEWINGS	B AY T W IH NG Z
BITTED	B IH T IH D
BITTEN	B IH T AH N
BITTER	B IH T ER
BITTERBRUSH	B IH T ER B R AH SH
BITTERBRUSHES	B IH T ER B R AH SH IH Z
BITTERED	B IH T ER D
BITTERER	B IH T ER ER
BITTEREST	B IH T ER AH S T
BITTERING	B IH T ER IH NG
BITTERISH	B IH T ER IH SH
BITTERLY	B IH T ER L IY
BITTERN	B AY T AH R N
BITTERNESS	B IH T ER N AH S
BITTERNESSES	B IH T ER N AH S IH Z
BITTERNS	B AY T AH R N Z
BITTERROOT	B IH T ER R UW T
BITTERROOTS	B IH T ER R UW T S
BITTERS	B IH T ER Z
BITTERSWEET	B IH T ER S W IY T
BITTERSWEETLY	B IH T ER S W IY T L IY
BITTERSWEETNESS	B IH T ER S W IY T N AH S
BITTERSWEETNESSES	B IH T ER S W IY T N AH S IH Z
BITTERSWEETS	B IH T ER S W IY T S
BITTERWEED	B IH T ER W IY D
BITTERWEEDS	B IH T ER W IY D Z
BIVARIATE	B AY V EH R IY AH T
BLACKLISTED	B L AE K L IH S T IH D
BLACKLISTER	B L AE K L IY S T ER
BLACKLISTERS	B L AE K L IY S T ER Z
BLACKWATER	B L AE K W AO T ER
BLACKWATERS	B L AE K W AO T ER Z
BLANKETED	B L AE NG K AH T IH D
BLANQUETTE	B L AE NG K W EH T
BLANQUETTES	B L AE NG K W EH T S
BLASTED	B L AE S T AH D
BLASTED(2)	B L AE S T IH D
BLASTEMA	B L AE S T AH M AH
BLASTEMAL	B L AE S T AH M AH L
BLASTEMAS	B L AE S T AH M AH Z
BLASTEMATA	B L AE S T EH M AH T AH
BLASTEMATIC	B L AE S T IH M EY T IH K
BLASTER	B L AE S T ER
BLASTERS	B L AE S T ER Z
BLATE	B L EY T
BLATHERSKITE	B L AE TH AH R S AY T
BLATHERSKITES	B L AE TH AH R S AY T S
BLATTED	B L AE T AH D
BLATTER	B L AE T ER
BLATTERED	B L EY T ER D
BLATTERING	B L EY T ER IH NG
BLATTERS	B L EY T ER Z
BLEACHERITE	B L IY CH AH R AY T
BLEACHERITES	B L IY CH AH R AY T S
BLEATED	B L IY T IH D
BLEATER	B L IY T ER
BLEATERS	B L IY T ER Z
BLIGHTED	B L AY T IH D
BLIGHTER	B L AY T ER
BLIGHTERS	B L AY T ER Z
BLISTER	B L IH S T ER
BLISTERED	B L IH S T ER D
BLISTERING	B L IH S T ER IH NG
BLISTERINGLY	B L IH S T ER IH NG L IY
BLISTERS	B L IH S T ER Z
BLISTERY	B L IH S T ER IY
BLITE	B L AY T
BLITES	B L AY T S
BLOATED	B L OW T IH D
BLOATER	B L OW T ER
BLOATERS	B L OW T ER Z
BLOCKBUSTER	B L AA K B AH S T ER
BLOCKBUSTERS	B L AA K B AH S T ER Z
BLOTTED	B L AA T AH D
BLOTTER	B L AA T ER
BLOTTERS	B L AA T ER Z
BLOVIATE	B L AA V AY EY T
BLOVIATED	B L AA V AY EY T AH D
BLOVIATES	B L AA V AY EY T S
BLUEPRINTED	B L UW P R IH N T IH D
BLUESHIFTED	B L UW SH IH F T IH D
BLUESTEM	B L UW S T EH M
BLUESTEMS	B L UW S T EH M Z
BLUNTED	B L AH N T AH D
BLUNTED(2)	B L AH N T IH D
BLUNTER	B L AH N T ER
BLUNTEST	B L AH N T AH S T
BLURTED	B L ER T IH D
BLURTER	B L ER T ER
BLURTERS	B L ER T ER Z
BLUSTER	B L AH S T ER
BLUSTERED	B L AH S T ER D
BLUSTERER	B L AH S T ER ER
BLUSTERERS	B L AH S T ER ER Z
BLUSTERING	B L AH S T ER IH NG
BLUSTERINGLY	B L AH S T ER IH NG L IY
BLUSTEROUS	B L AH S T ER AH S
BLUSTERS	B L AH S T ER Z
BLUSTERY	B L AH S T ER IY
BOASTED	B OW S T AH D
BOASTED(2)	B OW S T IH D
BOASTER	B OW AH S T ER
BOASTERS	B OW AH S T ER Z
BOATED	B OW T IH D
BOATEL	B OW T AH L
BOATELS	B OW T AH L Z
BOATER	B OW T ER
BOATERS	B OW T ER Z
BOBWHITE	B AA B W AY T
BOBWHITES	B AA B W AY T S
BOEHMITE	B OW AH M AY T
BOEHMITES	B OW AH M AY T S
BOILERPLATE	B OY L ER P L EY T
BOILERPLATES	B OY L ER P L EY T S
BOISTEROUS	B OY S T ER AH S
BOISTEROUS(2)	B OY S T R AH S
BOISTEROUSLY	B OY S T AH R AH S L IY
BOISTEROUSNESS	B OY S T AH R AH S N AH S
BOISTEROUSNESSES	B OY S T AH R AH S N AH S IH Z
BOITE	B OY T
BOITES	B OY T S
BOLETE	B AH L IY T
BOLETES	B AH L IY T S
BOLOMETER	B OW L OW M IY T ER
BOLOMETERS	B OW L OW M IY T ER Z
BOLSTER	B OW L S T ER
BOLSTERED	B OW L S T ER D
BOLSTERER	B OW L S T ER ER
BOLSTERERS	B OW L S T ER ER Z
BOLSTERING	B OW L S T ER IH NG
BOLSTERS	B OW L S T ER Z
BOLTED	B OW L T AH D
BOLTED(2)	B OW L T IH D
BOLTER	B OW L T ER
BOLTERS	B OW L T ER Z
BOMBINATE	B AA M IH N AH T
BOMBINATED	B AA M IH N EY T IH D
BOMBINATES	B AA M IH N AH T S
BONESETTER	B OW N S EH T ER
BONESETTERS	B OW N S EH T ER Z
BONNETED	B AA N AH T IH D
BONTEBOK	B AA N T AH B AH K
BONTEBOKS	B AA N T AH B AH K S
BOOKPLATE	B UH K P L EY T
BOOKPLATES	B UH K P L EY T S
BOOSTED	B UW S T IH D
BOOSTER	B UW S T ER
BOOSTERISM	B UW S T ER IH Z AH M
BOOSTERISMS	B UW S T ER IH Z AH M Z
BOOSTERS	B UW S T ER Z
BOOTED	B UW T IH D
BOOTEE	B UW T IY
BOOTEES	B UW T IY Z
BOOTERIES	B UW T AH R IY Z
BOOTERY	B UW T AH R IY
BORACITE	B IY ER AH S AY T
BORACITES	B IY ER AH S AY T S
BORATE	B AO R EY T
BORATED	B AO R EY T IH D
BORATES	B AO R EY T S
BORNITE	B AO R N AY T
BORNITES	B AO R N AY T S
BOROSILICATE	B IY ER AA S IH L AY S AH T
BOROSILICATES	B IY ER AA S IH L AY S AH T S
BOTEL	B AA T AH L
BOTELS	B AA T AH L Z
BOUGHTEN	B AO T AH N
BOUNTEOUS	B AW N T IY AH S
BOUNTEOUSLY	B AW N T IY OW AH S L IY
BOUNTEOUSNESS	B AW N T IY AW Z N AH S
BOUNTEOUSNESSES	B AW N T IY AW Z N EH S AH Z
BOYCOTTED	B OY K AA T IH D
BOYCOTTER	B OY K AA T ER
BOYCOTTERS	B OY K AA T ER Z
BRACHIATE	B R AE CH AY EY T
BRACHIATED	B R AE CH AY EY T AH D
BRACHIATES	B R AE CH AY EY T S
BRACHYPTEROUS	B R AH CH IH P T AH R AH S
BRACKETED	B R AE K AH T IH D
BRACTEAL	B R AE K T IY AH L
BRACTEATE	B R AE K T IY EY T
BRACTED	B R AE K T AH D
BRACTEOLE	B R AE K T IY OW L
BRACTEOLES	B R AE K T IY OW L Z
BRAILLEWRITER	B R EY L R AY T ER
BRAILLEWRITERS	B R EY L R AY T ER Z
BRAINTEASER	B R EY N T IY Z ER
BRAINTEASERS	B R EY N T IY Z ER Z
BRAUNITE	B R AH N AY T
BRAUNITES	B R AH N AY T S
BREAKFASTED	B R EH K F AH S T IH D
BREAKFASTER	B R EH K F AH S T ER
BREAKFASTERS	B R EH K F AH S T ER Z
BREAKWATER	B R EY K W AO T ER
BREAKWATERS	B R EY K W AO T ER Z
BREASTED	B R EH S T AH D
BREASTED(2)	B R EH S T IH D
BREASTPLATE	B R EH S T P L EY T
BREASTPLATES	B R EH S T P L EY T S
BRECCIATE	B R EH K S AY EY T
BRECCIATED	B R EH K S AY EY T AH D
BRECCIATES	B R EH K S AY EY T S
BREGMATE	B R AH M EY T
BREVETED	B R AH V EH T IH D
BREVETTED	B R AH V EH T IH D
BRIGHTEN	B R AY T AH N
BRIGHTENED	B R AY T AH N D
BRIGHTENER	B R AY T AH N ER
BRIGHTENERS	B R AY T AH N ER Z
BRIGHTENING	B R AY T AH N IH NG
BRIGHTENING(2)	B R AY T N IH NG
BRIGHTENS	B R AY T AH N Z
BRIGHTER	B R AY T ER
BRIGHTEST	B R AY T AH S T
BRIOLETTE	B R AY AH L EH T
BRIOLETTES	B R AY AH L EH T S
BRIQUETTE	B R IH K W EH T
BRIQUETTED	B R IH K W EH T AH D
BRIQUETTES	B R IH K W EH T S
BROADCASTED	B R AO D K AE S T IH D
BROADCASTER	B R AO D K AE S T ER
BROADCASTERS	B R AO D K AE S T ER Z
BROCATEL	B R AA K AH T AH L
BROCATELLE	B R AA K AH T AH L
BROCATELLES	B R AA K AH T AH L Z
BROCATELS	B R AA K AH T AH L Z
BROCHETTE	B R AH CH EH T
BROCHETTES	B R AH CH EH T S
BROKENHEARTED	B R OW K AH N HH AA R T IH D
BROMATE	B R OW M EY T
BROMATED	B R OW M EY T AH D
BROMATES	B R OW M EY T S
BROMINATE	B R AA M AH N EY T
BROMINATED	B R AA M AH N EY T AH D
BROMINATES	B R AA M AH N EY T S
BRONCOBUSTER	B R AA NG K OW B AH S T ER
BRONCOBUSTERS	B R AA NG K OW B AH S T ER Z
BROOKITE	B R AH K AY T
BROOKITES	B R AH K AY T S
BROWBEATEN	B R AW B IY T AH N
BRUITED	B R UW T IH D
BRUITER	B R UW T ER
BRUITERS	B R UW T ER Z
BRUNETTE	B R UW N EH T
BRUNETTES	B R UW N EH T S
BRUTE	B R UW T
BRUTED	B R UW T IH D
BRUTELY	B R UW T L IY
BRUTES	B R UW T S
BRYOPHYTE	B R AY AH F AY T
BRYOPHYTES	B R AY AH F AY T S
BUCKETED	B AH K AH T IH D
BUCKMINSTERFULLERENE	B AH K M AH N S T AH R F UH L AH R IY N
BUCKMINSTERFULLERENES	B AH K M AH N S T AH R F UH L AH R IY N Z
BUCKTEETH	B AH K T IY TH
BUDGETED	B AH JH IH T AH D
BUDGETED(2)	B AH JH IH T IH D
BUDGETEER	B AH JH IH T IH R
BUDGETEERS	B AH JH IH T IH R Z
BUDGETER	B AH JH AH T ER
BUDGETERS	B AH JH AH T ER Z
BUFFETED	B AH F EY D
BUFFETED(2)	B AH F IH T IH D
BUFFETER	B AH F AH T ER
BUFFETERS	B AH F AH T ER Z
BULLATE	B UH L AH T
BULLETED	B UH L AH T IH D
BULLFIGHTER	B UH L F AY T ER
BULLFIGHTERS	B UH L F AY T ER Z
BULLSHITTED	B UH L SH IH T IH D
BULLTERRIER	B UH L T EH R IY ER
BULLTERRIERS	B UH L T EH R IY ER Z
BUNKMATE	B AH NG K M EY T
BUNKMATES	B AH NG K M EY T S
BUNTED	B AH N T IH D
BUNTER	B AH N T ER
BUNTERS	B AH N T ER Z
BUREAUCRATESE	B Y UH R AH K R AE T IY Z
BUREAUCRATESES	B Y UH R OW K R EY T S IH Z
BURETTE	B IY Y ER EH T
BURETTES	B IY Y ER EH T S
BURGOMASTER	B ER G AH M AE S T ER
BURGOMASTERS	B ER G AH M AE S T ER Z
BURKITE	B AH R K AY T
BURKITES	B AH R K AY T S
BURSATE	B ER S AH T
BURSTED	B ER S T IH D
BURSTER	B ER S T ER
BURSTERS	B ER S T ER Z
BUSHMASTER	B UH SH M AE S T ER
BUSHMASTERS	B UH SH M AE S T ER Z
BUSTED	B AH S T IH D
BUSTER	B AH S T ER
BUSTERS	B AH S T ER Z
BUTE	B Y UW T
BUTENE	B Y UW T IY N
BUTENES	B Y UW T IY N Z
BUTEO	B Y UW T IY OW
BUTEOS	B Y UW T IY AH Z
BUTES	B Y UW T S
BUTTE	B Y UW T
BUTTED	B AH T IH D
BUTTER	B AH T ER
BUTTERBALL	B AH T ER B AO L
BUTTERBALLS	B AH T ER B AO L Z
BUTTERCUP	B AH T ER K AH P
BUTTERCUPS	B AH T ER K AH P S
BUTTERED	B AH T ER D
BUTTERFAT	B AH T ER F AE T
BUTTERFATS	B AH T ER F AE T S
BUTTERFINGERED	B AH T ER F IH NG G ER D
BUTTERFINGERS	B AH T ER F IH NG G ER Z
BUTTERFISH	B AH T ER F IH SH
BUTTERFISHES	B AH T ER F IH SH IH Z
BUTTERFLIED	B AH T ER F L AY D
BUTTERFLIES	B AH T ER F L AY Z
BUTTERFLY	B AH T ER F L AY
BUTTERFLYER	B AH T ER F L AY ER
BUTTERFLYERS	B AH T ER F L AY ER Z
BUTTERFLYING	B AH T ER F L AY IH NG
