DE	D IY
CURDED	K ER D IH D
CURSEDER	K ER S T ER
CURSEDEST	K ER S T AH S T
CUSPIDES	K AH S AY D Z
CUSTODES	K AH S T OW D Z
CYANAMIDE	S AY AE N AH M AY D
CYANAMIDES	S AY AE N AH M AY D Z
CYANIDE	S AY AH N AY D
CYANIDE(2)	S AY N AY D
CYANIDED	S AY AH N AY D AH D
CYANIDES	S AY AH N AY D Z
CYCADEOID	S AH K EY D IY OY D
CYCADEOIDS	S AH K EY D IY OY D Z
CYCLODEXTRIN	S IH K L AH D EH K S T R AH N
CYCLODEXTRINS	S IH K L AH D EH K S T R AH N Z
CYCLOHEXIMIDE	S IH K L AH HH EH K S AH M AY D
CYCLOHEXIMIDES	S IH K L AH HH EH K S AH M AY D Z
CYCLOPHOSPHAMIDE	S IH K L AH F AA S AH M AY D
CYCLOPHOSPHAMIDES	S IH K L AH F AA S AH M AY D Z
CYDER	S AY D AH R
CYDERS	S IH D AH R Z
CYLINDER	S IH L AH N D ER
CYLINDER(2)	S IH L IH N D ER
CYLINDERED	S IH L AH N D ER D
CYLINDERING	S IH L AH N D ER IH NG
CYLINDERS	S IH L AH N D ER Z
CYSTITIDES	S IH S T AH T AY D Z
DAMNDEST	D AE M N D AH S T
DAMNDESTS	D AE M N D AH S T S
DAMNEDER	D AE M D ER
DAMNEDEST	D AE M D AH S T
DAMNEDESTS	D AE M D AH S T S
DANDELION	D AE N D AH L AY AH N
DANDELIONS	D AE N D AH L AY AH N Z
DANDER	D AE N D AH R
DANDERED	D AE N D IY R D
DANDERING	D AE N D IY R AH NG
DANDERS	D AE N D AH R Z
DAREDEVIL	D EH R D EH V AH L
DAREDEVILRIES	D EH R D EH V AH L R IY Z
DAREDEVILRY	D EH R D EH V AH L R IY
DAREDEVILS	D EH R D EH V AH L Z
DAREDEVILTRIES	D EH R D EH V AH L T R AY Z
DAREDEVILTRY	D EH R D EH V AH L T R AY
DARNDEST	D AA R N D AH S T
DARNDESTS	D AA R N D AH S T S
DARNEDER	D AA R N D ER
DARNEDEST	D AA R N D EH S T
DARNEDEST(2)	D AA R N EH S T
DAUNDER	D AO N D AH R
DAUNDERED	D AO N D IY R D
DAUNDERING	D AO N D IY R AH NG
DAUNDERS	D AO N D AH R Z
DAYSIDE	D EY S AY D
DAYSIDES	D EY S AY D Z
DAYTRADER	D EY T R EY D ER
DAYTRADERS	D EY T R EY D ER Z
DE	D IY
DE(2)	D EY
DE(3)	D AH
DEACIDIFICATION	D IY AE S AH D AH F AH K EY SH AH N
DEACIDIFICATIONS	D IY AE S AH D AH F AH K EY SH AH N Z
DEACIDIFIED	D IY AE S AH D AH F AY D
DEACIDIFIES	D IY AE S AH D AH F AY Z
DEACIDIFY	D IY AE S AH D AH F AY
DEACIDIFYING	D IY AE S AH D AH F AY IH NG
DEACON	D IY K AH N
DEACONED	D IY K AH N D
DEACONESS	D IY K AH N AH S
DEACONESSES	D IY K AH N AH S IH Z
DEACONING	D IY K AH N IH NG
DEACONRIES	D IY K AH N R IY Z
DEACONRY	D IY K AH N R IY
DEACONS	D IY K AH N Z
DEACTIVATE	D IY AE K T IH V EY T
DEACTIVATED	D IY AE K T IH V EY T IH D
DEACTIVATES	D IY AE K T IH V AH T S
DEACTIVATING	D IY AE K T IH V EY T IH NG
DEACTIVATION	D IY AE K T IH V EY SH AH N
DEACTIVATIONS	D IY AE K T IH V EY SH AH N Z
DEACTIVATOR	D IY AE K T IH V AH T ER
DEACTIVATORS	D IY AE K T IH V AH T ER Z
DEAD	D EH D
DEADBEAT	D EH D B IY T
DEADBEATS	D EH D B IY T S
DEADBOLT	D EH D B OW L T
DEADBOLTS	D EH D B OW L T S
DEADEN	D EH D AH N
DEADENED	D EH D AH N D
DEADENER	D EH D AH N ER
DEADENERS	D EH D AH N ER Z
DEADENING	D EH D AH N IH NG
DEADENING(2)	D EH D N IH NG
DEADENINGLY	D EH D AH N IH NG L IY
DEADENINGS	D EH D AH N IH NG Z
DEADENS	D EH D AH N Z
DEADER	D EH D ER
DEADEST	D EH D AH S T
DEADEYE	D EH D AY
DEADEYES	D EH D AY Z
DEADFALL	D EH D F AO L
DEADFALLS	D EH D F AO L Z
DEADHEAD	D EH D HH EH D
DEADHEADED	D EH D HH EH D IH D
DEADHEADING	D EH D HH EH D IH NG
DEADHEADS	D EH D HH EH D Z
DEADLIER	D EH D L IY ER
DEADLIEST	D EH D L IY AH S T
DEADLIFT	D EH D L IH F T
DEADLIFTED	D EH D L IH F T IH D
DEADLIFTING	D EH D L IH F T IH NG
DEADLIFTS	D EH D L IH F T S
DEADLIGHT	D EH D L AY T
DEADLIGHTS	D EH D L AY T S
DEADLINE	D EH D L AY N
DEADLINES	D EH D L AY N Z
DEADLINESS	D EH D L IY N AH S
DEADLINESSES	D EH D L IY N AH S IH Z
DEADLOCK	D EH D L AA K
DEADLOCKED	D EH D L AA K T
DEADLOCKING	D EH D L AA K IH NG
DEADLOCKS	D EH D L AA K S
DEADLY	D EH D L IY
DEADNESS	D EH D N AH S
DEADNESSES	D EH D N AH S IH Z
DEADPAN	D EH D P AE N
DEADPANNED	D EH D P AE N D
DEADPANNER	D EH D P AE N ER
DEADPANNERS	D EH D P AE N ER Z
DEADPANNING	D EH D P AE N IH NG
DEADPANS	D EH D P AE N Z
DEADS	D EH D Z
DEADWEIGHT	D EH D W EY T
DEADWEIGHTS	D EH D W EY T S
DEADWOOD	D EH D W UH D
DEADWOODS	D EH D W UH D Z
DEAERATE	D IY AE ER AH T
DEAERATED	D IY AE ER EY T IH D
DEAERATES	D IY AE ER AH T S
DEAERATING	D IY AE ER EY T IH NG
DEAERATION	D IY AE ER EY SH AH N
DEAERATIONS	D IY AE ER EY SH AH N Z
DEAERATOR	D IY AE ER AH T ER
DEAERATORS	D IY AE ER AH T ER Z
DEAF	D EH F
DEAFEN	D EH F AH N
DEAFENED	D EH F AH N D
DEAFENING	D EH F AH N IH NG
DEAFENING(2)	D EH F N IH NG
DEAFENINGLY	D EH F AH N IH NG L IY
DEAFENS	D EH F AH N Z
DEAFER	D EH F ER
DEAFEST	D EH F AH S T
DEAFISH	D EH F IH SH
DEAFLY	D EH F L IY
DEAFNESS	D EH F N AH S
DEAFNESSES	D EH F N AH S IH Z
DEAIR	D IY EH R
DEAIRED	D IY EH R D
DEAIRING	D IY EH R IH NG
DEAIRS	D IY EH R Z
DEAL	D IY L
DEALATE	D IY L AH T
DEALATED	D IY L EY T IH D
DEALATES	D IY L AH T S
DEALATION	D IY L EY SH AH N
DEALATIONS	D IY L EY SH AH N Z
DEALER	D IY L ER
DEALERS	D IY L ER Z
DEALERSHIP	D IY L ER SH IH P
DEALERSHIPS	D IY L ER SH IH P S
DEALFISH	D IY L F IH SH
DEALFISHES	D IY L F IH SH IH Z
DEALING	D IY L IH NG
DEALINGS	D IY L IH NG Z
DEALS	D IY L Z
DEALT	D EH L T
DEAMINASE	D IY AE M AH N EY Z
DEAMINASES	D IY AE M AH N EY Z AH Z
DEAMINATE	D IY AH M AY N AH T
DEAMINATED	D IY AH M AY N EY T IH D
DEAMINATES	D IY AH M AY N AH T S
DEAMINATING	D IY AH M AY N EY T IH NG
DEAMINATION	D IY AH M AY N EY SH AH N
DEAMINATIONS	D IY AH M AY N EY SH AH N Z
DEAN	D IY N
DEANED	D IY N D
DEANERIES	D IY N AH R IY Z
DEANERY	D IY N AH R IY
DEANING	D IY N IH NG
DEANS	D IY N Z
DEANSHIP	D IY N SH IH P
DEANSHIPS	D IY N SH IH P S
DEAR	D IH R
DEARER	D IH R ER
DEAREST	D IH R AH S T
DEARIE	D IH ER IY
DEARIES	D IH ER IY Z
DEARLY	D IH R L IY
DEARNESS	D IH ER N AH S
DEARNESSES	D IH ER N AH S IH Z
DEARS	D IH ER Z
DEARTH	D ER TH
DEARTHS	D ER TH S
DEARY	D IH R IY
DEASH	D IY AE SH
DEASHED	D IY AH SH EH D
DEASHES	D IY AE SH IH Z
DEASHING	D IY AE SH IH NG
DEASIL	D IY AE S AH L
DEATH	D EH TH
DEATHBED	D EH TH B EH D
DEATHBEDS	D EH TH B EH D Z
DEATHBLOW	D EH TH B L OW
DEATHBLOWS	D EH TH B L OW Z
DEATHCUP	D EH TH K AH P
DEATHCUPS	D EH TH K AH P S
DEATHFUL	D EH TH F AH L
DEATHLESS	D EH TH L AH S
DEATHLESSLY	D EH TH L AH S L IY
DEATHLESSNESS	D EH TH L AH S N AH S
DEATHLESSNESSES	D EH TH L AH S N AH S IH Z
DEATHLIKE	D EH TH L AY K
DEATHLY	D EH TH L IY
DEATHS	D EH TH S
DEATHSMAN	D EH TH S M AE N
DEATHSMEN	D EH TH S M EH N
DEATHTRAP	D EH TH T R AE P
DEATHTRAPS	D EH TH T R AE P S
DEATHWATCH	D EH TH W AA CH
DEATHWATCHES	D EH TH W AA CH IH Z
DEATHY	D EH TH IY
DEAVE	D IY EY V
DEAVED	D IY EY V D
DEAVES	D IY EY V Z
DEAVING	D IY EY V AH NG
DEB	D EH B
DEBACLE	D AH B AA K AH L
DEBACLES	D EY B AA K AH L Z
DEBAR	D IY B AA R
DEBARK	D IY B AA R K
DEBARKATION	D IY B AA R K EY SH AH N
DEBARKATIONS	D IY B AA R K EY SH AH N Z
DEBARKED	D IY B AA R K T
DEBARKING	D IY B AA R K IH NG
DEBARKS	D IY B AA R K S
DEBARMENT	D IH B AA R M AH N T
DEBARMENTS	D IY B AA R M AH N T S
DEBARRED	D IY B AA R D
DEBARRING	D IY B AA R IH NG
DEBARS	D IY B AA R Z
DEBASE	D AH B EY S
DEBASED	D AH B EY S T
DEBASEMENT	D AH B EY S M AH N T
DEBASEMENTS	D IY B EY S M AH N T S
DEBASER	D IY B EY S ER
DEBASERS	D IY B EY S ER Z
DEBASES	D IY B EY S IH Z
DEBASING	D IH B EY S IH NG
DEBATABLE	D AH B EY T AH B AH L
DEBATE	D AH B EY T
DEBATED	D AH B EY T IH D
DEBATEMENT	D AH B EY T M AH N T
DEBATEMENTS	D AH B EY T M AH N T S
DEBATER	D AH B EY T ER
DEBATERS	D AH B EY T ER Z
DEBATES	D AH B EY T S
DEBATING	D AH B EY T IH NG
DEBAUCH	D AH B AO CH
DEBAUCHED	D AH B AO CH T
DEBAUCHEE	D AH B AO CH IY
DEBAUCHEES	D AH B AO CH IY Z
DEBAUCHER	D AH B AO CH ER
DEBAUCHERIES	D AH B AO CH AH R IY Z
DEBAUCHERS	D AH B AO CH ER Z
DEBAUCHERY	D AH B AO CH ER IY
DEBAUCHES	D AH B AO CH IH Z
DEBAUCHING	D AH B AO CH IH NG
DEBEAK	D IH B AH AE K
DEBEAKED	D IH B AH EY K T
DEBEAKING	D IY B IH AH K IH NG
DEBEAKS	D IH B AH AE K S
DEBENTURE	D AH B EH N CH ER
DEBENTURES	D AH B EH N CH ER Z
DEBILITATE	D AH B IH L AH T EY T
DEBILITATED	D AH B IH L AH T EY T IH D
DEBILITATES	D AH B IH L AH T AH T S
DEBILITATING	D AH B IH L AH T EY T IH NG
DEBILITATION	D AH B IH L AH T EY SH AH N
DEBILITATIONS	D AH B IH L AH T EY SH AH N Z
DEBILITIES	D AH B IH L AH T IY Z
DEBILITY	D AH B IH L AH T IY
DEBIT	D EH B IH T
DEBITED	D IY B AY T EH D
DEBITING	D IY B AY T IH NG
DEBITS	D IY B IH T S
DEBONAIR	D EH B AH N EH R
DEBONAIRLY	D EH B AH N EH R L IY
DEBONAIRNESS	D EH B AH N EH R N AH S
DEBONAIRNESSES	D EH B AH N EH R N AH S IH Z
DEBONE	D IY B OW N
DEBONED	D IY B OW N D
DEBONER	D IY B OW N ER
DEBONERS	D IY B OW N ER Z
DEBONES	D IY B OW N Z
DEBONING	D IY B OW N IH NG
DEBOUCH	D AH B AW CH
DEBOUCHE	D AH B AW CH
DEBOUCHED	D AH B AW CH T
DEBOUCHES	D AH B AW CH AH Z
DEBOUCHING	D AH B AW CH AH NG
DEBOUCHMENT	D AH B AW CH M AH N T
DEBOUCHMENTS	D AH B AW CH M AH N T S
DEBRIDE	D IY B R AY D
DEBRIDED	D IY B R AY D IH D
DEBRIDEMENT	D IY B R AY D M AH N T
DEBRIDEMENTS	D IY B R AY D M AH N T S
DEBRIDES	D IY B R AY D Z
DEBRIDING	D IY B R AY D IH NG
DEBRIEF	D IH B R IY F
DEBRIEFED	D IH B R IY F T
DEBRIEFING	D IH B R IY F IH NG
DEBRIEFINGS	D IY B R IY F IH NG Z
DEBRIEFS	D IH B R IY F S
DEBRIS	D AH B R IY
DEBRUISE	D IY B R UW Z
DEBRUISED	D IY B R UW Z D
DEBRUISES	D IY B R UW Z IH Z
DEBRUISING	D IY B R UW Z IH NG
DEBS	D EH B Z
DEBT	D EH T
DEBTLESS	D EH T L AH S
DEBTOR	D EH T ER
DEBTORS	D EH T ER Z
DEBTS	D EH T S
DEBUG	D IY B AH G
DEBUGGED	D IY B AH G D
DEBUGGER	D IY B UH G ER
DEBUGGERS	D IY B UH G ER Z
DEBUGGING	D IY B AH G IH NG
DEBUGS	D IY B AH G Z
DEBUNK	D IH B AH NG K
DEBUNKED	D IH B AH NG K T
DEBUNKER	D IY B AH NG K ER
DEBUNKERS	D IY B AH NG K ER Z
DEBUNKING	D IH B AH NG K IH NG
DEBUNKS	D IH B AH NG K S
DEBUT	D EY B Y UW
DEBUTANT	D EY B Y UW AH N T
DEBUTANTE	D EH B Y AH T AA N T
DEBUTANTES	D EH B Y AH T AA N T S
DEBUTANTS	D EY B Y UW AH N T S
DEBUTED	D EY B Y UW D
DEBUTED(2)	D EY B Y UW T IH D
DEBUTING	D EY B Y UW T IH NG
DEBUTS	D EY B Y UW Z
DEBYE	D AH B AY
DEBYES	D AH B AY Z
DECADAL	D EH K AH D AH L
DECADE	D EH K EY D
DECADENCE	D EH K AH D AH N S
DECADENCES	D EH K AH D AH N S IH Z
DECADENCIES	D EH K AH D AH N S IY Z
DECADENCY	D EH K AH D AH N S IY
DECADENT	D EH K AH D AH N T
DECADENTLY	D EH K AH D AH N T L IY
DECADENTS	D EH K AH D AH N T S
DECADES	D EH K EY D Z
DECAF	D IY K AE F
DECAFFEINATE	D IY K AE F AH N EY T
DECAFFEINATED	D IY K AE F AH N EY T IH D
DECAFFEINATES	D AH K AE F AH N EY T S
DECAFFEINATING	D IY K AE F AH N EY T IH NG
DECAFFEINATION	D IY K AE F AH N EY SH AH N
DECAFFEINATIONS	D AH K AE F AH N EY T IY AH N Z
DECAFS	D AH K AE F S
DECAGON	D AH K AE G AH N
DECAGONS	D AH K AE G AH N Z
DECAGRAM	D AH K AE G R AH M
DECAGRAMS	D AH K AE G R AH M Z
DECAHEDRA	D AH K AH HH EH D R AH
DECAHEDRON	D AH K AH HH EH D R AH N
DECAHEDRONS	D AH K AH HH EH D R AH N Z
DECAL	D IY S AH L
DECALCIFICATION	D IY K AE L S AH F AH K EY SH AH N
DECALCIFICATIONS	D IY K AE L S AH F AH K EY SH AH N Z
DECALCIFIED	D IY K AE L S AH F AY D
DECALCIFIES	D IY K AE L S AH F AY Z
DECALCIFY	D IY K AE L S AH F AY
DECALCIFYING	D IY K AE L S AH F AY IH NG
DECALCOMANIA	D IY S AH L K OW M EY N IY AH
DECALCOMANIAS	D IY S AH L K OW M EY N IY AH Z
DECALITER	D IH K AH L AY T AH R
DECALITERS	D AH K AE L AH T AH R Z
DECALOG	D AH K AE L AH G
DECALOGS	D AH K AE L AH G Z
DECALOGUE	D AH K AE L AH G
DECALOGUES	D AH K AE L AH G Z
DECALS	D IY K AE L Z
DECAMETER	D AH K AE M AH T AH R
DECAMETERS	D AH K AE M AH T AH R Z
DECAMETHONIUM	D AH K AE M AH TH OW N IY AH M
DECAMETHONIUMS	D AH K AE M AH TH OW N IY AH M Z
DECAMETRIC	D AH K AE M AH T R AH K
DECAMP	D AH K AE M P
DECAMPED	D IY K AE M P T
DECAMPING	D IY K AE M P IH NG
DECAMPMENT	D IY K AE M P M AH N T
DECAMPMENTS	D IY K AE M P M AH N T S
DECAMPS	D IY K AE M P S
DECANAL	D IY K AH N AE L
DECANE	D IY K EY N
DECANES	D IY K EY N Z
DECANT	D AH K AE N T
DECANTATION	D IY S AH N T EY SH AH N
DECANTATIONS	D IY S AH N T EY SH AH N Z
DECANTED	D IY S AH N T IH D
DECANTER	D IY K AE N T ER
DECANTERS	D IY K AE N T ER Z
DECANTING	D AH K AE N T IH NG
DECANTS	D IY S AH N T S
DECAPITATE	D IY K AE P AH T EY T
DECAPITATED	D IY K AE P AH T EY T IH D
DECAPITATES	D AH K AE P AH T EY T S
DECAPITATING	D AH K AE P AH T EY T AH NG
DECAPITATION	D IH K AE P IH T EY SH AH N
DECAPITATIONS	D IH K AE P IH T EY SH AH N Z
DECAPITATOR	D AH K AE P AH T EY T AH R
DECAPITATORS	D AH K AH P IH T AH T AH R Z
DECAPOD	D AH K AE P AH D
DECAPODAN	D AH K AE P AH D AH N
DECAPODANS	D AH K AE P AH D AH N Z
DECAPODOUS	D AH K AE P AH D AH S
DECAPODS	D AH K AE P AH D Z
DECARBONATE	D IY K AA R B AH N AH T
DECARBONATED	D IY K AA R B AH N EY T IH D
DECARBONATES	D IY K AA R B AH N AH T S
DECARBONATING	D IY K AA R B AH N EY T IH NG
DECARBONATION	D IY K AA R B AH N EY SH AH N
DECARBONATIONS	D IY K AA R B AH N EY SH AH N Z
DECARBONIZE	D IY K AA R B AH N AY Z
DECARBONIZED	D IY K AA R B AH N AY Z D
DECARBONIZER	D IY K AA R B AH N AY Z ER
DECARBONIZERS	D IY K AA R B AH N AY Z ER Z
DECARBONIZES	D IY K AA R B AH N AY Z IH Z
DECARBONIZING	D IY K AA R B AH N AY Z IH NG
DECARBOXYLASE	D AH K AH R B AA K S AH L EY Z
DECARBOXYLASES	D AH K AH R B AA K S AH L EY Z AH Z
DECARBOXYLATE	D IY S ER B AA K S IY L EY T
DECARBOXYLATED	D IY S ER B AA K S IY L EY T IH D
DECARBOXYLATES	D IY S ER B AA K S IY L EY T S
DECARBOXYLATING	D IY S ER B AA K S IY L EY T IH NG
DECARBOXYLATION	D IY S ER B AA K S IY L EY SH AH N
DECARBOXYLATIONS	D IY S ER B AA K S IY L EY SH AH N Z
DECARBURIZATION	D IY S ER B IY Y ER AH Z EY SH AH N
DECARBURIZATIONS	D IY S ER B IY Y ER AH Z EY SH AH N Z
DECARBURIZE	D IY S ER B IY Y ER AY Z
DECARBURIZED	D IY S ER B IY Y ER AY Z D
DECARBURIZES	D IY S ER B IY Y ER AY Z IH Z
DECARBURIZING	D IY S ER B IY Y ER AY Z IH NG
DECARE	D IY K EH R
DECARES	D IY K EH R Z
DECASUALIZATION	D IY K AE ZH AH W AH L AH Z EY SH AH N
DECASUALIZATIONS	D IY K AE ZH AH W AH L AH Z EY SH AH N Z
DECASYLLABIC	D AH K AH S IH L AH B AH K
DECASYLLABICS	D AH K AH S IH L AH B AH S Z
DECASYLLABLE	D AH K AH S IH L AH B AH L
DECASYLLABLES	D AH K AH S IH L AH B AH L Z
DECATHLETE	D IY K AE TH L IY T
DECATHLETES	D AH K AE TH L IY T S
DECATHLON	D IY K AE TH L AO N
DECATHLONS	D IH K AE TH L AH N Z
DECAY	D IH K EY
DECAYED	D IH K EY D
DECAYER	D IH K EY ER
DECAYERS	D IH K EY ER Z
DECAYING	D IH K EY IH NG
DECAYS	D AH K EY Z
DECEASE	D IH S IY S
DECEASED	D IH S IY S T
DECEASES	D IY S IY S IH Z
DECEASING	D IY S IY S IH NG
DECEDENT	D EH S IY D AH N T
DECEDENTS	D EH S IY D AH N T S
DECEIT	D IH S IY T
DECEITFUL	D IH S IY T F AH L
DECEITFULLY	D AH S IY T F AH L IY
DECEITFULNESS	D AH S IY T F AH L N AH S
DECEITFULNESSES	D AH S IY T F AH L N AH S IH Z
DECEITS	D IH S IY T S
DECEIVABLE	D IH S IY V AH B AH L
DECEIVE	D IH S IY V
DECEIVED	D IH S IY V D
DECEIVER	D IH S IY V ER
DECEIVERS	D IH S IY V ER Z
DECEIVES	D IH S IY V Z
DECEIVING	D IH S IY V IH NG
DECEIVINGLY	D IH S IY V IH NG L IY
DECELERATE	D IH S EH L ER EY T
DECELERATED	D IH S EH L ER EY T IH D
DECELERATES	D IY S EH L AH R EY T S
DECELERATING	D IH S EH L ER EY T IH NG
DECELERATION	D IH S EH L ER EY SH AH N
DECELERATIONS	D IY S EH L AH R EY SH AH N Z
DECELERATOR	D IY S EH L AH R EY T ER
DECELERATORS	D IY S EH L AH R EY T ER Z
DECEMVIR	D AH S EH M V AH R
DECEMVIRAL	D AH S EH M V AH R AH L
DECEMVIRATE	D AH S EH M V AH R EY T
DECEMVIRATES	D AH S EH M V AH R EY T S
DECEMVIRI	D AH S EH M V AH R IY
DECEMVIRS	D AH S EH M V AH R Z
DECENARIES	D IY S AH N EH R IY Z
DECENARY	D IY S AH N EH R IY
DECENCIES	D IY S AH N S IY Z
DECENCY	D IY S AH N S IY
DECENNIA	D AH S EH N IY AH
DECENNIAL	D AH S EH N IY AH L
DECENNIALLY	D IY S AH N IY AH L IY
DECENNIALS	D IY S AH N IY AH L Z
DECENNIUM	D AH S EH N IY AH M
DECENNIUMS	D AH S EH N IY AH M Z
DECENT	D IY S AH N T
DECENTER	D IY S EH N T ER
DECENTERED	D IY S EH N T ER D
DECENTERING	D IY S EH N T ER IH NG
DECENTERS	D IY S EH N T ER Z
DECENTEST	D IY S AH N T AH S T
DECENTLY	D IY S AH N T L IY
DECENTRALIZATION	D IH S EH N T R AH L IH Z EY SH AH N
DECENTRALIZATIONS	D IY S EH N T R AH L AH Z EY SH AH N Z
DECENTRALIZE	D IH S EH N T R AH L AY Z
DECENTRALIZED	D IH S EH N T R AH L AY Z D
DECENTRALIZES	D IY S EH N T R AH L AY Z IH Z
DECENTRALIZING	D IH S EH N T R AH L AY Z IH NG
DECENTRE	D IY S EH N T ER
DECENTRED	D IY S EH N T ER D
DECENTRES	D IY S EH N T ER Z
DECENTRING	D IY S EH N T ER IH NG
DECEPTION	D IH S EH P SH AH N
DECEPTIONAL	D IH S EH P SH AH N AH L
DECEPTIONS	D IH S EH P SH AH N Z
DECEPTIVE	D IH S EH P T IH V
DECEPTIVELY	D IH S EH P T IH V L IY
DECEPTIVENESS	D IH S EH P T IH V N AH S
DECEPTIVENESSES	D IH S EH P T IH V N AH S IH Z
DECEREBRATE	D IY S EH R AH B R AH T
DECEREBRATED	D IY S EH R AH B R EY T IH D
DECEREBRATES	D IY S EH R AH B R AH T S
DECEREBRATING	D IY S EH R AH B R EY T IH NG
DECEREBRATION	D IY S EH R AH B R EY SH AH N
DECEREBRATIONS	D IY S EH R AH B R EY SH AH N Z
DECERN	D AH S AH R N
DECERNED	D AH S AH R N D
DECERNING	D AH S AH R N AH NG
DECERNS	D AH S AH R N Z
DECERTIFICATION	D IY S ER T AH F AH K EY SH AH N
DECERTIFICATIONS	D IY S ER T AH F AH K EY SH AH N Z
DECERTIFIED	D IY S ER T AH F AY D
DECERTIFIES	D IY S ER T AH F AY Z
DECERTIFY	D IY S ER T AH F AY
DECERTIFYING	D IY S ER T AH F AY IH NG
DECHLORINATE	D IY K L OW R IY N AH T
DECHLORINATED	D IY K L OW R IY N EY T IH D
DECHLORINATES	D IY K L OW R IY N AH T S
DECHLORINATING	D IY K L OW R IY N EY T IH NG
DECHLORINATION	D IY K L OW R IY N EY SH AH N
DECHLORINATIONS	D IY K L OW R IY N EY SH AH N Z
DECIARE	D AH S AY AH R
DECIARES	D AH S AY AH R Z
DECIBEL	D EH S AH B EH L
DECIBELS	D EH S AH B AH L Z
DECIDABILITIES	D IH S AY D AH B IH L AH T EH Z
DECIDABILITY	D IH S AY D AH B IH L AH T EH
DECIDABLE	D IH S AY D AH B AH L
DECIDE	D IH S AY D
DECIDED	D IH S AY D IH D
DECIDEDLY	D IH S AY D AH D L IY
DECIDEDNESS	D IH S AY D AH D N AH S
DECIDEDNESSES	D IH S AY D AH D N AH S IH Z
DECIDER	D IH S AY D ER
DECIDERS	D IY S AY D ER Z
DECIDES	D IH S AY D Z
DECIDING	D IH S AY D IH NG
DECIDUA	D AH S IH D Y UW AH
DECIDUAE	D AH S IH D Y UW IY
DECIDUAL	D AH S IH D Y AH W AH
DECIDUAS	D AH S IH D Y UW AH Z
DECIDUATE	D AH S IH D Y UW EY T
DECIDUOUS	D IH S IH JH UW AH S
DECIDUOUSNESS	D AH S IH D Y UW AW Z N AH S
DECIDUOUSNESSES	D AH S IH D Y UW AW Z N EH S AH Z
DECIGRAM	D AH S IH G R AH M
DECIGRAMS	D AH S IH G R AH M Z
DECILE	D IY S AH L
DECILES	D IY S AH L Z
DECILITER	D EH S AH L IY T ER
DECILITERS	D AH S IH L AH T AH R Z
DECILLION	D AH S IH L IY AH N
DECILLIONS	D AH S IH L IY AH N Z
DECIMAL	D EH S AH M AH L
DECIMALIZATION	D EH S AH M AH L AH Z EY SH AH N
DECIMALIZATIONS	D EH S AH M AH L AH Z EY SH AH N Z
DECIMALIZE	D EH S AH M AH L AY Z
DECIMALIZED	D EH S AH M AH L AY Z D
DECIMALIZES	D EH S AH M AH L AY Z IH Z
DECIMALIZING	D EH S AH M AH L AY Z IH NG
DECIMALLY	D EH S AH M AH L IY
DECIMALS	D EH S AH M AH L Z
DECIMATE	D EH S AH M EY T
DECIMATED	D EH S AH M EY T IH D
DECIMATES	D IH S AH M EY T S
DECIMATING	D EH S AH M EY T IH NG
DECIMATION	D EH S AH M EY SH AH N
DECIMATIONS	D AH S AH M EY T IY AH N Z
DECIMETER	D AH S IH M AH T AH R
DECIMETERS	D AH S IH M AH T AH R Z
DECIPHER	D IH S AY F ER
DECIPHERABLE	D IY S AY F ER AH B AH L
DECIPHERED	D IH S AY F ER D
DECIPHERER	D IY S AY F ER ER
DECIPHERERS	D IY S AY F ER ER Z
DECIPHERING	D AH S AY F ER IH NG
DECIPHERMENT	D IY S AY F ER M AH N T
DECIPHERMENTS	D IY S AY F ER M AH N T S
DECIPHERS	D IY S AY F ER Z
DECISION	D IH S IH ZH AH N
DECISIONAL	D IH S IH ZH AH N AH L
DECISIONED	D IH S IH ZH AH N D
DECISIONING	D IH S IH ZH AH N IH NG
DECISIONS	D IH S IH ZH AH N Z
DECISIVE	D IH S AY S IH V
DECISIVELY	D IH S AY S IH V L IY
DECISIVENESS	D IH S AY S IH V N AH S
DECISIVENESSES	D AH S AY S IH V N AH S IH Z
DECK	D EH K
DECKED	D EH K T
DECKEL	D IH K EH L
DECKELS	D IH K EH L Z
DECKER	D EH K ER
DECKERS	D IY S ER Z
DECKHAND	D EH K HH AE N D
DECKHANDS	D EH K HH AE N D Z
DECKHOUSE	D EH K HH AW S
DECKHOUSES	D EH K HH AW S IH Z
DECKING	D EH K IH NG
DECKINGS	D EH K IH NG Z
DECKLE	D IH K AH L
DECKLES	D EH K AH L Z
DECKS	D EH K S
DECLAIM	D IH K L EY M
DECLAIMED	D IH K L EY M D
DECLAIMER	D IY K L EY M ER
DECLAIMERS	D IY K L EY M ER Z
DECLAIMING	D IY K L EY M IH NG
DECLAIMS	D IY K L EY M Z
DECLAMATION	D IY K L AE M EY SH AH N
DECLAMATIONS	D IY K L AE M EY SH AH N Z
DECLAMATORY	D IH K L AE M AH T OW R IY
DECLARABLE	D IY K L AE R AH B AH L
DECLARANT	D IH K L EH R AH N T
DECLARANTS	D IY K L AE R AH N T S
DECLARATION	D EH K L ER EY SH AH N
DECLARATIONS	D EH K L ER EY SH AH N Z
DECLARATIVE	D IH K L AE R AH T IH V
DECLARATIVELY	D IH K L AE R AH T IH V L IY
DECLARATORY	D IH K L EH R AH T AO R IY
DECLARE	D IH K L EH R
DECLARED	D IH K L EH R D
DECLARER	D IY K L AE R ER
