TIO	T AY OW
CONFIRMATIONS	K AA N F ER M EY SH AH N Z
CONFISCATION	K AA N F AH S K EY SH AH N
CONFISCATIONS	K AA N F AH S K EY SH AH N Z
CONFLAGRATION	K AA N F L AH G R EY SH AH N
CONFLAGRATIONS	K AA N F L AH G R EY SH AH N Z
CONFLATION	K AH N F L EY SH AH N
CONFLATIONS	K AH N F L AE SH AH N Z
CONFLICTION	K AA N F L IH K SH AH N
CONFLICTIONS	K AA N F L IH K SH AH N Z
CONFORMATION	K AA N F AO R M EY SH AH N
CONFORMATIONAL	K AA N F ER M EY SH AH N AH L
CONFORMATIONS	K AA N F AO R M EY SH AH N Z
CONFRONTATION	K AA N F R AH N T EY SH AH N
CONFRONTATIONAL	K AA N F R AH N T EY SH AH N AH L
CONFRONTATIONIST	K AA N F R AH N T EY SH AH N IH S T
CONFRONTATIONISTS	K AA N F R AH N T EY SH AH N IH S T S
CONFRONTATIONS	K AA N F R AH N T EY SH AH N Z
CONFUTATION	K AH N F Y UW T EY SH AH N
CONFUTATIONS	K AH N F Y UW T EY SH AH N Z
CONGELATION	K AH N JH EH L EY SH AH N
CONGELATIONS	K AH N JH EH L EY SH AH N Z
CONGESTION	K AH N JH EH S CH AH N
CONGESTIONS	K AH N JH EH S SH AH N Z
CONGLOBATION	K AH N G L OW B EY SH AH N
CONGLOBATIONS	K AH N G L OW B EY SH AH N Z
CONGLOMERATION	K AH N G L AA M ER EY SH AH N
CONGLOMERATIONS	K AH N G L AA M ER EY SH AH N Z
CONGLUTINATION	K AH N G L AH T IH N EY SH AH N
CONGLUTINATIONS	K AH N G L AH T IH N EY SH AH N Z
CONGRATULATION	K AH N G R AE CH AH L EY SH AH N
CONGRATULATIONS	K AH N G R AE CH AH L EY SH AH N Z
CONGREGATION	K AA NG G R AH G EY SH AH N
CONGREGATIONAL	K AA NG G R AH G EY SH AH N AH L
CONGREGATIONALISM	K AA NG G R IH G EY SH AH N AH L IH Z AH M
CONGREGATIONALISMS	K AA NG G R IH G EY SH AH N AH L IH Z AH M Z
CONGREGATIONALIST	K AA NG G R IH G EY SH AH N AH L IH S T
CONGREGATIONALISTS	K AA NG G R IH G EY SH AH N AH L IH S T S
CONGREGATIONS	K AA NG G R AH G EY SH AH N Z
CONJUGATION	K AA N JH AH G EY SH AH N
CONJUGATIONAL	K AA N JH IH G EY SH AH N AH L
CONJUGATIONALLY	K AA N JH IH G EY SH AH N AH L IY
CONJUGATIONS	K AA N JH AH G EY SH AH N Z
CONJUNCTION	K AH N JH AH NG K SH AH N
CONJUNCTIONAL	K AH N JH AH NG K SH AH N AH L
CONJUNCTIONALLY	K AH N JH AH NG K SH AH N AH L IY
CONJUNCTIONS	K AH N JH AH NG K SH AH N Z
CONJURATION	K AH N JH UH R EY SH AH N
CONJURATIONS	K AH N JH UH R EY SH AH N Z
CONNECTION	K AH N EH K SH AH N
CONNECTIONAL	K AH N EH K SH AH N AH L
CONNECTIONS	K AH N EH K SH AH N Z
CONNIPTION	K AH N IH P SH AH N
CONNIPTIONS	K AA N IH P T IY AH N Z
CONNOTATION	K AA N AH T EY SH AH N
CONNOTATIONAL	K AA N AH T EY SH AH N AH L
CONNOTATIONS	K AA N AH T EY SH AH N Z
CONSCIENTIOUS	K AA N SH IY EH N SH AH S
CONSCIENTIOUSLY	K AA N CH IY EH N CH AH S L IY
CONSCIENTIOUSNESS	K AA N CH IY EH N CH AH S N AH S
CONSCIENTIOUSNESSES	K AA N CH IY EH N CH AH S N AH S IH Z
CONSCRIPTION	K AH N S K R IH P SH AH N
CONSCRIPTIONS	K AH N S K R IH P SH AH N Z
CONSECRATION	K AA N S AH K R EY SH AH N
CONSECRATIONS	K AA N S AH K R EY SH AH N Z
CONSECUTION	K AA N S IY K Y UW SH AH N
CONSECUTIONS	K AA N S EH K Y UW T IY AH N Z
CONSERVATION	K AA N S ER V EY SH AH N
CONSERVATIONAL	K AH N S ER V EY SH AH N AH L
CONSERVATIONIST	K AA N S ER V EY SH AH N IH S T
CONSERVATIONISTS	K AA N S ER V EY SH AH N IH S T S
CONSERVATIONS	K AH N S ER V EY SH AH N Z
CONSIDERATION	K AH N S IH D ER EY SH AH N
CONSIDERATIONS	K AH N S IH D ER EY SH AH N Z
CONSIGNATION	K AH N S AY N EY SH AH N
CONSIGNATIONS	K AH N S AY N EY SH AH N Z
CONSOCIATION	K AH N S OW SH EY SH AH N
CONSOCIATIONAL	K AH N S OW SH EY SH AH N AH L
CONSOCIATIONS	K AH N S OW SH EY SH AH N Z
CONSOLATION	K AA N S AH L EY SH AH N
CONSOLATIONS	K AA N S AH L EY SH AH N Z
CONSOLIDATION	K AH N S AA L AH D EY SH AH N
CONSOLIDATIONS	K AH N S AA L IH D EY SH AH N Z
CONSPIRATION	K AH N S P AY ER EY SH AH N
CONSPIRATIONAL	K AH N S P AY ER EY SH AH N AH L
CONSPIRATIONS	K AH N S P AY ER EY SH AH N Z
CONSTELLATION	K AA N S T AH L EY SH AH N
CONSTELLATIONS	K AA N S T AH L EY SH AH N Z
CONSTERNATION	K AA N S T ER N EY SH AH N
CONSTERNATIONS	K AA N S T ER N EY SH AH N Z
CONSTIPATION	K AA N S T AH P EY SH AH N
CONSTIPATIONS	K AA N Z T IH P EY SH AH N Z
CONSTITUTION	K AA N S T AH T UW SH AH N
CONSTITUTIONAL	K AA N S T AH T UW SH AH N AH L
CONSTITUTIONALISM	K AA N S T AH T UW SH AH N AH L IH Z AH M
CONSTITUTIONALISMS	K AA N S T AH T UW SH AH N AH L IH Z AH M Z
CONSTITUTIONALIST	K AA N S T AH T UW SH AH N AH L IH S T
CONSTITUTIONALISTS	K AA N S T AH T UW SH AH N AH L IH S T S
CONSTITUTIONALITIES	K AA N S T AH T UW SH AH N AH L AH T IY Z
CONSTITUTIONALITY	K AA N S T IH T UW SH AH N AE L IH T IY
CONSTITUTIONALIZATION	K AA N S T AH T UW SH AH N AH L AH Z EY SH AH N
CONSTITUTIONALIZATIONS	K AA N S T AH T UW SH AH N AH L AH Z EY SH AH N Z
CONSTITUTIONALIZE	K AA N S T AH T UW SH AH N AH L AY Z
CONSTITUTIONALIZED	K AA N S T AH T UW SH AH N AH L AY Z D
CONSTITUTIONALIZES	K AA N S T AH T UW SH AH N AH L AY Z IH Z
CONSTITUTIONALIZING	K AA N S T AH T UW SH AH N AH L AY Z IH NG
CONSTITUTIONALLY	K AA N S T AH T UW SH AH N AH L IY
CONSTITUTIONALS	K AA N S T AH T UW SH AH N AH L Z
CONSTITUTIONLESS	K AA N S T AH T UW SH AH N L AH S
CONSTITUTIONS	K AA N S T IH T UW SH AH N Z
CONSTRICTION	K AH N S T R IH K SH AH N
CONSTRICTIONS	K AH N S T R IH K SH AH N Z
CONSTRUCTION	K AH N S T R AH K SH AH N
CONSTRUCTIONAL	K AH N S T R AH K SH AH N AH L
CONSTRUCTIONALLY	K AH N S T R AH K SH AH N AH L IY
CONSTRUCTIONIST	K AH N S T R AH K SH AH N IH S T
CONSTRUCTIONISTS	K AH N S T R AH K SH AH N IH S T S
CONSTRUCTIONS	K AH N S T R AH K SH AH N Z
CONSUBSTANTIATION	K AH N S AH B S T AE N CH IY EY SH AH N
CONSUBSTANTIATIONS	K AH N S AH B S T AE N CH IY EY SH AH N Z
CONSULTATION	K AA N S AH L T EY SH AH N
CONSULTATIONS	K AA N S AH L T EY SH AH N Z
CONSUMMATION	K AA N S AH M EY SH AH N
CONSUMMATIONS	K AH N S AH M AH SH AH N Z
CONSUMPTION	K AH N S AH M P SH AH N
CONSUMPTION(2)	K AH N S AH M SH AH N
CONSUMPTIONS	K AH N S AH M P SH AH N Z
CONTAINERISATION	K AH N T EY N AH R IY Z EY SH AH N
CONTAINERISATIONS	K AH N T EY N AH R IY Z EY SH AH N Z
CONTAINERIZATION	K AH N T EY N ER AH Z EY SH AH N
CONTAINERIZATIONS	K AH N T EY N ER AH Z EY SH AH N Z
CONTAMINATION	K AH N T AE M AH N EY SH AH N
CONTAMINATIONS	K AH N T AE M AH N EY SH AH N Z
CONTEMPLATION	K AA N T AH M P L EY SH AH N
CONTEMPLATIONS	K AA N T AH M P L EY SH AH N Z
CONTENTION	K AH N T EH N SH AH N
CONTENTIONS	K AH N T EH N SH AH N Z
CONTENTIOUS	K AH N T EH N SH AH S
CONTENTIOUSLY	K AH N T EH N T IY AH S L IY
CONTENTIOUSNESS	K AH N T EH N SH AH S N AH S
CONTENTIOUSNESSES	K AH N T EH N T IY AH S N AH S IH Z
CONTESTATION	K AH N T EH S T EY SH AH N
CONTESTATIONS	K AH N T EH S T EY SH AH N Z
CONTINUATION	K AH N T IH N Y UW EY SH AH N
CONTINUATIONS	K AH N T IH N Y UW EY SH AH N Z
CONTORTION	K AH N T AO R SH AH N
CONTORTIONIST	K AH N T AO R SH AH N AH S T
CONTORTIONISTIC	K AH N T AO R SH AH N IH S T IH K
CONTORTIONISTS	K AH N T AO R SH AH N IH S T S
CONTORTIONS	K AH N T AO R SH AH N Z
CONTRACEPTION	K AA N T R AH S EH P SH AH N
CONTRACEPTIONS	K AA N T R AH S EH P SH AH N Z
CONTRACTION	K AH N T R AE K SH AH N
CONTRACTIONAL	K AA N T R AE K SH AH N AH L
CONTRACTIONARY	K AH N T R AE K SH AH N EH R IY
CONTRACTIONS	K AH N T R AE K SH AH N Z
CONTRADICTION	K AA N T R AH D IH K SH AH N
CONTRADICTIONS	K AA N T R AH D IH K SH AH N Z
CONTRADICTIOUS	K AA N T R AH D IH K T IY AH S
CONTRADISTINCTION	K AA N T R AH D IH S T IH NG K SH AH N
CONTRADISTINCTIONS	K AA N T R AH D IH S T IH NG K SH AH N Z
CONTRAINDICATION	K AA N T R AH IH N D AH K EY SH AH N
CONTRAINDICATIONS	K AA N T R AH IH N D AH K EY SH AH N Z
CONTRAPOSITION	K AA N T R AH P AH Z IH SH AH N
CONTRAPOSITIONS	K AA N T R AH P AH Z IH SH AH N Z
CONTRAPTION	K AH N T R AE P SH AH N
CONTRAPTIONS	K AH N T R AE P SH AH N Z
CONTRAVENTION	K AA N T R AH V EH N CH AH N
CONTRAVENTIONS	K AA N T R AH V EH N CH AH N Z
CONTRIBUTION	K AA N T R AH B Y UW SH AH N
CONTRIBUTIONS	K AA N T R AH B Y UW SH AH N Z
CONTRITION	K AH N T R IH SH AH N
CONTRITIONS	K AH N T R IH SH AH N Z
CONURBATION	K AH N AH R B EY SH AH N
CONURBATIONS	K AH N AH R B EY T IY AH N Z
CONVECTION	K AH N V EH K SH AH N
CONVECTIONAL	K AH N V EH K SH AH N AH L
CONVECTIONS	K AH N V EH K SH AH N Z
CONVENTION	K AH N V EH N SH AH N
CONVENTIONAL	K AH N V EH N SH AH N AH L
CONVENTIONALISM	K AA N V AH N CH AH N AH L IH Z AH M
CONVENTIONALISMS	K AA N V AH N CH AH N AH L IH Z AH M Z
CONVENTIONALIST	K AA N V AH N CH AH N AH L IH S T
CONVENTIONALISTS	K AA N V AH N CH AH N AH L IH S T S
CONVENTIONALITIES	K AH N V EH N CH AH N AE L AH T IY Z
CONVENTIONALITY	K AH N V EH N CH AH N AE L AH T IY
CONVENTIONALIZATION	K AA N V AH N CH AH N AH L AH Z EY SH AH N
CONVENTIONALIZATIONS	K AA N V AH N CH AH N AH L AH Z EY SH AH N Z
CONVENTIONALIZE	K AA N V AH N CH AH N AH L AY Z
CONVENTIONALIZED	K AA N V AH N CH AH N AH L AY Z D
CONVENTIONALIZES	K AA N V AH N CH AH N AH L AY Z IH Z
CONVENTIONALIZING	K AA N V AH N CH AH N AH L AY Z IH NG
CONVENTIONALLY	K AH N V EH N SH AH N AH L IY
CONVENTIONEER	K AH N V EH N SH AH N IH R
CONVENTIONEERS	K AH N V EH N SH AH N IH R Z
CONVENTIONS	K AH N V EH N SH AH N Z
CONVERSATION	K AA N V ER S EY SH AH N
CONVERSATIONAL	K AA N V ER S EY SH AH N AH L
CONVERSATIONALIST	K AA N V ER S EY SH AH N AH L AH S T
CONVERSATIONALISTS	K AA N V ER S EY SH AH N AH L IH S T S
CONVERSATIONALLY	K AA N V ER S EY SH AH N AH L IY
CONVERSATIONS	K AA N V ER S EY SH AH N Z
CONVEYORIZATION	K AH N V EY ER AH Z EY SH AH N
CONVEYORIZATIONS	K AH N V EY ER AH Z EY SH AH N Z
CONVICTION	K AH N V IH K SH AH N
CONVICTIONS	K AH N V IH K SH AH N Z
CONVOCATION	K AA N V AH K EY SH AH N
CONVOCATIONAL	K AA N V AH K EY SH AH N AH L
CONVOCATIONS	K AA N V AH K EY SH AH N Z
CONVOLUTION	K AA N V AH L UW SH AH N
CONVOLUTIONS	K AA N V AH L UW SH AH N Z
COOPERATION	K OW AA P ER EY SH AH N
COOPERATION(2)	K W AA P ER EY SH AH N
COOPERATION(3)	K W AO P ER EY SH AH N
COOPERATIONIST	K OW AA P ER EY SH AH N IH S T
COOPERATIONISTS	K OW AA P ER EY SH AH N IH S T S
COOPERATIONS	K OW AA P ER EY SH AH N Z
COOPERATIONS(2)	K W AA P ER EY SH AH N Z
COOPTION	K OW AA P SH AH N
COOPTIONS	K OW AA P SH AH N Z
COORDINATION	K OW AO R D AH N EY SH AH N
COORDINATIONS	K OW AO R D AH N EY SH AH N Z
COPOLYMERIZATION	K OW P AA L AH M ER AH Z EY SH AH N
COPOLYMERIZATIONS	K OW P AA L AH M ER AH Z EY SH AH N Z
COPRODUCTION	K OW P R AA D AH K SH AH N
COPRODUCTIONS	K OW P R AA D AH K SH AH N Z
COPULATION	K AA P Y AH L EY SH AH N
COPULATIONS	K OW P Y AH L EY T IY AH N Z
CORNIFICATION	K AO R N AH F AH K EY SH AH N
CORNIFICATIONS	K AO R N AH F AH K EY SH AH N Z
CORONATION	K AO R AH N EY SH AH N
CORONATIONS	K AO R AH N EY SH AH N Z
COROTATION	K OW R OW T EY SH AH N
COROTATIONS	K OW R OW T EY SH AH N Z
CORPORATION	K AO R P ER EY SH AH N
CORPORATIONS	K AO R P ER EY SH AH N Z
CORRECTION	K ER EH K SH AH N
CORRECTIONAL	K ER EH K SH AH N AH L
CORRECTIONS	K ER EH K SH AH N Z
CORRELATION	K AO R AH L EY SH AH N
CORRELATIONAL	K AO R AH L EY SH AH N AH L
CORRELATIONS	K AO R AH L EY SH AH N Z
CORROBORATION	K ER AO B ER EY SH AH N
CORROBORATIONS	K AH R AA B ER EY SH AH N Z
CORRUGATION	K AO R AH G EY SH AH N
CORRUGATIONS	K AO R AH G EY SH AH N Z
CORRUPTION	K ER AH P SH AH N
CORRUPTIONIST	K AH R AH P SH AH N IH S T
CORRUPTIONISTS	K AH R AH P SH AH N IH S T S
CORRUPTIONS	K ER AH P SH AH N Z
CORUSCATION	K OW R AH S EY SH AH N
CORUSCATIONS	K OW R AH S EY T IY AH N Z
COTRANSDUCTION	K OW T R AE N S D AH K SH AH N
COTRANSDUCTIONS	K OW T R AE N S D AH K SH AH N Z
COUNTERACCUSATION	K AW N T ER AE K Y AH Z EY SH AH N
COUNTERACCUSATIONS	K AW N T ER AE K Y AH Z EY SH AH N Z
COUNTERACTION	K AW N T ER AE K SH AH N
COUNTERACTIONS	K AW N T ER AE K SH AH N Z
COUNTERADAPTATION	K AW N T ER AE D AE P T EY SH AH N
COUNTERADAPTATIONS	K AW N T ER AE D AE P T EY SH AH N Z
COUNTERCONDITIONING	K AW N T ER K AH N D IH SH AH N IH NG
COUNTERCONDITIONINGS	K AW N T ER K AH N D IH SH AH N IH NG Z
COUNTERCONVENTION	K AW N T ER K AA N V AH N CH AH N
COUNTERCONVENTIONS	K AW N T ER K AA N V AH N CH AH N Z
COUNTERDEMONSTRATION	K AW N T ER D EH M AH N S T R EY SH AH N
COUNTERDEMONSTRATIONS	K AW N T ER D EH M AH N S T R EY SH AH N Z
COUNTEREDUCATIONAL	K AW N T ER EH JH AH K EY SH AH N AH L
COUNTERINFLATION	K AW N T ER IH N F L EY SH AH N
COUNTERINFLATIONARY	K AW N T ER IH N F L EY SH AH N EH R IY
COUNTERINSTITUTION	K AW N T ER IH N S T AH T UW SH AH N
COUNTERINSTITUTIONS	K AW N T ER IH N S T AH T UW SH AH N Z
COUNTERINTERPRETATION	K AW N T ER IH N T ER P R AH T EY SH AH N
COUNTERINTERPRETATIONS	K AW N T ER IH N T ER P R AH T EY SH AH N Z
COUNTERMOBILIZATION	K AW N T ER M OW B AH L AH Z EY SH AH N
COUNTERMOBILIZATIONS	K AW N T ER M OW B AH L AH Z EY SH AH N Z
COUNTERPETITION	K AW N T ER P AH T IH SH AH N
COUNTERPETITIONED	K AW N T ER P AH T IH SH AH N D
COUNTERPETITIONING	K AW N T ER P AH T IH SH AH N IH NG
COUNTERPETITIONS	K AW N T ER P AH T IH SH AH N Z
COUNTERQUESTION	K AW N T ER K W EH S CH AH N
COUNTERQUESTIONED	K AW N T ER K W EH S CH AH N D
COUNTERQUESTIONING	K AW N T ER K W EH S CH AH N IH NG
COUNTERQUESTIONS	K AW N T ER K W EH S CH AH N Z
COUNTERREACTION	K AW N T ER R IY AE K SH AH N
COUNTERREACTIONS	K AW N T ER R IY AE K SH AH N Z
COUNTERREFORMATION	K AW N T ER R EH F ER M EY SH AH N
COUNTERREFORMATIONS	K AW N T ER R EH F ER M EY SH AH N Z
COUNTERRETALIATION	K AW N T ER R IH T AE L IY EY SH AH N
COUNTERRETALIATIONS	K AW N T ER R IH T AE L IY EY SH AH N Z
COUNTERREVOLUTION	K AW N T ER R EH V AH L UW SH AH N
COUNTERREVOLUTIONARIES	K AW N T ER R EH V AH L UW SH AH N EH R IY Z
COUNTERREVOLUTIONARY	K AW N T ER R EH V AH L UW SH AH N EH R IY
COUNTERREVOLUTIONS	K AW N T ER R EH V AH L UW SH AH N Z
COUNTERSUGGESTION	K AW N T ER S AH G JH EH S SH AH N
COUNTERSUGGESTIONS	K AW N T ER S AH G JH EH S SH AH N Z
COUNTERTRADITION	K AW N T ER T R AH D IH SH AH N
COUNTERTRADITIONS	K AW N T ER T R AH D IH SH AH N Z
COVARIATION	K OW V EH R IY EY SH AH N
COVARIATIONS	K OW V EH R IY EY SH AH N Z
CREATION	K R IY EY SH AH N
CREATIONISM	K R IY EY SH AH N IH Z AH M
CREATIONISMS	K R IY EY SH AH N IH Z AH M Z
CREATIONIST	K R IY EY SH AH N IH S T
CREATIONISTS	K R IY EY SH AH N IH S T S
CREATIONS	K R IY EY SH AH N Z
CREMATION	K R IY M EY SH AH N
CREMATIONS	K R IY M EY SH AH N Z
CRENATION	K R IY N EY SH AH N
CRENATIONS	K R AH N EY T IY AH N Z
CRENELATION	K R EH N AH L EY SH AH N
CRENELATIONS	K R EH N AH L EY T IY AH N Z
CRENELLATION	K R EH N AH L EY SH AH N
CRENELLATIONS	K R EH N AH L EY T IY AH N Z
CRENULATION	K R IY N Y AH L EY SH AH N
CRENULATIONS	K R EH N Y AH L EY T IY AH N Z
CREOLIZATION	K R IY OW L AH Z EY SH AH N
CREOLIZATIONS	K R IY OW L AH Z EY SH AH N Z
CREPITATION	K R EH P AH T EY SH AH N
CREPITATIONS	K R EH P AH T EY T IY AH N Z
CRIMINALIZATION	K R IH M AH N AH L AH Z EY SH AH N
CRIMINALIZATIONS	K R IH M AH N AH L AH Z EY SH AH N Z
CRIMINATION	K R IH M AH N EY SH AH N
CRIMINATIONS	K R IH M AH N EY SH AH N Z
CRYOPRESERVATION	K R AY AA P R EH S AH R V EY SH AH N
CRYOPRESERVATIONS	K R AY AA P R AH S AH R V EY T IY AH N Z
CRYSTALLIZATION	K R IH S T AH L AH Z EY SH AH N
CRYSTALLIZATIONS	K R IH S T AH L AH Z EY SH AH N Z
CULMINATION	K AH L M AH N EY SH AH N
CULMINATIONS	K AH L M AH N EY SH AH N Z
CULTIVATION	K AH L T IH V EY SH AH N
CULTIVATIONS	K AH L T IH V EY SH AH N Z
CUMULATION	K Y UW M Y AH L EY SH AH N
CUMULATIONS	K Y UW M Y AH L EY SH AH N Z
CUNCTATION	K AH NG K T EY SH AH N
CUNCTATIONS	K AH NG K T EY T IY AH N Z
CUPELLATION	K Y UW P AH L EY SH AH N
CUPELLATIONS	K Y UW P AH L EY T IY AH N Z
CURARIZATION	K Y UH R ER AH Z EY SH AH N
CURARIZATIONS	K Y UH R ER AH Z EY SH AH N Z
CUSPIDATION	K AH S P AH D EY SH AH N
CUSPIDATIONS	K AH S P AH D EY SH AH N Z
CUSTOMIZATION	K AH S T AH M AH Z EY SH AH N
CUSTOMIZATIONS	K AH S T AH M AH Z EY SH AH N Z
CYANOETHYLATION	S AY AH N OW EH TH AH L EY SH AH N
CYANOETHYLATIONS	S AY AH N OW AH TH AH L EY T IY AH N Z
CYBERNATION	S IH B AH R N EY SH AH N
CYBERNATIONS	S IH B AH R N EY T IY AH N Z
CYCLIZATION	S AY K AH L AH Z EY SH AH N
CYCLIZATIONS	S AY K AH L AH Z EY SH AH N Z
CYCLOADDITION	S IH K L OW D IH SH AH N
CYCLOADDITIONS	S IH K L OW D IH T IY AH N Z
CYTODIFFERENTIATION	S AH T AH D IH F AH R EH N T AY EY SH AH N
CYTODIFFERENTIATIONS	S AH T AH D AH F AH R EH N T IY EY T IY AH N Z
DAMNATION	D AE M N EY SH AH N
DAMNATIONS	D AE M N EY SH AH N Z
DANDIFICATION	D AE N D AH F AH K EY SH AH N
DANDIFICATIONS	D AE N D AH F AH K EY T IY AH N Z
DEACIDIFICATION	D IY AE S AH D AH F AH K EY SH AH N
DEACIDIFICATIONS	D IY AE S AH D AH F AH K EY SH AH N Z
DEACTIVATION	D IY AE K T IH V EY SH AH N
DEACTIVATIONS	D IY AE K T IH V EY SH AH N Z
DEAERATION	D IY AE ER EY SH AH N
DEAERATIONS	D IY AE ER EY SH AH N Z
DEALATION	D IY L EY SH AH N
DEALATIONS	D IY L EY SH AH N Z
DEAMINATION	D IY AH M AY N EY SH AH N
DEAMINATIONS	D IY AH M AY N EY SH AH N Z
DEBARKATION	D IY B AA R K EY SH AH N
DEBARKATIONS	D IY B AA R K EY SH AH N Z
DEBILITATION	D AH B IH L AH T EY SH AH N
DEBILITATIONS	D AH B IH L AH T EY SH AH N Z
DECAFFEINATION	D IY K AE F AH N EY SH AH N
DECAFFEINATIONS	D AH K AE F AH N EY T IY AH N Z
DECALCIFICATION	D IY K AE L S AH F AH K EY SH AH N
DECALCIFICATIONS	D IY K AE L S AH F AH K EY SH AH N Z
DECANTATION	D IY S AH N T EY SH AH N
DECANTATIONS	D IY S AH N T EY SH AH N Z
DECAPITATION	D IH K AE P IH T EY SH AH N
DECAPITATIONS	D IH K AE P IH T EY SH AH N Z
DECARBONATION	D IY K AA R B AH N EY SH AH N
DECARBONATIONS	D IY K AA R B AH N EY SH AH N Z
DECARBOXYLATION	D IY S ER B AA K S IY L EY SH AH N
DECARBOXYLATIONS	D IY S ER B AA K S IY L EY SH AH N Z
DECARBURIZATION	D IY S ER B IY Y ER AH Z EY SH AH N
DECARBURIZATIONS	D IY S ER B IY Y ER AH Z EY SH AH N Z
DECASUALIZATION	D IY K AE ZH AH W AH L AH Z EY SH AH N
DECASUALIZATIONS	D IY K AE ZH AH W AH L AH Z EY SH AH N Z
DECELERATION	D IH S EH L ER EY SH AH N
DECELERATIONS	D IY S EH L AH R EY SH AH N Z
DECENTRALIZATION	D IH S EH N T R AH L IH Z EY SH AH N
DECENTRALIZATIONS	D IY S EH N T R AH L AH Z EY SH AH N Z
DECEPTION	D IH S EH P SH AH N
DECEPTIONAL	D IH S EH P SH AH N AH L
DECEPTIONS	D IH S EH P SH AH N Z
DECEREBRATION	D IY S EH R AH B R EY SH AH N
DECEREBRATIONS	D IY S EH R AH B R EY SH AH N Z
DECERTIFICATION	D IY S ER T AH F AH K EY SH AH N
DECERTIFICATIONS	D IY S ER T AH F AH K EY SH AH N Z
DECHLORINATION	D IY K L OW R IY N EY SH AH N
DECHLORINATIONS	D IY K L OW R IY N EY SH AH N Z
DECIMALIZATION	D EH S AH M AH L AH Z EY SH AH N
DECIMALIZATIONS	D EH S AH M AH L AH Z EY SH AH N Z
DECIMATION	D EH S AH M EY SH AH N
DECIMATIONS	D AH S AH M EY T IY AH N Z
DECLAMATION	D IY K L AE M EY SH AH N
DECLAMATIONS	D IY K L AE M EY SH AH N Z
DECLARATION	D EH K L ER EY SH AH N
DECLARATIONS	D EH K L ER EY SH AH N Z
DECLASSIFICATION	D IY K L AE S AH F AH K EY SH AH N
DECLASSIFICATIONS	D IY K L AE S AH F AH K EY SH AH N Z
DECLINATION	D EH K L AH N EY SH AH N
DECLINATIONAL	D EH K L AH N EY SH AH N AH L
DECLINATIONS	D EH K L AH N EY SH AH N Z
DECOCTION	D AH K AA K AH N
DECOCTIONS	D AH K AH K T AY AH N Z
DECOLLATION	D IY K AH L EY SH AH N
DECOLLATIONS	D IY K AH L EY SH AH N Z
DECOLONIZATION	D IY K OW L AH N AH Z EY SH AH N
DECOLONIZATIONS	D IY K OW L AH N AH Z EY SH AH N Z
DECOLORIZATION	D IY K AH L ER AH Z EY SH AH N
DECOLORIZATIONS	D IY K AH L ER AH Z EY SH AH N Z
DECOMPENSATION	D IY K AH M P EH N S EY SH AH N
DECOMPENSATIONS	D IY K AH M P EH N S EY SH AH N Z
DECOMPOSITION	D IY K AH M P OW Z IH SH AH N
DECOMPOSITION(2)	D IY K AH M P AH Z IH SH AH N
DECOMPOSITIONS	D IY K AA M P AH Z IH SH AH N Z
DECONCENTRATION	D IY K AA N S AH N T R EY SH AH N
DECONCENTRATIONS	D IY K AA N S AH N T R EY SH AH N Z
DECONDITION	D IY K AH N D IH SH AH N
DECONDITIONED	D IY K AH N D IH SH AH N D
DECONDITIONING	D IY K AH N D IH SH AH N IH NG
DECONDITIONS	D IY K AH N D IH SH AH N Z
DECONGESTION	D IY K AH N JH EH S SH AH N
DECONGESTIONS	D IY K AH N JH EH S SH AH N Z
DECONSECRATION	D IY K AA N S AH K R EY SH AH N
DECONSECRATIONS	D IY K AA N S AH K R EY SH AH N Z
DECONSTRUCTION	D IY K AH N S T R AH K SH AH N
DECONSTRUCTIONIST	D IY K AH N S T R AH K SH AH N IH S T
DECONSTRUCTIONISTS	D IY K AH N S T R AH K SH AH N IH S T S
DECONSTRUCTIONS	D IY K AH N S T R AH K SH AH N Z
DECONTAMINATION	D IY K AH N T AE M AH N EY SH AH N
DECONTAMINATIONS	D IY K AH N T AE M AH N EY SH AH N Z
DECORATION	D EH K ER EY SH AH N
DECORATIONS	D EH K ER EY SH AH N Z
DECORTICATION	D IY K AO R T AH K EY SH AH N
DECORTICATIONS	D IY K AO R T AH K EY SH AH N Z
DECREPITATION	D IH K R EH P AH T EY SH AH N
DECREPITATIONS	D IH K R EH P AH T EY T IY AH N Z
DECRIMINALIZATION	D IY K R IH M AH N AH L AH Z EY SH AH N
DECRIMINALIZATIONS	D IY K R IH M AH N AH L AH Z EY SH AH N Z
DECRYPTION	D IY K R IH P SH AH N
DECRYPTIONS	D IY K R IH P SH AH N Z
DECUSSATION	D IH K AH S EY SH AH N
DECUSSATIONS	D AH K AH S EY T IY AH N Z
DEDICATION	D EH D AH K EY SH AH N
DEDICATIONS	D EH D IH K EY SH AH N Z
DEDIFFERENTIATION	D IY D IH F AH R EH N CH IY EY SH AH N
DEDIFFERENTIATIONS	D IY D IH F AH R EH N CH IY EY SH AH N Z
DEDUCTION	D IH D AH K SH AH N
DEDUCTIONS	D IH D AH K SH AH N Z
DEESCALATION	D IY EH S K AH L EY SH AH N
DEESCALATIONS	D IY EH S K AH L EY SH AH N Z
DEFALCATION	D AH F AE L K EY SH AH N
DEFALCATIONS	D AH F AE L K EY T IY AH N Z
DEFAMATION	D EH F AH M EY SH AH N
DEFAMATIONS	D IY F EY M EY SH AH N Z
