TT	T IY T
KNOTTIER	N AA T IY ER
KNOTTIEST	N AA T IY AH S T
KNOTTILY	N AA T IY L IY
KNOTTINESS	N AA T IY N AH S
KNOTTINESSES	N AA T IY N AH S IH Z
KNOTTING	N AA T IH NG
KNOTTINGS	N AA T IH NG Z
KNOTTY	N AA T IY
LARGHETTO	L AH R EH T OW
LARGHETTOS	L AH R EH T AH Z
LATTE	L AA T EY
LATTEN	L EY T AH N
LATTENS	L EY T AH N Z
LATTER	L AE T ER
LATTERLY	L AE T ER L IY
LATTES	L AE T S
LATTICE	L AE T AH S
LATTICED	L AE T AH S T
LATTICES	L AE T AH S IH Z
LATTICEWORK	L AE T AH S W ER K
LATTICEWORKS	L AE T AH S W ER K S
LATTICING	L AE T AH S IH NG
LATTIN	L AE T IH N
LATTINS	L AE T AH N Z
LAUNDERETTE	L AO N D ER EH T
LAUNDERETTES	L AO N D ER EH T S
LAUNDRETTE	L AO N D R EH T
LAUNDRETTES	L AO N D R EH T S
LAYETTE	L EY EH T
LAYETTES	L EY EH T S
LAZARETTE	L EY Z ER EH T
LAZARETTES	L EY Z ER EH T S
LAZARETTO	L AE Z AH R EH T OW
LAZARETTOS	L AE Z AH R EH T AH Z
LEAFLETTED	L IY F L AH T IH D
LEAFLETTING	L IY F L AH T IH NG
LEATHERETTE	L EH DH ER EH T
LEATHERETTES	L EH DH ER EH T S
LETTED	L EH T IH D
LETTER	L EH T ER
LETTERBOMB	L EH T ER B AA M
LETTERBOMBS	L EH T ER B AA M Z
LETTERBOXED	L EH T ER B AA K S T
LETTERBOXING	L EH T ER B AA K S IH NG
LETTERBOXINGS	L EH T ER B AA K S IH NG Z
LETTERED	L EH T ER D
LETTERER	L EH T ER ER
LETTERERS	L EH T ER ER Z
LETTERFORM	L EH T ER F AO R M
LETTERFORMS	L EH T ER F AO R M Z
LETTERHEAD	L EH T ER HH EH D
LETTERHEADS	L EH T ER HH EH D Z
LETTERING	L EH T ER IH NG
LETTERINGS	L EH T ER IH NG Z
LETTERMAN	L EH T ER M AH N
LETTERMEN	L EH T ER M AH N
LETTERPRESS	L EH T ER P R EH S
LETTERPRESSES	L EH T ER P R EH S IH Z
LETTERS	L EH T ER Z
LETTERSPACE	L EH T ER S P EY S
LETTERSPACES	L EH T ER S P EY S IH Z
LETTERSPACING	L EH T ER S P EY S IH NG
LETTERSPACINGS	L EH T ER S P EY S IH NG Z
LETTING	L EH T IH NG
LETTUCE	L EH T AH S
LETTUCES	L EH T Y UW S AH Z
LIBRETTI	L IH B R EH T IY
LIBRETTIST	L AH B R EH T IH S T
LIBRETTISTS	L AH B R EH T AH S T S
LIBRETTO	L IH B R EH T OW
LIBRETTOS	L AH B R EH T OW Z
LICKSPITTLE	L IH K S P IH T AH L
LICKSPITTLES	L IH K S P IH T AH L Z
LIGHTTIGHT	L AY T AY T
LITTEN	L IH T AH N
LITTER	L IH T ER
LITTERATEUR	L IH T AH R EY T AH R
LITTERATEURS	L IH T AH R AH T IY Y AH R Z
LITTERBAG	L IH T ER B AE G
LITTERBAGS	L IH T ER B AE G Z
LITTERBUG	L IH T ER B AH G
LITTERBUGS	L IH T ER B AH G Z
LITTERED	L IH T ER D
LITTERER	L IH T ER ER
LITTERERS	L IH T ER ER Z
LITTERING	L IH T ER IH NG
LITTERMATE	L IH T ER M EY T
LITTERMATES	L IH T ER M EY T S
LITTERS	L IH T ER Z
LITTERY	L IH T ER IY
LITTLE	L IH T AH L
LITTLENECK	L IH T AH L N EH K
LITTLENECKS	L IH T AH L N EH K S
LITTLENESS	L IH T AH L N AH S
LITTLENESSES	L IH T AH L N AH S IH Z
LITTLER	L IH T AH L ER
LITTLER(2)	L IH T L ER
LITTLES	L IH T AH L Z
LITTLEST	L IH T AH L AH S T
LITTLISH	L IH T AH L IH SH
LITTORAL	L IH T ER AH L
LITTORALS	L IH T ER AH L Z
LORGNETTE	L AO R N Y EH T
LORGNETTES	L AO R N Y EH T S
LOTTE	L AA T
LOTTED	L AA T IH D
LOTTERIES	L AA T ER IY Z
LOTTERY	L AA T ER IY
LOTTES	L AA T S
LOTTING	L AA T IH NG
LOTTO	L AA T OW
LOTTOS	L AA T AH Z
LUNCHEONETTE	L AH N CH IH N EH T
LUNCHEONETTES	L AH N CH IH N EH T S
LUNETTE	L UW N EH T
LUNETTES	L UW N EH T S
LYTTA	L IH T AH
LYTTAE	L IH T IY
LYTTAS	L IH T AH Z
MAISONETTE	M EY Z AO N EH T
MAISONETTES	M EY Z AO N EH T S
MAJORETTE	M EY JH ER EH T
MAJORETTES	M EY JH ER EH T S
MANHATTAN	M AE N HH AE T AH N
MANHATTANS	M AE N HH AE T AH N Z
MANICOTTI	M AE N AH K AA T IY
MANUMITTED	M AE N Y AH M IH T IH D
MANUMITTING	M AE N Y AH M IH T IH NG
MAQUETTE	M AE K W EH T
MAQUETTES	M AE K W EH T S
MARIONETTE	M AE R IY AH N EH T
MARIONETTES	M AE R IY AH N EH T S
MARQUISETTE	M AA R K IY Z EH T
MARQUISETTES	M AA R K IY Z EH T S
MATT	M AE T
MATTE	M AE T
MATTED	M AE T IH D
MATTEDLY	M AE T AH D L IY
MATTER	M AE T ER
MATTERED	M AE T ER D
MATTERING	M AE T ER IH NG
MATTERS	M AE T ER Z
MATTERY	M AE T AH R IY
MATTES	M AE T S
MATTIN	M AE T IH N
MATTING	M AE T IH NG
MATTINGS	M AE T IH NG Z
MATTINS	M AE T IH N Z
MATTOCK	M AE T AH K
MATTOCKS	M AE T AH K S
MATTOID	M AE T OW AH D
MATTOIDS	M AE T OW AH D Z
MATTRASS	M AE T R AH S
MATTRASSES	M AE T R AE S AH Z
MATTRESS	M AE T R AH S
MATTRESSES	M AE T R AH S AH Z
MATTRESSES(2)	M AE T R AH S IH Z
MATTS	M AE T S
MEGAWATT	M EH G AH W AA T
MEGAWATTS	M EH G AH W AA T S
METTLE	M EH T AH L
METTLED	M EH T AH L D
METTLES	M EH T AH L Z
METTLESOME	M EH T AH L S AH M
MICROCASSETTE	M AY K R AH K AE S EH T
MICROCASSETTES	M AY K R AH K AE S EH T S
MICROPIPETTE	M AY K R OW P AY P EH T
MICROPIPETTES	M AY K R OW P AY P EH T S
MICROWATT	M AY K R OW W AA T
MICROWATTS	M AY K R OW W AA T S
MIDSAGITTAL	M IH D S AH JH IH T AH L
MIGNONETTE	M IH G N AH N EH T
MIGNONETTES	M IH G N AH N EH T S
MILLIWATT	M IH L AH W AH T
MILLIWATTS	M IH L AH W AH T S
MISATTRIBUTE	M IH S AE T R AH B Y UW T
MISATTRIBUTED	M IH S AE T R AH B Y UW T IH D
MISATTRIBUTES	M IH S AE T R AH B Y UW T S
MISATTRIBUTING	M IH S AE T R AH B Y UW T IH NG
MISATTRIBUTION	M IH S AE T R AH B Y UW SH AH N
MISATTRIBUTIONS	M IH S AE T R AH B Y UW SH AH N Z
MISBEGOTTEN	M IH S B AH G AA T AH N
MISBUTTON	M IH S B AH T AH N
MISBUTTONED	M IH S B AH T AH N D
MISBUTTONING	M IH S B AH T AH N IH NG
MISBUTTONS	M IH S B AH T AH N Z
MISCUTTING	M IH S K AH T IH NG
MISFITTED	M IH S F IH T IH D
MISFITTING	M IH S F IH T IH NG
MISHITTING	M IH S HH IH T IH NG
MISSETTING	M IH S EH T IH NG
MISWRITTEN	M IH S R IH T AH N
MITT	M IH T
MITTEN	M IH T AH N
MITTENS	M IH T AH N Z
MITTIMUS	M IH T AH M AH S
MITTIMUSES	M IH T AH M Y UW Z AH Z
MITTS	M IH T S
MOFETTE	M OW F EH T
MOFETTES	M OW F EH T S
MOFFETTE	M AA F EH T
MOFFETTES	M AA F EH T S
MOQUETTE	M AA K W EH T
MOQUETTES	M AA K W EH T S
MOTT	M AA T
MOTTE	M AA T
MOTTES	M AA T S
MOTTLE	M AA T AH L
MOTTLED	M AA T AH L D
MOTTLER	M AA T AH L ER
MOTTLERS	M AA T AH L ER Z
MOTTLES	M AA T AH L Z
MOTTLING	M AA T AH L IH NG
MOTTLING(2)	M AA T L IH NG
MOTTO	M AA T OW
MOTTOES	M AA T OW Z
MOTTOS	M AA T OW Z
MOTTS	M AA T S
MOZETTA	M AH Z EH T AH
MOZETTAS	M AH Z EH T AH Z
MOZETTE	M OW Z EH T
MOZZETTA	M AA Z EH T AH
MOZZETTAS	M AA Z EH T AH Z
MOZZETTE	M AA Z EH T
MULATTO	M AH L AA T OW
MULATTOES	M Y UH L AE T OW Z
MULATTOS	M Y UH L AE T OW Z
MULTIMEGAWATT	M AH L T AY M EH G AH W AA T
MULTIMEGAWATTS	M AH L T AY M EH G AH W AA T S
MUSETTE	M Y UW Z EH T
MUSETTES	M Y UW Z EH T S
MUTT	M AH T
MUTTER	M AH T ER
MUTTERED	M AH T ER D
MUTTERER	M AH T ER ER
MUTTERERS	M AH T ER ER Z
MUTTERING	M AH T ER IH NG
MUTTERS	M AH T ER Z
MUTTON	M AH T AH N
MUTTONCHOPS	M AH T AH N CH AA P S
MUTTONFISH	M AH T AH N F IH SH
MUTTONFISHES	M AH T AH N F IH SH IH Z
MUTTONS	M AH T AH N Z
MUTTONY	M AH T AH N IY
MUTTS	M AH T S
NANOWATT	N AE N OW AH T
NANOWATTS	N AE N OW AH T S
NATTER	N AE T ER
NATTERED	N EY T ER D
NATTERING	N AE T ER IH NG
NATTERS	N EY T ER Z
NATTIER	N AE T IY ER
NATTIEST	N AE T IY AH S T
NATTILY	N AE T AH L IY
NATTINESS	N AE T IY N AH S
NATTINESSES	N AE T IY N AH S IH Z
NATTY	N AE T IY
NAVETTE	N EY V EH T
NAVETTES	N EY V EH T S
NETIQUETTE	N EH T AH K AH T
NETIQUETTES	N AH T IH K W EH T S
NETT	N EH T
NETTABLE	N EH T AH B AH L
NETTED	N EH T IH D
NETTER	N EH T ER
NETTERS	N EH T ER Z
NETTIER	N EH T IY ER
NETTIEST	N EH T IY AH S T
NETTING	N EH T IH NG
NETTINGS	N EH T IH NG Z
NETTLE	N EH T AH L
NETTLED	N EH T AH L D
NETTLER	N EH T AH L ER
NETTLERS	N EH T AH L ER Z
NETTLES	N EH T AH L Z
NETTLESOME	N EH T AH L S AH M
NETTLIER	N EH T AH L IY ER
NETTLIEST	N EH T AH L IY AH S T
NETTLING	N EH T AH L IH NG
NETTLY	N EH T AH L IY
NETTS	N EH T S
NETTY	N EH T IY
NEUROTRANSMITTER	N Y AH R AA T R AE N S M IH T AH R
NEUROTRANSMITTERS	N Y AH R AA T R AH N S M IH T AH R Z
NEWSLETTER	N UW Z L EH T ER
NEWSLETTERS	N UW Z L EH T ER Z
NIGHTTIME	N AY T T AY M
NIGHTTIMES	N AY T T AY M Z
NITTIER	N IH T AY AH R
NITTIEST	N IH T AY AH S T
NITTY	N IH T IY
NOISETTE	N OY Z EH T
NOISETTES	N OY Z EH T S
NONATTACHED	N AA N AH T AE CH T
NONATTACHMENT	N AA N AH T AE CH M AH N T
NONATTACHMENTS	N AA N AH T AE CH M AH N T S
NONATTENDANCE	N AA N AH T EH N D AH N S
NONATTENDANCES	N AA N AH T EH N D AH N S IH Z
NONATTENDER	N AA N AH T EH N D ER
NONATTENDERS	N AA N AH T EH N D ER Z
NONBETTING	N AA N B EH T IH NG
NONCOMMITTAL	N AA N K AH M IH T AH L
NONCOMMITTALLY	N AA N K AH M IH T AH L IY
NONCOMMITTED	N AA N K AH M IH T IH D
NONFATTENING	N AA N F AE T AH N IH NG
NONFATTY	N AA N F AE T IY
NONGHETTO	N AA N G EH T OW
NOTTURNI	N AA T AH R N IY
NOTTURNO	N AA T AH R N OW
NOVELETTE	N AA V AH L EH T
NOVELETTES	N AA V AH L EH T S
NOVELETTISH	N AA V AH L EH T IH SH
NUTTED	N AH T IH D
NUTTER	N AH T ER
NUTTERS	N AH T ER Z
NUTTIER	N AH T IY ER
NUTTIEST	N AH T IY AH S T
NUTTILY	N AH T IY L IY
NUTTINESS	N AH T IY N AH S
NUTTINESSES	N AH T IY N AH S IH Z
NUTTING	N AH T IH NG
NUTTINGS	N AH T IH NG Z
NUTTY	N AH T IY
NYMPHETTE	N IH M F EH T
NYMPHETTES	N IH M F EH T S
OCTETTE	AA K T EH T
OCTETTES	AA K T EH T S
OFFSETTING	AO F S EH T IH NG
OFTTIMES	AA F T AY M Z
OMELETTE	AA M AH L EH T
OMELETTES	AA M AH L EH T S
OMITTED	OW M IH T AH D
OMITTED(2)	OW M IH T IH D
OMITTER	OW M IH T ER
OMITTERS	OW M IH T ER Z
OMITTING	OW M IH T IH NG
OPERETTA	AA P ER EH T AH
OPERETTAS	AA P ER EH T AH Z
OPERETTIST	AA P ER EH T IH S T
OPERETTISTS	AA P ER EH T IH S T S
OTTAR	AA T AH R
OTTARS	AA T AH R Z
OTTAVA	AA T AH V AH
OTTAVAS	AA T AH V AH Z
OTTER	AA T ER
OTTERS	AA T ER Z
OTTO	AA T OW
OTTOMAN	AA T AH M AH N
OTTOMANS	AA T AH M AH N Z
OTTOS	AA T OW Z
OUBLIETTE	AW B L AY EH T
OUBLIETTES	AW B L AY EH T S
OUTFITTED	AW T F IH T IH D
OUTFITTER	AW T F IH T ER
OUTFITTERS	AW T F IH T ER Z
OUTFITTING	AW T F IH T IH NG
OUTGLITTER	AW T G L IH T ER
OUTGLITTERED	AW T G L IH T ER D
OUTGLITTERING	AW T G L IH T ER IH NG
OUTGLITTERS	AW T G L IH T ER Z
OUTHITTING	AW T HH IH T IH NG
OUTJUTTED	AW T JH AH T IH D
OUTJUTTING	AW T JH AH T IH NG
OUTPLOTTED	AW T P L AA T IH D
OUTPLOTTING	AW T P L AA T IH NG
OUTPUTTED	AW T P UH T IH D
OUTPUTTING	AW T P UH T IH NG
OUTSITTING	AW T S IH T IH NG
OUTTAKE	AW T T EY K
OUTTAKE(2)	AW T EY K
OUTTAKES	AW T T EY K S
OUTTAKES(2)	AW T EY K S
OUTTALK	AW T AO K
OUTTALKED	AW T AO K T
OUTTALKING	AW T AO K IH NG
OUTTALKS	AW T AO K S
OUTTASK	AW T AE S K
OUTTASKED	AW T AE S K T
OUTTASKING	AW T AE S K IH NG
OUTTASKS	AW T AE S K S
OUTTELL	AW T EH L
OUTTELLING	AW T EH L IH NG
OUTTELLS	AW T EH L Z
OUTTHANK	AW T TH AE NG K
OUTTHANKED	AW T TH AE NG K T
OUTTHANKING	AW T TH AE NG K IH NG
OUTTHANKS	AW T TH AE NG K S
OUTTHINK	AW T TH IH NG K
OUTTHINKING	AW T TH IH NG K IH NG
OUTTHINKS	AW T TH IH NG K S
OUTTHOUGHT	AW T TH AO T
OUTTHREW	AW T TH R UW
OUTTHROB	AW T TH R AA B
OUTTHROBBED	AW T TH R AA B D
OUTTHROBBING	AW T TH R AA B IH NG
OUTTHROBS	AW T TH R AA B Z
OUTTHROW	AW T TH R OW
OUTTHROWING	AW T TH R OW IH NG
OUTTHROWN	AW T TH R OW N
OUTTHROWS	AW T TH R OW Z
OUTTHRUST	AW T TH R AH S T
OUTTHRUSTING	AW T TH R AH S T IH NG
OUTTHRUSTS	AW T TH R AH S T S
OUTTOLD	AW T OW L D
OUTTOWER	AW T AW ER
OUTTOWERED	AW T AW ER D
OUTTOWERING	AW T AW ER IH NG
OUTTOWERS	AW T AW ER Z
OUTTRADE	AW T R EY D
OUTTRADED	AW T R EY D IH D
OUTTRADES	AW T R EY D Z
OUTTRADING	AW T R EY D IH NG
OUTTRICK	AW T R IH K
OUTTRICKED	AW T R IH K T
OUTTRICKING	AW T R IH K IH NG
OUTTRICKS	AW T R IH K S
OUTTROT	AW T R AA T
OUTTROTS	AW T R AA T S
OUTTROTTED	AW T R AA T IH D
OUTTROTTING	AW T R AA T IH NG
OUTTRUMP	AW T R AH M P
OUTTRUMPED	AW T R AH M P T
OUTTRUMPING	AW T R AH M P IH NG
OUTTRUMPS	AW T R AH M P S
OUTTURN	AW T ER N
OUTTURNS	AW T ER N Z
OUTWITTED	AW T W IH T AH D
OUTWITTING	AW T W IH T IH NG
OUTWRITTEN	AW T R IH T AH N
OVERATTENTION	OW V ER AH T EH N CH AH N
OVERATTENTIONS	OW V ER AH T EH N CH AH N Z
OVERBETTED	OW V ER B EH T IH D
OVERBETTING	OW V ER B EH T IH NG
OVERCOMMITTED	OW V ER K AH M IH T IH D
OVERCOMMITTING	OW V ER K AH M IH T IH NG
OVERCUTTING	OW V ER K AH T IH NG
OVERLETTING	OW V ER L AH T IH NG
OVERPLOTTED	OW V ER P L AA T IH D
OVERPLOTTING	OW V ER P L AA T IH NG
OVERSETTING	OW V ER S EH T IH NG
OVERWETTED	OW V ER W EH T IH D
OVERWETTING	OW V ER W EH T IH NG
OVERWRITTEN	OW V ER R IH T AH N
PACESETTER	P EY S EH T ER
PACESETTERS	P EY S EH T ER Z
PACESETTING	P EY S EH T IH NG
PAILLETTE	P EY L EH T
PAILLETTES	P EY L EH T S
PALETTE	P AE L AH T
PALETTES	P AE L AH T S
PALLETTE	P AE L EH T
PALLETTES	P AE L EH T S
PALMETTE	P AA M EH T
PALMETTES	P AA M EH T S
PALMETTO	P AE L M EH T OW
PALMETTO(2)	P AA L M EH T OW
PALMETTOES	P AE L M EH T OW Z
PALMETTOS	P AE L M EH T AH Z
PANCETTA	P AE N S EH T AH
PANCETTAS	P AE N S EH T AH Z
PANETTONE	P AE N AH T OW N
PANETTONES	P AE N AH T OW N Z
PANETTONI	P AH N EH T AH N IY
PANTALETTES	P AE N T AH L EH T S
PARGETTED	P AA R G EH T IH D
PARGETTING	P AA R G EH T IH NG
PATTAMAR	P AE T EY M ER
PATTAMARS	P AE T EY M ER Z
PATTED	P AE T AH D
PATTED(2)	P AE T IH D
PATTEE	P AE T IY
PATTEN	P AE T AH N
PATTENS	P AE T AH N Z
PATTER	P AE T ER
PATTERED	P AE T ER D
PATTERER	P AE T ER ER
PATTERERS	P AE T ER ER Z
PATTERING	P AE T ER IH NG
PATTERN	P AE T ER N
PATTERNED	P AE T ER N D
PATTERNING	P AE T ER N IH NG
PATTERNINGS	P AE T ER N IH NG Z
PATTERNLESS	P AE T ER N L AH S
PATTERNS	P AE T ER N Z
PATTERS	P AE T ER Z
PATTIE	P AE T IY
PATTIES	P AE T IY Z
PATTING	P AE T IH NG
PATTY	P AE T IY
PATTYPAN	P AE T IY P AE N
PATTYPANS	P AE T IY P AE N Z
PAUPIETTE	P AO P AY EH T
PAUPIETTES	P AO P AY EH T S
PERMITTED	P ER M IH T AH D
PERMITTED(2)	P ER M IH T IH D
PERMITTEE	P ER M IH T IY
PERMITTEES	P ER M IH T IY Z
PERMITTER	P ER M IH T ER
PERMITTERS	P ER M IH T ER Z
PERMITTING	P ER M IH T IH NG
PERMITTIVITIES	P ER M IH T IH V AH T IY Z
PERMITTIVITY	P ER M IH T IH V AH T IY
PETTED	P EH T AH D
PETTED(2)	P EH T IH D
PETTEDLY	P EH T AH D L IY
PETTER	P EH T ER
PETTERS	P EH T ER Z
PETTI	P EH T IY
PETTICOAT	P EH T IY K OW T
PETTICOATED	P EH T IH K OW T IH D
PETTICOATS	P EH T IY K OW T S
PETTIER	P EH T IY ER
PETTIEST	P EH T IY AH S T
PETTIFOG	P EH T AH F AH G
PETTIFOGGED	P EH T AH F AH G D
PETTIFOGGER	P EH T AH F AA G AH R
PETTIFOGGERIES	P EH T AH F AA JH AH R AY Z
PETTIFOGGERS	P EH T AH F AA JH AH R Z
PETTIFOGGERY	P EH T AH F AH G EH R IY
PETTIFOGGING	P EH T AH F AA G AH NG
PETTIFOGGINGS	P EH T AH F AA JH AH NG Z
PETTIFOGS	P EH T AH F AH G Z
PETTILY	P EH T IY L IY
PETTINESS	P EH T IY N EH S
PETTINESSES	P EH T IY N AH S IH Z
PETTING	P EH T IH NG
PETTINGS	P EH T IH NG Z
PETTISH	P EH T IH SH
PETTISHLY	P EH T IH SH L IY
PETTISHNESS	P EH T IH SH N AH S
PETTISHNESSES	P EH T IH SH N AH S IH Z
PETTITOES	P EH T AH T OW Z
PETTLE	P EH T AH L
PETTLED	P EH T AH L D
PETTLES	P EH T AH L Z
PETTLING	P EH T L AH NG
PETTO	P EH T OW
PETTY	P EH T IY
PHOTOSETTER	F OW T OW S EH T ER
PHOTOSETTERS	F OW T OW S EH T ER Z
PHOTOSETTING	F OW T OW S EH T IH NG
PHOTOSTATTED	F OW T OW Z T AE T IH D
PHOTOSTATTING	F OW T OW Z T AE T IH NG
PHOTOTYPESETTER	F OW T OW T AY P S EH T ER
PHOTOTYPESETTERS	F OW T OW T AY P S EH T ER Z
PHOTOTYPESETTING	F OW T OW T AY P S EH T IH NG
PHOTOTYPESETTINGS	F OW T OW T AY P S EH T IH NG Z
PINSETTER	P IH N S EH T ER
PINSETTERS	P IH N S EH T ER Z
PINSPOTTER	P IH N S P AA T ER
PINSPOTTERS	P IH N S P AA T ER Z
PIPETTE	P AY P EH T
PIPETTED	P AY P EH T IH D
PIPETTES	P AY P EH T S
PIPETTING	P AY P EH T IH NG
PIROUETTE	P IH R UW EH
PIROUETTED	P AY R AH W EH T IH D
PIROUETTES	P IH R UW EH T S
PIROUETTING	P AY R AH W EH T IH NG
PITAPATTED	P IH T AH P AE T IH D
PITAPATTING	P IH T AH P AE T IH NG
PITTANCE	P IH T AH N S
PITTANCES	P IH T AH N S IH Z
PITTED	P IH T AH D
PITTED(2)	P IH T IH D
PITTING	P IH T IH NG
PITTINGS	P IH T IH NG Z
PITTOSPORUM	P IH T AA S AH R AH M
PITTOSPORUMS	P IH T AA S AH R AH M Z
PLANCHETTE	P L AE N CH EH T
PLANCHETTES	P L AE N CH EH T S
PLATTED	P L AE T IH D
PLATTER	P L AE T ER
PLATTERFUL	P L AE T ER F AH L
PLATTERFULS	P L AE T ER F AH L Z
PLATTERS	P L AE T ER Z
PLATTERSFUL	P L AE T ER Z F AH L
PLATTING	P L AE T IH NG
PLOTTAGE	P L AA T IH JH
PLOTTAGES	P L AA T IH JH IH Z
PLOTTED	P L AA T AH D
PLOTTED(2)	P L AA T IH D
PLOTTER	P L AA T ER
PLOTTERS	P L AA T ER Z
PLOTTIER	P L AA T IY ER
PLOTTIES	P L AA T IY Z
PLOTTIEST	P L AA T IY AH S T
PLOTTING	P L AA T IH NG
PLOTTY	P L AA T IY
POINSETTIA	P OY N S EH T IY AH
POINSETTIAS	P OY N S EH T IY AH Z
POINTTILLIST	P OY N T IH L IH S T
POLYGLOTTISM	P AH L IH G L AH T IH Z AH M
POLYGLOTTISMS	P AA L AH G L AA T AH Z AH M Z
POSTATTACK	P OW S T AH T AE K
POSTTAX	P OW S T AE K S
POSTTEEN	P OW S T IY N
POSTTENSION	P OW S T EH N CH AH N
POSTTENSIONED	P OW S T EH N CH AH N D
POSTTENSIONING	P OW S T EH N CH AH N IH NG
POSTTENSIONS	P OW S T EH N CH AH N Z
POSTTEST	P OW S T AH S T
POSTTESTS	P OW S T AH S T S
POSTTRANSCRIPTIONAL	P OW S T R AE N S K R IH P SH AH N AH L
POSTTRANSFUSION	P OW S T R AE N S F Y UW ZH AH N
POSTTRANSLATIONAL	P OW S T R AE N Z L EY SH AH N AH L
POSTTRAUMATIC	P OW S T R AO M AE T IH K
POSTTREATMENT	P OW S T R IY T M AH N T
POSTTRIAL	P OW S T R AY AH L
POTSHOTTING	P AA T SH AA T IH NG
POTTAGE	P OW T IH JH
POTTAGES	P OW T IH JH IH Z
POTTED	P AA T IH D
POTTEEN	P AA T IY N
POTTEENS	P AA T IY N Z
POTTER	P AA T ER
POTTERED	P OW T ER D
POTTERER	P OW T ER ER
POTTERERS	P OW T ER ER Z
POTTERIES	P OW T AH R IY Z
POTTERING	P OW T ER IH NG
POTTERINGLY	P OW T ER IH NG L IY
POTTERS	P AA T ER Z
POTTERY	P AA T ER IY
POTTIER	P OW T IY ER
POTTIES	P OW T IY Z
POTTIEST	P OW T IY AH S T
POTTING	P AA T IH NG
POTTLE	P AA T AH L
POTTLES	P AA T AH L Z
POTTO	P AA T OW
POTTOS	P AA T AH Z
POTTY	P AA T IY
POUSSETTE	P AW S EH T
POUSSETTED	P AW S EH T AH D
POUSSETTES	P AW S EH T S
POUSSETTING	P AW S EH T AH NG
PRATTLE	P R AE T AH L
PRATTLED	P R AE T AH L D
PRATTLER	P R AE T L AH R
PRATTLERS	P R AE T L AH R Z
PRATTLES	P R AE T AH L Z
PRATTLING	P R AE T L IH NG
PRATTLINGLY	P R AE T L IH NG L IY
PREADMITTED	P R IY AH D M IH T IH D
PREADMITTING	P R IY AH D M IH T IH NG
PREALLOTTED	P R IY AH L AA T IH D
PREALLOTTING	P R IY AH L AA T IH NG
PREBATTLE	P R IY B AE T AH L
PRECUTTING	P R IY K AH T IH NG
PREFORMATTED	P R IY F AO R M AE T IH D
PREFORMATTING	P R IY F AO R M AE T IH NG
PRESETTING	P R IY S EH T IH NG
PRESETTLEMENT	P R IY S EH T AH L M AH N T
PRESETTLEMENTS	P R IY S EH T AH L M AH N T S
PRETERMITTED	P R IY T AH R M IH T AH D
PRETERMITTING	P R IY T AH R M IH T AH NG
PRETTIED	P R IH T IY D
PRETTIER	P R IH T IY ER
PRETTIES	P R IH T IY Z
PRETTIEST	P R IH T IY AH S T
PRETTIFICATION	P R EH T AH F AH K EY SH AH N
PRETTIFICATIONS	P R IY T IH F AH K EY T IY AH N Z
PRETTIFIED	P R IY T AH F AY D
PRETTIFIER	P R IY T IH F AY AH R
PRETTIFIERS	P R IY T AH F IY R Z
PRETTIFIES	P R IY T AH F AY Z
PRETTIFY	P R EH T AH F AY
PRETTIFYING	P R IY T IH F AY AH NG
PRETTILY	P R IH T IY L IY
PRETTINESS	P R IH T IY N AH S
PRETTINESSES	P R IH T IY N AH S IH Z
PRETTY	P R IH T IY
PRETTYING	P R IH T IY IH NG
PRETTYISH	P R IH T IY IH SH
PROETTE	P R OW EH T
PROETTES	P R OW EH T S
PROGLOTTID	P R OW G L AA T AH D
PROGLOTTIDES	P R OW G L AA T AY D Z
PROGLOTTIDS	P R OW G L AA T AH D Z
PROGLOTTIS	P R OW G L AA T AH S
PROSCIUTTI	P R OW S AY AH T IY
PROSCIUTTO	P R OW S AY AH T OW
PROSCIUTTOS	P R OW S AY AH T AH Z
PSITTACINE	S IH T AH S AY N
PSITTACINES	S IH T AH S AY N Z
PSITTACOSES	S IH T AH K OW Z AH Z
PSITTACOSIS	S IH T AH S OW S AH S
PSITTACOTIC	S IH T AH K AH T AH K
PUTT	P AH T
PUTTED	P AH T IH D
PUTTEE	P AH T IY
PUTTEES	P AH T IY Z
PUTTER	P AH T ER
PUTTERED	P AH T ER D
PUTTERER	P AH T ER ER
PUTTERERS	P AH T ER ER Z
PUTTERING	P AH T ER IH NG
PUTTERS	P AH T ER Z
PUTTI	P AH T IY
PUTTIED	P AH T IY D
PUTTIER	P AH T IY ER
PUTTIERS	P AH T IY ER Z
PUTTIES	P AH T IY Z
PUTTING	P AH T IH NG
PUTTING(2)	P UH T IH NG
PUTTO	P AH T OW
PUTTS	P AH T S
PUTTY	P AH T IY
PUTTYING	P AH T IY IH NG
PUTTYLESS	P AH T IY L AH S
PUTTYLIKE	P AH T IY L AY K
PUTTYROOT	P AH T IY R UW T
PUTTYROOTS	P AH T IY R UW T S
QUARTETTE	K W AO R T EH T
QUARTETTES	K W AO R T EH T S
QUATTROCENTO	K W AA T R AH S EH N T OW
QUATTROCENTOS	K W AA T R AH S EH N T AH Z
QUATTUORDECILLION	K W AA T Y UW AO R D AH S IH L IY AH N
QUATTUORDECILLIONS	K W AA T Y UW AO R D AH S IH L IY AH N Z
QUINTETTE	K W IH N T EH T
QUINTETTES	K W IH N T EH T S
QUITTANCE	K W IH T AH N S
QUITTANCES	K W IH T AH N S IH Z
QUITTED	K W IH T IH D
QUITTER	K W IH T ER
QUITTERS	K W IH T ER Z
