LE	L AH
BREATHABLE	B R IY DH AH B AH L
BREATHLESS	B R EH TH L AH S
BREATHLESSLY	B R EH TH L AH S L IY
BREATHLESSNESS	B R EH TH L AH S N AH S
BREATHLESSNESSES	B R EH TH L AH S N AH S IH Z
BREEZELESS	B R IY Z L AH S
BRIBABLE	B R AY B AH B AH L
BRICKLE	B R IH K AH L
BRICKLES	B R IH K AH L Z
BRICOLE	B R AH K OW L
BRICOLES	B R AH K OW L Z
BRIDGEABLE	B R IH JH AH B AH L
BRIDGELESS	B R IH JH L AH S
BRIDLE	B R AY D AH L
BRIDLED	B R AY D AH L D
BRIDLER	B R AY D AH L ER
BRIDLERS	B R AY D AH L ER Z
BRIDLES	B R AY D AH L Z
BRIEFLESS	B R IY F L AH S
BRIMLESS	B R IH M L AH S
BRINDLE	B R IH N D AH L
BRINDLED	B R IH N D AH L D
BRINDLES	B R IH N D AH L Z
BRIOLETTE	B R AY AH L EH T
BRIOLETTES	B R AY AH L EH T S
BRISTLE	B R IH S AH L
BRISTLED	B R IH S AH L D
BRISTLELIKE	B R IH S AH L AY K
BRISTLES	B R IH S AH L Z
BRISTLETAIL	B R IH S AH L T EY L
BRISTLETAILS	B R IH S AH L T EY L Z
BRITTLE	B R IH T AH L
BRITTLED	B R IH T AH L D
BRITTLELY	B R IH T AH L IY
BRITTLENESS	B R IH T AH L N AH S
BRITTLENESSES	B R IH T AH L N AH S IH Z
BRITTLER	B R IH T L ER
BRITTLES	B R IH T AH L Z
BRITTLEST	B R IH T L IH S T
BROADLEAF	B R AO D L IY F
BROADSCALE	B R AO D S K EY L
BROCATELLE	B R AA K AH T AH L
BROCATELLES	B R AA K AH T AH L Z
BROILED	B R OY L D
BROILER	B R OY L ER
BROILERS	B R OY L ER Z
BRONCHIOLE	B R AA NG K IY OW L
BRONCHIOLES	B R AA NG K IY OW L Z
BROOKLET	B R UH K L AH T
BROOKLETS	B R UH K L AH T S
BROOMBALLER	B R UW M B AO L ER
BROOMBALLERS	B R UW M B AO L ER Z
BROWLESS	B R AW L AH S
BUBALE	B Y UW B EY L
BUBALES	B Y UW B EY L Z
BUBBLE	B AH B AH L
BUBBLED	B AH B AH L D
BUBBLEGUM	B AH B AH L G AH M
BUBBLEGUMS	B AH B AH L G AH M Z
BUBBLEHEAD	B AH B AH L HH EH D
BUBBLEHEADED	B AH B AH L HH EH D IH D
BUBBLEHEADS	B AH B AH L HH EH D Z
BUBBLER	B AH B AH L ER
BUBBLERS	B AH B AH L ER Z
BUBBLES	B AH B AH L Z
BUCKLE	B AH K AH L
BUCKLED	B AH K AH L D
BUCKLER	B AH K AH L ER
BUCKLER(2)	B AH K L ER
BUCKLERED	B AH K AH L ER D
BUCKLERING	B AH K AH L ER IH NG
BUCKLERS	B AH K AH L ER Z
BUCKLES	B AH K AH L Z
BUCKMINSTERFULLERENE	B AH K M AH N S T AH R F UH L AH R IY N
BUCKMINSTERFULLERENES	B AH K M AH N S T AH R F UH L AH R IY N Z
BUDDLE	B AH D AH L
BUDDLEIA	B AH D L IY AH
BUDDLEIAS	B AH D L IY AH Z
BUDDLES	B AH D AH L Z
BUDLESS	B AH D L AH S
BUFFABLE	B AH F AH B AH L
BUFFLEHEAD	B AH F L AH HH IY D
BUFFLEHEADS	B AH F L AH HH IY D Z
BUGLE	B Y UW G AH L
BUGLED	B Y UW G AH L D
BUGLER	B Y UW G AH L ER
BUGLERS	B Y UW G AH L ER Z
BUGLES	B Y UW G AH L Z
BUGLEWEED	B Y UW G AH L W IY D
BUGLEWEEDS	B Y UW G AH L W IY D Z
BUILDABLE	B IH L D AH B AH L
BULBLET	B AH L B L AH T
BULBLETS	B AH L B L AH T S
BULLED	B UH L D
BULLET	B UH L AH T
BULLETED	B UH L AH T IH D
BULLETIN	B UH L IH T AH N
BULLETINED	B UH L AH T AH N D
BULLETING	B UH L AH T IH NG
BULLETINING	B UH L AH T AH N IH NG
BULLETINS	B UH L AH T AH N Z
BULLETPROOF	B UH L AH T P R UW F
BULLETS	B UH L AH T S
BUMBLE	B AH M B AH L
BUMBLEBEE	B AH M B AH L B IY
BUMBLEBEES	B AH M B AH L B IY Z
BUMBLED	B AH M B AH L D
BUMBLER	B AH M B AH L ER
BUMBLERS	B AH M B AH L ER Z
BUMBLES	B AH M B AH L Z
BUNDLE	B AH N D AH L
BUNDLED	B AH N D AH L D
BUNDLER	B AH N D AH L ER
BUNDLERS	B AH N D AH L ER Z
BUNDLES	B AH N D AH L Z
BUNGHOLE	B AH N OW L
BUNGHOLES	B AH N OW L Z
BUNGLE	B AH NG G AH L
BUNGLED	B AH NG G AH L D
BUNGLER	B AH NG G L ER
BUNGLERS	B AH NG G L ER Z
BUNGLES	B AH NG G AH L Z
BUNGLESOME	B AH NG G AH L S AH M
BURBLE	B ER B AH L
BURBLED	B ER B AH L D
BURBLER	B AH R B L AH R
BURBLERS	B AH R B L AH R Z
BURBLES	B ER B AH L Z
BURGLE	B AH R G AH L
BURGLED	B AH R G AH L D
BURGLES	B AH R G AH L Z
BURLED	B ER L D
BURLER	B ER L ER
BURLERS	B ER L ER Z
BURLESK	B AH R L AH S
BURLESKS	B AH R L AH S
BURLESQUE	B ER L EH S K
BURLESQUED	B ER L EH S K T
BURLESQUELY	B ER L EH S K L IY
BURLESQUER	B ER L EH S K ER
BURLESQUERS	B ER L EH S K ER Z
BURLESQUES	B ER L EH S K S
BURLESQUING	B ER L EH S K IH NG
BURLEY	B ER L IY
BURLEYS	B ER L IY Z
BURNABLE	B ER N AH B AH L
BURNABLES	B ER N AH B AH L Z
BUSHELED	B UH SH AH L D
BUSHELER	B UH SH AH L ER
BUSHELERS	B UH SH AH L ER Z
BUSHELLED	B UH SH AH L D
BUSHLESS	B UH SH L AH S
BUSINESSPEOPLE	B IH Z N AH S P IY P AH L
BUSTLE	B AH S AH L
BUSTLED	B AH S AH L D
BUSTLES	B AH S AH L Z
BUTLE	B Y UW T AH L
BUTLED	B AH T AH L D
BUTLER	B AH T L ER
BUTLERIES	B AH T L ER IY Z
BUTLERS	B AH T L ER Z
BUTLERY	B AH T L ER IY
BUTLES	B AH T AH L Z
BUTTERLESS	B AH T ER L AH S
BUTTONHOLE	B AH T AH N HH OW L
BUTTONHOLED	B AH T AH N HH OW L D
BUTTONHOLER	B AH T AH N HH OW L ER
BUTTONHOLERS	B AH T AH N HH OW L ER Z
BUTTONHOLES	B AH T AH N HH OW L Z
BUTTONLESS	B AH T AH N L AH S
BUTYLENE	B Y UW T AH L IY N
BUTYLENES	B Y UW T AH L IY N Z
BUYABLE	B AY AH B AH L
BYRLED	B AH R L D
CABALETTA	K AE B AH L EH T AH
CABALETTAS	K AE B AH L EH T AH Z
CABALLED	K AE B AH L D
CABALLERO	K AE B AH Y EH R OW
CABALLEROS	K AE B AH L ER AA S
CABLE	K EY B AH L
CABLED	K EY B AH L D
CABLEGRAM	K EY B AH L G R AE M
CABLEGRAMS	K EY B AH L G R AE M Z
CABLES	K EY B AH L Z
CABLET	K AE B L AH T
CABLETS	K AE B L AH T S
CABLEWAY	K EY B AH L W EY
CABLEWAYS	K EY B AH L W EY Z
CABOODLE	K AH B UW D AH L
CABOODLES	K AH B UW D AH L Z
CABRIOLE	K AE B R IY OW L
CABRIOLES	K AE B R IY OW L Z
CABRIOLET	K AE B R IY OW L EY
CABRIOLET(2)	K AE B R IY OW L EH T
CABRIOLETS	K AE B R IY AH L AH T S
CACKLE	K AE K AH L
CACKLED	K AE K AH L D
CACKLER	K AE K AH L ER
CACKLERS	K AE K AH L ER Z
CACKLES	K AE K AH L Z
CACOMISTLE	K AE K AH M AH S AH L
CACOMISTLES	K AE K AH M AH S T AH L Z
CADELLE	K AE D AH L
CADELLES	K AE D AH L Z
CAJOLE	K AH JH OW L
CAJOLED	K AH JH OW L D
CAJOLEMENT	K AH JH OW L M AH N T
CAJOLEMENTS	K AH JH AA L AH M AH N T S
CAJOLER	K AH JH OW L AH R
CAJOLERIES	K AH JH AA L AH R AY Z
CAJOLERS	K AE JH AH L AH R Z
CAJOLERY	K AE JH AH L EH R IY
CAJOLES	K AH JH OW L Z
CALCICOLE	K AE L S AH K OW L
CALCICOLES	K AE L S AH K OW L Z
CALCULABLE	K AE L K Y AH L AH B AH L
CALECHE	K AE L AH CH
CALECHES	K AE L AH CH AH Z
CALEFACTORIES	K AE L AH F AE K T AH R AY Z
CALEFACTORY	K AE L AH F AH K T AO R IY
CALENDAL	K AH L EH N D AH L
CALENDAR	K AE L AH N D ER
CALENDARED	K AE L AH N D ER D
CALENDARING	K AE L AH N D ER IH NG
CALENDARS	K AE L AH N D ER Z
CALENDER	K AH L EH N D AH R
CALENDERED	K AE L AH N D IY R D
CALENDERER	K AE L AH N D IY R AH R
CALENDERERS	K AH L EH N D AH R AH R Z
CALENDERING	K AE L AH N D IY R AH NG
CALENDERS	K AH L EH N D AH R Z
CALENDRIC	K AE L AH N D R AH K
CALENDRICAL	K AH L EH N D R IH S AH L
CALENDS	K AE L AH N D Z
CALENDULA	K AH L EH JH AH L AH
CALENDULAS	K AE L AH N D Y UW L AH Z
CALENTURE	K AH L EH N T Y AH R
CALENTURES	K AH L EH N T Y AH R Z
CALESA	K AE L AH S AH
CALESAS	K AE L AH S AH Z
CALICLE	K AE L AH K AH L
CALICLES	K AE L AH K AH L Z
CALLABLE	K AO L AH B AH L
CALLED	K AO L D
CALLER	K AO L ER
CALLERS	K AO L ER Z
CALLET	K AE L AH T
CALLETS	K AE L AH T S
CALYCLE	K AE L AH K AH L
CALYCLES	K AE L AH K AH L Z
CAMAILED	K AE M EY L D
CAMELEER	K AE M AH L IH R
CAMELEERS	K AE M AH L IH R Z
CAMERLENGO	K AE M AH R L EH N G OW
CAMERLENGOS	K AE M AH R L EH N G AH Z
CAMISOLE	K AE M AH S OW L
CAMISOLES	K AE M AH S OW L Z
CAMLET	K AE M L AH T
CAMLETS	K AE M L AH T S
CAMOMILE	K AH M OW M AH L
CAMOMILES	K AE M AH M AH L Z
CAMOUFLAGEABLE	K AE M AH F L AA ZH AH B AH L
CAMPANILE	K AE M P EY N AH L
CAMPANILES	K AE M P AH N AH L Z
CANAILLE	K AH N EY L
CANAILLES	K AH N EY L Z
CANALED	K AH N AE L D
CANALLED	K AH N AE L D
CANALLER	K AH N AE L ER
CANALLERS	K AH N AE L ER Z
CANCELABLE	K AE N S AH L AH B AH L
CANCELED	K AE N S AH L D
CANCELER	K AE N S AH L ER
CANCELERS	K AE N S AH L ER Z
CANCELLABLE	K AE N S AH L AH B AH L
CANCELLED	K AE N S AH L D
CANCELLER	K AE N S AH L ER
CANCELLERS	K AE N S AH L ER Z
CANDLE	K AE N D AH L
CANDLEBERRIES	K AE N D AH L B EH R IY Z
CANDLEBERRY	K AE N D AH L B EH R IY
CANDLED	K AE N D AH L D
CANDLEFISH	K AE N D AH L F IH SH
CANDLEFISHES	K AE N D AH L F IH SH IH Z
CANDLEHOLDER	K AE N D AH L HH OW L D ER
CANDLEHOLDERS	K AE N D AH L HH OW L D ER Z
CANDLELIGHT	K AE N D AH L L AY T
CANDLELIGHTED	K AE N D AH L AY T IH D
CANDLELIGHTER	K AE N D AH L AY T ER
CANDLELIGHTERS	K AE N D AH L AY T ER Z
CANDLELIGHTS	K AE N D AH L AY T S
CANDLELIT	K AE N D AH L IH T
CANDLENUT	K AE N D AH L N AH T
CANDLENUTS	K AE N D AH L N AH T S
CANDLEPIN	K AE N D AH L P IH N
CANDLEPINS	K AE N D AH L P IH N Z
CANDLEPOWER	K AE N D AH L P AW ER
CANDLEPOWERS	K AE N D AH L P AW ER Z
CANDLER	K AE N D AH L ER
CANDLER(2)	K AE N D L ER
CANDLERS	K AE N D AH L ER Z
CANDLES	K AE N D AH L Z
CANDLESNUFFER	K AE N D AH L S N AH F ER
CANDLESNUFFERS	K AE N D AH L S N AH F ER Z
CANDLESTICK	K AE N D AH L S T IH K
CANDLESTICKS	K AE N D AH L S T IH K S
CANDLEWICK	K AE N D AH L W IH K
CANDLEWICKS	K AE N D AH L W IH K S
CANDLEWOOD	K AE N D AH L W UH D
CANDLEWOODS	K AE N D AH L W UH D Z
CANNONBALLED	K AE N AH N B AO L D
CANOEABLE	K AH N UW AH B AH L
CANOODLE	K AH N UW D AH L
CANOODLED	K AH N UW D AH L D
CANOODLES	K AH N UW D AH L Z
CANTABILE	K AE N T AH B AY L
CANTICLE	K AE N T IH K AH L
CANTICLES	K AE N T IH K AH L Z
CANTILENA	K AE N T IH L AH N AH
CANTILENAS	K AE N T IH L AH N AH Z
CANTILEVER	K AE N T AH L IY V ER
CANTILEVERED	K AE N T AH L IY V ER D
CANTILEVERING	K AE N T AH L IY V ER IH NG
CANTILEVERS	K AE N T AH L IY V ER Z
CANTLE	K AE N T AH L
CANTLES	K AE N T AH L Z
CAPABLE	K EY P AH B AH L
CAPABLENESS	K EY P AH B AH L N AH S
CAPABLENESSES	K EY P AH B AH L N AH S IH Z
CAPABLER	K EY P AH B AH L ER
CAPABLEST	K EY P AH B AH L AH S T
CAPELET	K EY P L AH T
CAPELETS	K EY P L AH T S
CAPLESS	K EY P L AH S
CAPLET	K EY P L AH T
CAPLETS	K EY P L AH T S
CAPPELLETTI	K AA P EH L EH T IY
CAPRIOLE	K AE P R IY OW L
CAPRIOLED	K AE P R IY OW L D
CAPRIOLES	K AE P R IY OW L Z
CAPSULE	K AE P S AH L
CAPSULED	K AE P S AH L D
CAPSULES	K AE P S AH L Z
CAPTIONLESS	K AE P SH AH N L AH S
CARACOLE	K AA R AH K OW L
CARACOLED	K AA R AH K OW L D
CARACOLES	K AA R AH K OW L Z
CARACOLLED	K AE R AH K AH L D
CARBAZOLE	K AA R B AH Z OW L
CARBAZOLES	K AA R B AH Z OW L Z
CARBONLESS	K AA R B AH N L AH S
CARBUNCLE	K AA R B AH NG K AH L
CARBUNCLED	K AA R B AH NG K AH L D
CARBUNCLES	K AA R B AH NG K AH L Z
CAREFULLER	K EH R F AH L ER
CAREFULLEST	K EH R F AH L AH S T
CARELESS	K EH R L EH S
CARELESSLY	K EH R L EH S L IY
CARELESSNESS	K EH R L EH S N AH S
CARELESSNESSES	K EH R L AH S N AH S IH Z
CARIOLE	K AE R IY OW L
CARIOLES	K AE R IY OW L Z
CARLE	K AA R AH L
CARLES	K AA R L Z
CARLESS	K AA R L AH S
CARMAGNOLE	K AA R M AH G N OW L
CARMAGNOLES	K AA R M AH G N OW L Z
CAROLED	K AE R AH L D
CAROLER	K AE R AH L ER
CAROLERS	K AE R AH L ER Z
CAROLLED	K AE R AH L D
CAROLLER	K AE R AH L ER
CAROLLERS	K AE R AH L ER Z
CARPALE	K AA R P EY L
CARPOOLED	K AA R P UW L D
CARPOOLER	K AA R P UW L ER
CARPOOLERS	K AA R P UW L ER Z
CARRIOLE	K AE R IY OW L
CARRIOLES	K AE R IY OW L Z
CARTABLE	K AA R T AH B AH L
CARTWHEELED	K AA R T W IY L D
CARTWHEELER	K AA R T W IY L ER
CARTWHEELERS	K AA R T W IY L ER Z
CARUNCLE	K AA R AH NG K AH L
CARUNCLES	K AA R AH NG K AH L Z
CASCABLE	K AE S AH B AH L
CASCABLES	K AE S AH B AH L Z
CASHABLE	K AE SH AH B AH L
CASHLESS	K AE SH L AH S
CASSEROLE	K AE S ER OW L
CASSEROLES	K AE S AH R OW L Z
CASSOULET	K AE S AW L AH T
CASSOULETS	K AE S AW L AH T S
CASTABLE	K AE S T AH B AH L
CASTLE	K AE S AH L
CASTLED	K AE S AH L D
CASTLES	K AE S AH L Z
CATALECTIC	K AE T AH L AH K T AH K
CATALECTICS	K AE T AH L EH K T AH S Z
CATALEPSIES	K AE T AH L EH P S AY Z
CATALEPSY	K AE T AH L EH P S IY
CATALEPTIC	K AE T AH L AH P T AH K
CATALEPTICALLY	K AE T AH L EH P T AH K AE L IY
CATALEPTICS	K AE T AH L EH P T AH S Z
CATALEXES	K AE T AH L AH K S
CATALEXIS	K AE T AH L EH K S AH S
CATAPLEXIES	K AH T AE P L EH K S AY Z
CATAPLEXY	K AH T AE P L EH K S IY
CATCALLED	K AE T K AO L D
CATCHABLE	K AE CH AH B AH L
CATCHPOLE	K AE CH P OW L
CATCHPOLES	K AE CH P OW L Z
CATERWAULED	K AH T AH R W EY AH L D
CATTLE	K AE T AH L
CATTLEMAN	K AE T AH L M AE N
CATTLEMEN	K AE T AH L M AH N
CATTLEMEN(2)	K AE T AH L M IH N
CATTLEYA	K AE T L EY AH
CATTLEYAS	K AE T L EY AH Z
CAUDLE	K AO D AH L
CAUDLES	K AO D AH L Z
CAULES	K EY AH L Z
CAULICLE	K AO L AH K AH L
CAULICLES	K AO L AH K AH L Z
CAUSABLE	K AO Z AH B AH L
CAUSELESS	K AO Z L AH S
CAVALERO	K AH V AE L AH R OW
CAVALEROS	K EY V AH L ER AA S
CAVALETTI	K AE V AH L EH T IY
CAVALLETTI	K AE V AH L EH T IY
CAVILED	K EY V AH L D
CAVILER	K EY V AH L AH R
CAVILERS	K AE V AH L AH R Z
CAVILLED	K AE V AH L D
CAVILLER	K AH V IH L AH R
CAVILLERS	K AH V IH L AH R Z
CEASELESS	S IY S L IH S
CEASELESSLY	S IY Z L AH S L IY
CEASELESSNESS	S IY S L AH S N AH S
CEASELESSNESSES	S IY S L AH S N AH S IH Z
CEILED	S IY AH L D
CEILER	S IY AH L AH R
CEILERS	S IY L AH R Z
CELEB	S AH L EH B
CELEBRANT	S EH L AH B R AH N T
CELEBRANTS	S EH L AH B R AH N T S
CELEBRATE	S EH L AH B R EY T
CELEBRATED	S EH L AH B R EY T IH D
CELEBRATEDNESS	S EH L AH B R AH T AH D N AH S
CELEBRATEDNESSES	S EH L AH B R AH T AH D N AH S IH Z
CELEBRATES	S EH L AH B R EY T S
CELEBRATING	S EH L AH B R EY T IH NG
CELEBRATION	S EH L AH B R EY SH AH N
CELEBRATIONS	S EH L AH B R EY SH AH N Z
CELEBRATOR	S EH L AH B R AH T ER
CELEBRATORS	S EH L AH B R AH T ER Z
CELEBRATORY	S AH L EH B R AH T AO R IY
CELEBRITIES	S AH L EH B R IH T IY Z
CELEBRITY	S AH L EH B R IH T IY
CELEBS	S AH L EH B Z
CELERIAC	S AH L IY R IY AH K
CELERIACS	S AH L IY R IY AH S
CELERIES	S EH L R IY Z
CELERITIES	S AH L EH R AH T IY Z
CELERITY	S AH L EH R AH T IY
CELERY	S EH L ER IY
CELESTA	S IH L EH S T AH
CELESTAS	S AH L EH S T AH Z
CELESTE	S AH L EH S T
CELESTES	S EH L AH S T S
CELESTIAL	S AH L EH S CH AH L
CELESTIALLY	S AH L EH S CH AH L IY
CELESTIALS	S AH L EH S CH AH L Z
CELESTITE	S EH L AH S T AY T
CELESTITES	S EH L AH S T AY T S
CELLED	S EH L D
CELLULE	S EH L UW L
CELLULES	S EH L AH L Z
CENACLE	S EH N AH K AH L
CENACLES	S EH N AH K AH L Z
CENSURABLE	S EH N CH ER AH B AH L
CENTERLESS	S EH N T ER L AH S
CENTILE	S EH N T AH L
CENTILES	S EH N T AH L Z
CENTRALER	S EH N T R AH L ER
CENTRALEST	S EH N T R AH L AH S T
CENTRIOLE	S EH N T R IY OW L
CENTRIOLES	S EH N T R IY OW L Z
CENTUPLE	S EH N T Y UW P AH L
CENTUPLED	S EH N T AH P L EH D
CENTUPLES	S EH N T AH P AH L Z
CEPHALEXIN	S EH F AH L EH K S AH N
CEPHALEXINS	S EH F AH L EH K S AH N Z
CERTIFIABLE	S ER T AH F AY AH B AH L
CERULEAN	S AH R UW L IY AH N
CERULEANS	S AH R UW L IY AH N Z
CHADLESS	CH AE D L AH S
CHALEH	CH AE L
CHALEHS	CH AE L AH Z
CHALET	SH AE L EY
CHALET(2)	SH AH L EY
CHALETS	SH AH L EY Z
CHALETS(2)	SH AE L EY Z
CHALLENGE	CH AE L AH N JH
CHALLENGED	CH AE L AH N JH D
CHALLENGER	CH AE L AH N JH ER
CHALLENGER(2)	CH AE L IH N JH ER
CHALLENGERS	CH AE L AH N JH ER Z
CHALLENGES	CH AE L AH N JH IH Z
CHALLENGING	CH AE L AH N JH IH NG
CHALLENGINGLY	CH AE L AH N JH IH NG L IY
CHAMELEON	K AH M IY L IY AH N
CHAMELEONIC	CH AH M IY L IY AH N AH K
CHAMELEONLIKE	CH AH M IY L IY AH N L AY K
CHAMELEONS	CH AH M IY L IY AH N Z
CHAMOMILE	CH AH M OW M AH L
CHAMOMILES	CH AE M AH M AH L Z
CHAMPLEVE	CH AE M P L IY V
CHAMPLEVES	CH AE M P L IY V Z
CHANCELLERIES	CH AE N S AH L AH R IY Z
CHANCELLERY	CH AE N S AH L AH R IY
CHANDELLE	SH AE N D EH L
CHANDELLED	SH AE N D EH L D
CHANDELLES	SH AE N D EH L Z
CHANDLER	CH AE N D L ER
CHANDLERIES	CH AE N D L ER IY Z
CHANDLERS	CH AE N D L ER Z
CHANDLERY	CH AE N D L ER IY
CHANGEABLE	CH EY N JH AH B AH L
CHANGEABLENESS	CH EY N JH AH B AH L N AH S
CHANGEABLENESSES	CH EY N JH AH B AH L N AH S IH Z
CHANGELESS	CH EY N JH L AH S
CHANGELESSLY	CH EY N JH L AH S L IY
CHANGELESSNESS	CH EY N JH L AH S N AH S
CHANGELESSNESSES	CH EY N JH L AH S N AH S IH Z
CHANNELED	CH AE N AH L D
CHANNELER	CH AE N AH L ER
CHANNELERS	CH AE N AH L ER Z
CHANNELLED	CH AE N AH L D
CHANTERELLE	CH AE N T AH R AH L
CHANTERELLES	CH AE N T AH R AH L Z
CHANTICLEER	CH AE N T IH K L IH ER
CHANTICLEERS	CH AE N T IH K L IH ER Z
CHAPFALLEN	CH AE P F AE L AH N
CHAPLET	CH AE P L AH T
CHAPLETED	CH AE P L AH T IH D
CHAPLETS	CH AE P L AH T S
CHARACTERLESS	K AE R IH K T ER L AH S
CHARBROILED	CH AA R B R OY L D
CHARBROILER	CH AA R B R OY L ER
CHARBROILERS	CH AA R B R OY L ER Z
CHARCOALED	CH AA R K OW L D
CHARGEABLE	CH AA R JH AH B AH L
CHARITABLE	CH AE R AH T AH B AH L
CHARITABLE(2)	CH EH R AH T AH B AH L
CHARITABLENESS	CH AE R AH T AH B AH L N AH S
CHARITABLENESSES	CH AE R AH T AH B AH L N AH S IH Z
CHARLEY	CH AA R L IY
CHARLEYS	CH AA R L EY Z
CHARMLESS	CH AA R M L AH S
CHASUBLE	CH AH S UW B AH L
CHASUBLES	CH AE S AH B AH L Z
CHECKABLE	CH EH K AH B AH L
CHECKLESS	CH EH K L AH S
CHEERFULLER	CH IH ER F AH L ER
CHEERFULLEST	CH IH ER F AH L AH S T
CHEERLEAD	CH IH ER L IY D
CHEERLEADER	CH IH R L IY D ER
CHEERLEADERS	CH IH R L IY D ER Z
CHEERLEADING	CH IH R L IY D IH NG
CHEERLEADS	CH IH ER L IY D Z
CHEERLED	CH IH ER L EH D
CHEERLESS	CH IH ER L AH S
CHEERLESSLY	CH IH ER L AH S L IY
CHEERLESSNESS	CH IH ER L AH S N AH S
CHEERLESSNESSES	CH IH ER L AH S N AH S IH Z
CHELATABLE	CH IY L EY T AH B AH L
CHENILLE	CH EH N AH L
CHENILLES	CH EH N AH L Z
CHERISHABLE	CH EH R IH SH AH B AH L
CHEVALET	CH EH V AH L AH T
CHEVALETS	CH EH V AH L AH T S
CHEWABLE	CH UW AH B AH L
CHICLE	CH AY K AH L
CHICLES	CH AY K AH L Z
CHILDLESS	CH AY L D L AH S
CHILDLESSNESS	CH AY L D L AH S N AH S
CHILDLESSNESSES	CH AY L D L AH S N AH S IH Z
CHILE	CH IH L IY
CHILES	CH AY L Z
CHILES(2)	CH IH L IY Z
CHILLED	CH IH L D
CHILLER	CH IH L ER
CHILLERS	CH IH L ER Z
CHILLEST	CH IH L AH S T
CHIMBLEY	CH IH M B L IY
CHIMBLEYS	CH IH M B L EY Z
CHIMLEY	CH IH M L IY
CHIMLEYS	CH IH M L EY Z
CHINLESS	CH IH N L AH S
CHISELED	CH IH Z AH L D
CHISELER	CH IH Z AH L ER
CHISELERS	CH IH Z AH L ER Z
CHISELLED	CH IH Z AH L D
CHISELLER	CH IH Z AH L ER
CHISELLERS	CH IH Z AH L ER Z
CHOLECALCIFEROL	CH AA L AH K AH L S IH F AH R AH L
CHOLECALCIFEROLS	CH AA L AH K AH L S IH F AH R AH L Z
CHOLECYSTECTOMIES	CH AA L AH S AH S T EH K T AH M AY Z
CHOLECYSTECTOMIZED	CH AA L AH S IH S T EH K T AH M AY Z D
CHOLECYSTECTOMY	CH AA L AH S AH S T EH K T AH M IY
CHOLECYSTITIDES	CH AH L AH S IH S T AH T AY D Z
CHOLECYSTITIS	CH AA L AH S AH S T AY T AH S
CHOLECYSTOKININ	CH AA L AH S AH S T AA K AH N AH N
CHOLECYSTOKININS	CH AA L AH S AH S T AA K AH N AH N Z
CHOLELITHIASES	CH AH L AH L IH TH IY EY Z AH Z
CHOLELITHIASIS	CH AA L AH L AH TH IY AH S AH S
CHOLENT	CH OW L AH N T
CHOLENTS	CH AA L AH N T S
CHOLER	CH OW L AH R
CHOLERA	K AA L ER AH
CHOLERAS	K AA L AH R AH Z
CHOLERIC	K AA L ER IH K
CHOLERICALLY	CH AH L EH R AH K AE L IY
CHOLERS	CH AA L AH R Z
CHOLESTASES	CH AA L AH S T EY Z AH Z
CHOLESTASIS	CH AH L EH S T AH S AH S
CHOLESTATIC	CH OW L EH S T AH T AH K
CHOLESTERIC	CH AH L EH S T AH R AH K
CHOLESTEROL	K AH L EH S T ER AO L
CHOLESTEROL(2)	K AH L EH S T ER AH L
CHOLESTEROLS	K AH L EH S T AH R AO L Z
CHOLESTYRAMINE	K OW L EH S T IH R AH M AY N
CHOLESTYRAMINES	CH AH L EH S T IH R AH M AY N Z
CHONDRULE	CH AA N D R UW L
CHONDRULES	CH AA N D R AH L Z
CHOPFALLEN	CH AA P F AE L AH N
CHORALE	K ER AE L
CHORALES	K AH R AE L Z
CHORTLE	CH AO R T AH L
CHORTLED	CH AO R T AH L D
CHORTLER	CH AO R T AH L ER
CHORTLERS	CH AO R T AH L ER Z
CHORTLES	CH AO R T AH L Z
CHRONICLE	K R AA N IH K AH L
CHRONICLED	K R AA N IH K AH L D
CHRONICLER	K R AA N IH K L ER
CHRONICLERS	K R AA N IH K L ER Z
CHRONICLES	K R AA N IH K AH L Z
CHRYSOTILE	K R AH S OW T AH L
CHRYSOTILES	K R IH S AH T AH L Z
CHUCKHOLE	CH AH K HH OW L
CHUCKHOLES	CH AH K HH OW L Z
CHUCKLE	CH AH K AH L
CHUCKLED	CH AH K AH L D
CHUCKLEHEAD	CH AH K AH L HH EH D
CHUCKLEHEADED	CH AH K AH L HH EH D IH D
CHUCKLEHEADS	CH AH K AH L HH EH D Z
CHUCKLER	CH AH K AH L ER
CHUCKLERS	CH AH K AH L ER Z
CHUCKLES	CH AH K AH L Z
CHUCKLESOME	CH AH K AH L S AH M
CHURCHLESS	CH ER CH L AH S
CHYLE	CH AY L
CHYLES	CH AY L Z
CIBOULE	S IH B OW UW L
CIBOULES	S IH B OW AH L Z
CICALE	S AH K EY L
CINEOLE	S IH N IY OW L
CINEOLES	S IH N IY OW L Z
CINEPLEX	S IH N AH P L EH K S
CINEPLEXES	S AH N EH P L AH K S
CIRCLE	S ER K AH L
CIRCLED	S ER K AH L D
CIRCLER	S ER K AH L ER
CIRCLERS	S ER K AH L ER Z
CIRCLES	S ER K AH L Z
CIRCLET	S AH R K L AH T
CIRCLETS	S AH R K L AH T S
CIRCULATABLE	S ER K Y AH L AH T AH B AH L
CIRCUMCIRCLE	S ER K AH M S ER K AH L
CIRCUMCIRCLES	S ER K AH M S ER K AH L Z
CIRCUMFLEX	S ER K AH M F L EH K S
