GE	JH IY
DISADVANTAGES	D IH S AH D V AE N T IH JH IH Z
DISADVANTAGES(2)	D IH S AH D V AE N IH JH Z
DISARRANGE	D IH S AH R EY N JH
DISARRANGED	D IH S AH R EY N JH D
DISARRANGEMENT	D IH S AH R EY N JH M AH N T
DISARRANGEMENTS	D IH S AH R EY N JH M AH N T S
DISARRANGES	D IH S AH R EY N JH IH Z
DISCHARGE	D IH S CH AA R JH
DISCHARGEABLE	D IH S CH AA R JH AH B AH L
DISCHARGED	D IH S CH AA R JH D
DISCHARGEE	D IH S CH AA R JH IY
DISCHARGEES	D IH S CH AA R JH IY Z
DISCHARGER	D IH S CH AA R JH ER
DISCHARGERS	D IH S CH AA R JH ER Z
DISCHARGES	D IH S CH AA R JH AH Z
DISCOURAGE	D IH S K ER IH JH
DISCOURAGEABLE	D IH S K ER IH JH AH B AH L
DISCOURAGED	D IH S K ER IH JH D
DISCOURAGEMENT	D IH S K ER IH JH M AH N T
DISCOURAGEMENTS	D IH S K ER IH JH M AH N T S
DISCOURAGER	D IH S K ER IH JH ER
DISCOURAGERS	D IH S K ER IH JH ER Z
DISCOURAGES	D IH S K ER IH JH IH Z
DISENGAGE	D IH S IH N G EY JH
DISENGAGED	D IH S IH N G EY JH D
DISENGAGEMENT	D IH S IH N G EY JH M AH N T
DISENGAGEMENTS	D IH S EH N G EY JH M AH N T S
DISENGAGES	D IH S EH N G EY JH IH Z
DISGORGE	D IH S G AO R JH
DISGORGED	D IH S G AO R JH D
DISGORGES	D IH S G AO R JH IH Z
DISINGENUOUS	D IH S IH N JH EH N Y UW AH S
DISINGENUOUSLY	D AH S AH N JH EH N Y UW OW AH S L IY
DISINGENUOUSNESS	D IH S IH N JH EH N Y UW AH S N AH S
DISINGENUOUSNESSES	D AH S AH N JH EH N Y UW AW Z N EH S AH Z
DISLODGE	D IH S L AA JH
DISLODGED	D IH S L AA JH D
DISLODGEMENT	D IH S L AA JH M AH N T
DISLODGEMENTS	D IH S L AA JH M AH N T S
DISLODGES	D IH S L AA JH IH Z
DISOBLIGE	D IH S AH B L AY JH
DISOBLIGED	D IH S AH B L AY JH D
DISOBLIGES	D IH S AH B L AY JH IH Z
DISPARAGE	D IH S P EH R IH JH
DISPARAGED	D IH S P EH R IH JH D
DISPARAGEMENT	D IH S P AE R IH JH M AH N T
DISPARAGEMENTS	D IH S P AE R IH JH M AH N T S
DISPARAGER	D IH S P AE R IH JH ER
DISPARAGERS	D IH S P AE R IH JH ER Z
DISPARAGES	D IH S P EH R IH JH IH Z
DITCHDIGGER	D IH CH D IH G ER
DITCHDIGGERS	D IH CH D IH G ER Z
DIVERGE	D IH V ER JH
DIVERGED	D AY V ER JH D
DIVERGENCE	D AY V ER JH AH N S
DIVERGENCE(2)	D IH V ER JH AH N S
DIVERGENCES	D AY V ER JH AH N S IH Z
DIVERGENCIES	D AY V ER JH AH N S IY Z
DIVERGENCY	D AY V ER JH AH N S IY
DIVERGENT	D AY V ER JH AH N T
DIVERGENT(2)	D IH V ER JH AH N T
DIVERGENTLY	D AY V ER JH AH N T L IY
DIVERGES	D AY V ER JH IH Z
DIVULGE	D IH V AH L JH
DIVULGE(2)	D AY V AH L JH
DIVULGED	D IH V AH L JH D
DIVULGED(2)	D AY V AH L JH D
DIVULGENCE	D AH V AH L JH AH N S
DIVULGENCES	D AH V AH L JH AH N S IH Z
DIVULGER	D AH V AH L JH ER
DIVULGERS	D AH V AH L JH ER Z
DIVULGES	D AH V AH L JH IH Z
DOCKAGE	D AA K IH JH
DOCKAGES	D AA K IH JH IH Z
DODGE	D AA JH
DODGEBALL	D AA JH B AO L
DODGEBALLS	D AA JH B AO L Z
DODGED	D AA JH D
DODGEM	D AA JH AH M
DODGEMS	D AA JH AH M Z
DODGER	D AA JH ER
DODGERIES	D AA JH AH R IY Z
DODGERS	D AA JH ER Z
DODGERY	D AA JH AH R IY
DODGES	D AA JH IH Z
DOGE	D OW JH
DOGEAR	D AA G IY R
DOGEARED	D AA G IY R D
DOGEARING	D AA G IY R IH NG
DOGEARS	D AA G IY R Z
DOGEDOM	D OW JH
DOGEDOMS	D AA JH AH D AH M Z
DOGES	D AO G Z
DOGESHIP	D AO G Z HH IH P
DOGESHIPS	D AO G Z HH IH P S
DOGEY	D OW JH IY
DOGEYS	D OW JH EY Z
DOGGED	D AO G D
DOGGEDLY	D AO G AH D L IY
DOGGEDNESS	D AO G AH D N AH S
DOGGEDNESSES	D AO G AH D N AH S IH Z
DOGGER	D AO G ER
DOGGEREL	D AA G ER AH L
DOGGERELS	D AA JH AH R AH L Z
DOGGERIES	D AO G AH R IY Z
DOGGERS	D AO G ER Z
DOGGERY	D AO G AH R IY
DOGLEGGED	D AO G L EH G D
DOPPELGANGER	D AA P EH L G AH NG AH R
DOPPELGANGERS	D AA P AH L G AE N JH AH R Z
DOSAGE	D OW S AH JH
DOSAGE(2)	D OW S IH JH
DOSAGES	D OW S IH JH IH Z
DOTAGE	D OW T IH JH
DOTAGES	D OW T IH JH IH Z
DOWAGER	D AW AH JH ER
DOWAGERS	D AW IH JH ER Z
DOWNRANGE	D AW N R EY N JH
DOWNSTAGE	D AW N S T EY JH
DOWNSTAGES	D AW N S T EY JH IH Z
DRAGEE	D R AE G IY
DRAGEES	D R AE G IY Z
DRAGGED	D R AE G D
DRAGGER	D R AE G ER
DRAGGERS	D R AE G ER Z
DRAINAGE	D R EY N AH JH
DRAINAGE(2)	D R EY N IH JH
DRAINAGES	D R EY N IH JH IH Z
DRAMATURGE	D R AE M AH T AH R JH
DRAMATURGES	D R AE M AH T AH R JH AH Z
DRAWBRIDGE	D R AO B R IH JH
DRAWBRIDGES	D R AO B R IH JH IH Z
DRAYAGE	D R EY AH JH
DRAYAGES	D R EY AH JH AH Z
DREDGE	D R EH JH
DREDGED	D R EH JH D
DREDGER	D R EH JH AH R
DREDGERS	D R EH JH AH R Z
DREDGES	D R EH JH AH Z
DREDGES(2)	D R EH JH IH Z
DRESSAGE	D R EH S AA ZH
DRESSAGES	D R EH S IH JH IH Z
DRIFTAGE	D R IH F T IH JH
DRIFTAGES	D R IH F T IH JH IH Z
DRUDGE	D R AH JH
DRUDGED	D R AH JH D
DRUDGER	D R AH JH ER
DRUDGERIES	D R AH JH AH R IY Z
DRUDGERS	D R AH JH ER Z
DRUDGERY	D R AH JH ER IY
DRUDGES	D R AH JH IH Z
DRUGGED	D R AH G D
DRUGGET	D R AH G EH T
DRUGGETS	D R AH G EH T S
DUDGEON	D AH JH AH N
DUDGEONS	D AH JH IY AH N Z
DUNGED	D AH NG D
DUNGEON	D AH N JH AH N
DUNGEONED	D AH N JH AH N D
DUNGEONING	D AH N JH AH N IH NG
DUNGEONS	D AH N JH AH N Z
DUNNAGE	D AH N IH JH
DUNNAGES	D AH N IH JH IH Z
DYSGENESES	D IH Z AH N IY Z AH Z
DYSGENESIS	D IH Z IY N AH S AH S
DYSGENIC	D IH Z AH N AH K
EAGER	IY G ER
EAGERER	IY G ER ER
EAGEREST	IY G ER AH S T
EAGERLY	IY G ER L IY
EAGERNESS	IY G ER N AH S
EAGERNESSES	IY G ER N AH S IH Z
EAGERS	IY G ER Z
EARWIGGED	IH ER W IH G D
EDGE	EH JH
EDGED	EH JH D
EDGELESS	EH JH L AH S
EDGER	EH JH ER
EDGERS	EH JH ER Z
EDGES	EH JH AH Z
EDGES(2)	EH JH IH Z
EDGEWAYS	EH JH W EY Z
EDGEWISE	EH JH W AY Z
EFFULGE	EH F AH L JH
EFFULGED	EH F AH L JH D
EFFULGENCE	EH F UH L JH AH N S
EFFULGENCES	EH F UH L JH EH N S AH Z
EFFULGENT	EH F UH L JH AH N T
EFFULGES	EH F UH L JH AH Z
EGER	IY G ER
EGERS	EH JH AH R Z
EGEST	IY JH AH S T
EGESTA	AH JH EH S T AH
EGESTED	IY JH EH S T AH D
EGESTING	AH JH EH S T AH NG
EGESTION	IY JH EH S T IY AH N
EGESTIONS	AH JH EH S T IY AH N Z
EGESTIVE	IY JH EH S T AH V
EGESTS	EH JH AH S T S
EGGED	EH G D
EGGER	EH G ER
EGGERS	EH G ER Z
EIGENMODE	EY JH AH N M OW D
EIGENMODES	EY JH AH N M OW D Z
EIGENVALUE	AY G AH N V AE L Y UW
EIGENVALUES	AY G AH N V AE L Y UW Z
EIGENVECTOR	EY JH EH N V EH K T AH R
EIGENVECTORS	EY JH AH N V EH K T AH R Z
EISEGESES	IY S AH JH IY Z AH Z
EISEGESIS	IY S IY JH AH S AH S
ELECTROGENESES	AH L EH K T R AA JH AH N IY Z AH Z
ELECTROGENESIS	AH L EH K T R AH JH IY N AH S AH S
ELECTROGENIC	AH L EH K T R AH JH AH N AH K
ELECTROSURGERIES	AH L EH K T R AH S AH R JH AH R AY Z
ELECTROSURGERY	AH L EH K T R AH S AH R JH EH R IY
EMALANGENI	AH M AH L AE N JH AH N IY
EMBASSAGE	IH M B EY S IH JH
EMBASSAGES	IH M B EY S IH JH IH Z
EMBOURGEOISEMENT	IH M B AH R JH IY OY Z M AH N T
EMBOURGEOISEMENTS	IH M B AH R JH IY OY S AH M AH N T S
EMBRYOGENESES	EH M B R IY OW JH IY N Z IH Z
EMBRYOGENESIS	EH M B R IY OW JH EH N AH S AH S
EMBRYOGENETIC	EH M B R IY OW JH AH N EH T IH K
EMBRYOGENIC	EH M B R IY OW JH IY N IH K
EMBRYOGENIES	EH M B R IY OW JH IY N IY Z
EMBRYOGENY	EH M B R IY OW JH IY N IY
EMERGE	IH M ER JH
EMERGE(2)	IY M ER JH
EMERGED	IH M ER JH D
EMERGED(2)	IY M ER JH D
EMERGENCE	IH M ER JH AH N S
EMERGENCE(2)	IY M ER JH AH N S
EMERGENCES	IH M ER JH AH N S IH Z
EMERGENCIES	IH M ER JH AH N S IY Z
EMERGENCIES(2)	IY M ER JH AH N S IY Z
EMERGENCY	IH M ER JH AH N S IY
EMERGENCY(2)	IY M ER JH AH N S IY
EMERGENT	IH M ER JH AH N T
EMERGENT(2)	IY M ER JH AH N T
EMERGENTS	IH M ER JH AH N T S
EMERGES	IH M ER JH IH Z
EMERGES(2)	IY M ER JH IH Z
EMPENNAGE	IH M P EH N IH JH
EMPENNAGES	IH M P EH N IH JH IH Z
ENCAGE	EH N K EY JH
ENCAGED	EH N K EY JH D
ENCAGES	EH N K EY JH IH Z
ENCEPHALITOGEN	IH N S AH F AH L IH T AH JH AH N
ENCEPHALITOGENIC	IH N S EH F AH L IH T AH JH AH N AH K
ENCEPHALITOGENS	IH N S EH F AH L IH T AH JH AH N Z
ENCOURAGE	EH N K ER IH JH
ENCOURAGE(2)	IH N K ER AH JH
ENCOURAGED	EH N K ER IH JH D
ENCOURAGED(2)	IH N K ER AH JH D
ENCOURAGEMENT	EH N K ER IH JH M AH N T
ENCOURAGEMENTS	EH N K ER IH JH M AH N T S
ENCOURAGER	EH N K ER IH JH ER
ENCOURAGERS	EH N K ER IH JH ER Z
ENCOURAGES	EH N K ER IH JH IH Z
ENCOURAGES(2)	IH N K ER AH JH AH Z
ENDAMAGE	EH N D AE M IH JH
ENDAMAGED	EH N D AE M IH JH D
ENDAMAGES	EH N D AE M IH JH IH Z
ENDANGER	EH N D EY N JH ER
ENDANGERED	EH N D EY N JH ER D
ENDANGERED(2)	IH N D EY N JH ER D
ENDANGERING	EH N D EY N JH ER IH NG
ENDANGERMENT	EH N D EY N JH ER M AH N T
ENDANGERMENTS	EH N D EY N JH ER M AH N T S
ENDANGERS	EH N D EY N JH ER Z
ENDOGEN	EH N D AO G AH N
ENDOGENIC	EH N D AO G AH N IH K
ENDOGENIES	EH N D AO G AH N IY Z
ENDOGENOUS	EH N D AO JH EH N AH S
ENDOGENOUSLY	EH N D AA JH AH N AH S L IY
ENDOGENS	EH N D AO G AH N Z
ENDOGENY	EH N D AO G AH N IY
ENERGETIC	EH N ER JH EH T IH K
ENERGETICALLY	EH N ER JH EH T IH K L IY
ENERGETICS	EH N ER JH EH T IH K S
ENFLEURAGE	IH N F L IY Y AH R AH JH
ENFLEURAGES	IH N F L AH Y UH R AH JH AH Z
ENGAGE	IH N G EY JH
ENGAGED	IH N G EY JH D
ENGAGEMENT	EH N G EY JH M AH N T
ENGAGEMENTS	IH N G EY JH M AH N T S
ENGAGER	EH N G EY JH ER
ENGAGERS	EH N G EY JH ER Z
ENGAGES	IH N G EY JH IH Z
ENGENDER	EH N JH EH N D ER
ENGENDER(2)	IH N JH EH N D ER
ENGENDERED	EH N JH EH N D ER D
ENGENDERING	EH N JH EH N D ER IH NG
ENGENDERS	EH NG G AH N D ER Z
ENGORGE	EH N G AO R JH
ENGORGED	EH N G AO R JH D
ENGORGEMENT	EH N G AO R JH M AH N T
ENGORGEMENTS	EH N G AO R JH M AH N T S
ENGORGES	EH N G AO R JH IH Z
ENLARGE	EH N L AA R JH
ENLARGEABLE	EH N L AA R JH AH B AH L
ENLARGED	EH N L AA R JH D
ENLARGEMENT	EH N L AA R JH M AH N T
ENLARGEMENTS	EH N L AA R JH M AH N T S
ENLARGER	EH N L AA R G ER
ENLARGERS	EH N L AA R JH ER Z
ENLARGES	EH N L AA R JH IH Z
ENRAGE	EH N R EY JH
ENRAGED	EH N R EY JH D
ENRAGED(2)	IH N R EY JH D
ENRAGES	EH N R EY JH AH Z
ENSILAGE	EH N Z IH L EY JH
ENSILAGED	EH N Z IH L EY JH D
ENSILAGES	EH N Z IH L EY JH IH Z
ENTEROPATHOGENIC	IH N T EH R AH P AE TH AH JH AH N AH K
ENTOURAGE	AA N T UH R AA ZH
ENTOURAGE(2)	AA N T ER AA ZH
ENTOURAGES	AA N T UH R AA ZH AH Z
ENTOURAGES(2)	AA N T ER AA ZH AH Z
ENVISAGE	EH N V IH Z IH JH
ENVISAGED	EH N V IH Z IH JH D
ENVISAGES	EH N V IH Z IH JH IH Z
EPEIROGENIC	IY P IY R AH JH AH N AH K
EPEIROGENICALLY	IY P AH R AH JH EH N AH K AE L IY
EPEIROGENIES	IY P AH R AA JH AH N AY Z
EPEIROGENY	IY P AH R AA JH AH N IY
EPEXEGESES	AH P EH K S AH JH IY Z AH Z
EPEXEGESIS	EH P AH K S IY JH AH S AH S
EPEXEGETIC	AH P EH K S AH JH AH T AH K
EPEXEGETICAL	AH P EH K S EH JH AH T IH S AH L
EPEXEGETICALLY	AH P EH K S AH JH EH T AH K AE L IY
EPIGEAL	AH P IH JH IY AH L
EPIGEAN	AH P AY JH IY AH N
EPIGEIC	AH P AY JH IY AH K
EPIGENE	EH P AH JH IY N
EPIGENESES	AH P IH JH AH N IY Z AH Z
EPIGENESIS	EH P AH JH IY N AH S AH S
EPIGENETIC	EH P IH JH AH N EH T IH K
EPIGENETICALLY	EH P AH JH AH N EH T IH K AH L IY
EPIGENIC	EH P AH JH AH N AH K
EPIGEOUS	AH P IH JH IY AH S
EPILEPTOGENIC	EH P AH L EH P T AH JH AH N AH K
EQUIPAGE	IH K W IH P IH JH
EQUIPAGES	IH K W IH P IH JH IH Z
ERIGERON	AH R IH JH AH R AH N
ERIGERONS	AH R IH JH AH R AH N Z
EROGENIC	EH R AH JH AH N AH K
EROGENOUS	AH R AA JH AH N AH S
EROTOGENIC	AH R AA T AH JH AH N AH K
ESCUAGE	EH S Y UW AH JH
ESCUAGES	EH S Y UW AH JH AH Z
ESOPHAGEAL	EH S AH F IH JH IY AH L
ESPIONAGE	EH S P IY AH N AA JH
ESPIONAGES	EH S P IY AH N AA ZH IH Z
ESTRANGE	EH S T R EY N JH
ESTRANGED	EH S T R EY N JH D
ESTRANGEMENT	IH S T R EY N JH M AH N T
ESTRANGEMENTS	IH S T R EY N JH M AH N T S
ESTRANGER	IH S T R EY N JH ER
ESTRANGERS	IH S T R EY N JH ER Z
ESTRANGES	IH S T R EY N JH IH Z
ESTROGEN	EH S T R AH JH AH N
ESTROGENIC	EH S T R AH JH AH N AH K
ESTROGENICALLY	EH S T R AH JH EH N AH K AE L IY
ESTROGENS	EH S T R AH JH IH N Z
ETAGERE	AH T EY JH AH R
ETAGERES	EH T AH JH IY R Z
EUGENIA	Y UW JH IY N IY AH
EUGENIAS	Y UW JH IY N Y AH Z
EUGENIC	Y UW JH EH N IH K
EUGENICALLY	Y UH JH EH N IH K AH L IY
EUGENICIST	Y UH JH EH N IH K IH S T
EUGENICISTS	Y UH JH EH N IH K IH S T S
EUGENICS	Y UW JH EH N IH K S
EUGENIST	Y UW JH AH N AH S T
EUGENISTS	Y UW JH AH N AH S T S
EUGENOL	Y UW JH AH N AH L
EUGENOLS	Y UW JH AH N AH L Z
EUGEOSYNCLINAL	Y UW JH IY AH S IH NG K L AH N AH L
EUGEOSYNCLINE	Y UW JH IY AA S AH NG K L AY N
EUGEOSYNCLINES	Y UW JH IY AA S AH NG K L AY N Z
EVANGEL	IH V AE N JH AH L
EVANGELIC	IY V AE N JH EH L IH K
EVANGELICAL	IY V AE N JH EH L IH K AH L
EVANGELICALLY	IY V AE N JH EH L IH K AH L IY
EVANGELICALS	IY V AE N JH EH L IH K AH L Z
EVANGELISM	IH V AE N JH AH L IH Z AH M
EVANGELISM(2)	IY V AE N JH AH L IH Z AH M
EVANGELISMS	IH V AE N JH AH L IH Z AH M Z
EVANGELIST	IH V AE N JH AH L IH S T
EVANGELIST(2)	IY V AE N JH AH L IH S T
EVANGELISTIC	IY V AE N JH AH L IH S T IH K
EVANGELISTICALLY	IH V AE N JH AH L IH S T IH K AH L IY
EVANGELISTS	IH V AE N JH AH L IH S T S
EVANGELISTS(2)	IY V AE N JH AH L IH S T S
EVANGELISTS(3)	IH V AE N JH AH L IH S
EVANGELISTS(4)	IY V AE N JH AH L IH S
EVANGELIZATION	IH V AE N JH AH L AH Z EY SH AH N
EVANGELIZATIONS	IH V AE N JH AH L AH Z EY SH AH N Z
EVANGELIZE	IH V AE N JH AH L AY Z
EVANGELIZE(2)	IY V AE N JH AH L AY Z
EVANGELIZED	IH V AE N JH AH L AY Z D
EVANGELIZES	IH V AE N JH AH L AY Z IH Z
EVANGELIZING	IH V AE N JH AH L AY Z IH NG
EVANGELS	IH V AE N JH AH L Z
EXAGGERATE	IH G Z AE JH ER EY T
EXAGGERATED	IH G Z AE JH ER EY T AH D
EXAGGERATED(2)	IH G Z AE JH ER EY T IH D
EXAGGERATEDLY	IH G Z AE JH ER AH T AH D L IY
EXAGGERATEDNESS	IH G Z AE JH ER AH T AH D N AH S
EXAGGERATEDNESSES	IH G Z AE JH ER AH T AH D N AH S IH Z
EXAGGERATES	IH G Z AE JH ER EY T S
EXAGGERATING	IH G Z AE JH ER EY T IH NG
EXAGGERATION	IH G Z AE JH ER EY SH AH N
EXAGGERATIONS	IH G Z AE JH ER EY SH AH N Z
EXAGGERATIVE	IH G Z AE JH ER AH T IH V
EXAGGERATOR	IH G Z AE JH ER AH T ER
EXAGGERATORS	IH G Z AE JH ER AH T ER Z
EXAGGERATORY	IH G Z AE JH ER AH T OW R IY
EXCHANGE	IH K S CH EY N JH
EXCHANGEABILITIES	IH K S CH EY N JH AH B IH L AH T EH Z
EXCHANGEABILITY	IH K S CH EY N JH AH B IH L AH T EH
EXCHANGEABLE	IH K S CH EY N JH AH B AH L
EXCHANGED	IH K S CH EY N JH D
EXCHANGER	IH K S CH EY N JH ER
EXCHANGERS	IH K S CH EY N JH ER Z
EXCHANGES	IH K S CH EY N JH AH Z
EXCHANGES(2)	IH K S CH EY N JH IH Z
EXEGESES	IH G Z AH JH IY Z AH Z
EXEGESIS	IH G Z IY JH AH S AH S
EXEGETE	EH K S AH JH IY T
EXEGETES	EH K S AH JH IY T S
EXEGETIC	EH K S AH JH IY T IH K
EXEGETICAL	EH K S AH JH IY T IH K AH L
EXEGETIST	EH K S AH JH IY T IH S T
EXEGETISTS	EH K S AH JH IY T IH S T S
EXIGENCE	IH G Z IH JH AH N S
EXIGENCES	IH G Z IH JH AH N S IH Z
EXIGENCIES	EH K S IH JH AH N S IY Z
EXIGENCY	EH K S IH JH AH N S IY
EXIGENT	EH K S IH JH AH N T
EXIGENTLY	IH G Z IH JH AH N T L IY
EXOGEN	IH G Z AA JH AH N
EXOGENOUS	EH K S OW JH AH N AH S
EXOGENOUSLY	IH G Z AH JH EH N OW AH S L IY
EXOGENS	IH G Z AA JH AH N Z
EXPRESSAGE	IH K S P R EH S IH JH
EXPRESSAGES	IH K S P R EH S IH JH IH Z
EXPUNGE	IH K S P AH N JH
EXPUNGED	IH K S P AH N JH D
EXPUNGER	EH K S P AH N JH ER
EXPUNGERS	EH K S P AH N JH ER Z
EXPUNGES	IH K S P AH N JH IH Z
FACTORAGE	F AE K T ER IH JH
FACTORAGES	F AE K T ER IH JH IH Z
FADGE	F AE JH
FADGED	F AE JH D
FADGES	F AE JH AH Z
FAGGED	F AE G D
FANGED	F AE NG D
FASHIONMONGER	F AE SH AH N M AH NG G ER
FASHIONMONGERS	F AE SH AH N M AH NG G ER Z
FEATHEREDGE	F EH DH ER EH JH
FEATHEREDGED	F EH DH ER EH JH D
FEATHEREDGES	F EH DH ER EH JH IH Z
FEBRIFUGE	F EH B R AH F Y UW JH
FEBRIFUGES	F EH B R AH F Y UW JH AH Z
FELLMONGER	F EH L M AH NG G ER
FELLMONGERED	F EH L M AH NG G ER D
FELLMONGERIES	F EH L M AH NG G ER IY Z
FELLMONGERING	F EH L M AH NG G ER IH NG
FELLMONGERINGS	F EH L M AH NG G ER IH NG Z
FELLMONGERS	F EH L M AH NG G ER Z
FELLMONGERY	F EH L M AH NG G ER IY
FERRIAGE	F EH R IY IH JH
FERRIAGES	F EH R IY IH JH IH Z
FIBRINOGEN	F IH B R IH N AH JH AH N
FIBRINOGENS	F IH B R IH N AH JH AH N Z
FIDGE	F IH JH
FIDGED	F IH JH D
FIDGES	F IH JH AH Z
FIDGET	F IH JH IH T
FIDGETED	F IH JH IY T AH D
FIDGETER	F IH JH IY T AH R
FIDGETERS	F IH JH AH T AH R Z
FIDGETINESS	F IH JH EH T AH N AH S
FIDGETINESSES	F IH JH EH T AH N EH S AH Z
FIDGETING	F IH JH AH T IH NG
FIDGETS	F IH JH AH T S
FIDGETY	F IH JH AH T IY
FIGEATER	F IH G IY T ER
FIGEATERS	F IH G IY T ER Z
FIGGED	F IH G D
FINGER	F IH NG G ER
FINGERBOARD	F IH NG G ER B AO R D
FINGERBOARDS	F IH NG G ER B OW R D Z
FINGERED	F IH NG G ER D
FINGERER	F IH NG G ER ER
FINGERERS	F IH NG G ER ER Z
FINGERHOLD	F IH NG G ER HH OW L D
FINGERHOLDS	F IH NG G ER HH OW L D Z
FINGERING	F IH NG G ER IH NG
FINGERINGS	F IH NG G ER IH NG Z
FINGERLIKE	F IH NG G ER L AY K
FINGERLING	F IH NG G ER L IH NG
FINGERLINGS	F IH NG G ER L IH NG Z
FINGERNAIL	F IH NG G ER N EY L
FINGERNAILS	F IH NG G ER N EY L Z
FINGERPICK	F IH NG G ER P IH K
FINGERPICKED	F IH NG G ER P IH K T
FINGERPICKING	F IH NG G ER P IH K IH NG
FINGERPICKINGS	F IH NG G ER P IH K IH NG Z
FINGERPICKS	F IH NG G ER P IH K S
FINGERPOST	F IH NG G ER P OW S T
FINGERPOSTS	F IH NG G ER P OW S T S
FINGERPRINT	F IH NG G ER P R IH N T
FINGERPRINTED	F IH NG G ER P R IH N T IH D
FINGERPRINTING	F IH NG G ER P R IH N T IH NG
FINGERPRINTINGS	F IH NG G ER P R IH N T IH NG Z
FINGERPRINTS	F IH NG G ER P R IH N T S
FINGERS	F IH NG G ER Z
FINGERTIP	F IH NG G ER T IH P
FINGERTIPS	F IH NG G ER T IH P S
FIREFANGED	F AY ER F AE NG D
FISHMONGER	F IH SH M AA NG G ER
FISHMONGERS	F IH SH M AH NG G ER Z
FLAGELLA	F L AH JH EH L AH
FLAGELLANT	F L AE JH AH L AH N T
FLAGELLANTISM	F L AE JH AH L AH N T IH Z AH M
FLAGELLANTISMS	F L AE JH AH L AH N T IH Z AH M Z
FLAGELLANTS	F L AE JH AH L AH N T S
FLAGELLAR	F L AE JH AH L ER
FLAGELLATE	F L AE JH AH L EY T
FLAGELLATED	F L AE JH AH L EY T AH D
FLAGELLATES	F L AE JH AH L AH T S
FLAGELLATING	F L AE JH AH L EY T IH NG
FLAGELLATION	F L AE JH AH L EY SH AH N
FLAGELLATIONS	F L AE JH AH L EY SH AH N Z
FLAGELLIN	F L AH JH EH L AH N
FLAGELLINS	F L AH JH EH L AH N Z
FLAGELLUM	F L AH JH EH L AH M
FLAGELLUMS	F L AH JH EH L AH M Z
FLAGEOLET	F L AE JH AH L EH T
FLAGEOLETS	F L AE JH AH L EH T S
FLAGGED	F L AE G D
FLAGGER	F L AE G ER
FLAGGERS	F L AE G ER Z
FLANGE	F L AE N JH
FLANGED	F L AE N JH D
FLANGER	F L AE N JH ER
FLANGERS	F L AE N JH ER Z
FLANGES	F L AE N JH AH Z
FLEDGE	F L EH JH
FLEDGED	F L EH JH D
FLEDGES	F L EH JH AH Z
FLINGER	F L IH NG ER
FLINGERS	F L IH NG ER Z
FLOATAGE	F L OW T IH JH
FLOATAGES	F L OW T IH JH IH Z
FLOGGED	F L AA G D
FLOGGER	F L AA G ER
FLOGGERS	F L AA G ER Z
FLOORAGE	F L OW R IH JH
FLOORAGES	F L OW R IH JH IH Z
FLORIGEN	F L AO R AH JH AH N
FLORIGENIC	F L AO R AH JH AH N AH K
FLORIGENS	F L AO R AH JH AH N Z
FLOTAGE	F L OW T AH JH
FLOTAGES	F L OW T AH JH AH Z
FLOWAGE	F L OW IH JH
FLOWAGES	F L OW IH JH IH Z
FLOWERAGE	F L AW ER IH JH
FLOWERAGES	F L AW ER IH JH IH Z
FLUEGELHORN	F L UW AH JH EH L HH AH R N
FLUEGELHORNS	F L UW AH JH EH L HH AH R N Z
FLUGELHORN	F L UW JH EH L HH AO R N
FLUGELHORNIST	F L UW JH EH L HH AO R N IH S T
FLUGELHORNISTS	F L UW JH EH L HH AO R N IH S T S
FLUGELHORNS	F L UW JH EH L HH AO R N Z
FLYBRIDGE	F L AY B R IH JH
FLYBRIDGES	F L AY B R IH JH IH Z
FODGEL	F AA JH AH L
FOGEY	F OW JH IY
FOGEYS	F OW JH EY Z
FOGGAGE	F AA G IH JH
FOGGAGES	F AA G IH JH IH Z
FOGGED	F AA G D
FOGGER	F AA G ER
FOGGERS	F AA G ER Z
FOLIAGE	F OW L IH JH
FOLIAGE(2)	F OW L IY IH JH
FOLIAGED	F OW L IY IH JH D
FOLIAGES	F OW L IY IH JH IH Z
FOLKSINGER	F OW K S IH NG ER
FOLKSINGERS	F OW K S IH NG ER Z
FOOTAGE	F UH T IH JH
FOOTAGES	F UH T IH JH IH Z
FOOTBRIDGE	F UH T B R IH JH
FOOTBRIDGES	F UH T B R IH JH IH Z
FOOTDRAGGER	F UH T D R AE G ER
FOOTDRAGGERS	F UH T D R AE G ER Z
FOOTGEAR	F UH T G IH ER
FOOTGEARS	F UH T G IH ER Z
FOOTSLOGGED	F UH T S L AA G D
FOOTSLOGGER	F UH T S L AA G ER
FOOTSLOGGERS	F UH T S L AA G ER Z
FORAGE	F AO R IH JH
FORAGED	F AO R IH JH D
FORAGER	F AO R IH JH ER
FORAGERS	F AO R IH JH ER Z
FORAGES	F AO R AH JH AH Z
FOREFINGER	F AO R F IH NG G ER
FOREFINGERS	F AO R F IH NG G ER Z
FOREJUDGE	F OW R JH AH JH
FOREJUDGED	F OW R JH AH JH D
FOREJUDGES	F OW R JH AH JH IH Z
FOREKNOWLEDGE	F OW R N AA L IH JH
FOREKNOWLEDGES	F OW R N AA L IH JH IH Z
FORESTAGE	F AO R AH S T IH JH
FORESTAGES	F AO R AH S T IH JH IH Z
FORGE	F AO R JH
FORGEABILITIES	F OW R JH AH B IH L AH T EH Z
