RE	R EY
CARESSING	K ER EH S IH NG
CARESSINGLY	K AH R EH S IH NG L IY
CARESSIVE	K AH R EH S IH V
CARESSIVELY	K AH R EH S IH V L IY
CARET	K AE R AH T
CARETAKE	K EH R T EY K
CARETAKEN	K EH R T EY K AH N
CARETAKER	K EH R T EY K ER
CARETAKERS	K EH R T EY K ER Z
CARETAKES	K EH R T EY K S
CARETAKING	K EH R T EY K IH NG
CARETAKINGS	K EH R T EY K IH NG Z
CARETOOK	K EH R T UH K
CARETS	K AE R AH T S
CAREWORN	K EH R W OW R N
CAREX	K AE R AH K S
CARFARE	K AA R F EH R
CARFARES	K AA R F EH R Z
CARICATURE	K EH R IH K AH CH ER
CARICATURED	K EH R IH K AH CH ER D
CARICATURES	K EH R IH K AH CH ER Z
CARNIVORE	K AA R N IH V AO R
CARNIVORES	K AA R N AH V AO R Z
CARPENTERED	K AA R P AH N T ER D
CARPOPHORE	K AA R P AH F AH R
CARPOPHORES	K AA R P AH F AH R Z
CARPOSPORE	K AA R P AA S P OW R
CARPOSPORES	K AA R P AA S P OW R Z
CARREFOUR	K AA R IY F OW R
CARREFOURS	K AA R IY F OW R Z
CARREL	K AE R EH L
CARRELL	K AA R EY L
CARRELLS	K AE R AH L Z
CARRELS	K AE R AH L Z
CASEBEARER	K EY S B AE ER ER
CASEBEARERS	K EY S B AE ER ER Z
CASHIERED	K AE SH IH R D
CASHMERE	K AE ZH M IH R
CASHMERES	K AE ZH M IH R Z
CASIMERE	K AE S AH M AH R
CASIMERES	K AE S AH M IY R Z
CASIMIRE	K AE S AH M AY R
CASIMIRES	K AE S AH M AY R Z
CASSIMERE	K AE S AH M AH R
CASSIMERES	K AE S AH M IY R Z
CASTOREUM	K AE S T AO R IY AH M
CASTOREUMS	K AE S T AO R IY AH M Z
CATACHRESES	K AE T AH K R IY Z AH Z
CATACHRESIS	K AH T AE K R AH S AH S
CATACHRESTIC	K AH T AE K R AH S T AH K
CATACHRESTICAL	K AH T AE K R EH S T IH S AH L
CATACHRESTICALLY	K AE T AH K R EH S T AH K AE L IY
CATAPHORESES	K AH T AE F AH R IY Z AH Z
CATAPHORESIS	K AE T AH F AO R AH S AH S
CATAPHORETIC	K AH T AE F AH R AH T AH K
CATAPHORETICALLY	K AE T AH F AH R EH T AH K AE L IY
CATERCORNERED	K EY T ER K AO R N ER D
CATERED	K EY T ER D
CATERER	K EY T ER ER
CATERERS	K EY T ER ER Z
CATERESS	K EY T ER AH S
CATERESSES	K EY T ER AH S IH Z
CAULIFLOWERET	K AO L AH F L OW AH R AH T
CAULIFLOWERETS	K AO L AH F L OW AH R AH T S
CAVALIERED	K EY V AH L IY ER D
CAVIARE	K EY V IY AH R
CAVIARES	K EY V IY AH R Z
CEASEFIRE	S IY S F AY ER
CEASEFIRES	S IY S F AY ER Z
CEINTURE	S IY N T Y AH R
CEINTURES	S IY N T Y AH R Z
CELLARED	S EH L ER D
CELLARER	S EH L ER ER
CELLARERS	S EH L ER ER Z
CELLARET	S EH L AH R AH T
CELLARETS	S EH L AH R AH T S
CELLARETTE	S EH L ER EH T
CELLARETTES	S EH L ER EH T S
CENSORED	S EH N S ER D
CENSURE	S EH N SH ER
CENSURED	S EH N SH ER D
CENSURER	S EH N CH ER ER
CENSURERS	S EH N CH ER ER Z
CENSURES	S EH N CH ER Z
CENTARE	S EH N T AH R
CENTARES	S EH N T AH R Z
CENTAUREA	S EH N T AH Y UH R IY AH
CENTAUREAS	S EH N T AH Y UH R IY AH Z
CENTERED	S EH N T ER D
CENTEREDNESS	S EH N T ER AH D N AH S
CENTEREDNESSES	S EH N T ER AH D N AH S IH Z
CENTIARE	S EH N T IY AH R
CENTIARES	S EH N T IY AH R Z
CENTRE	S EH N T ER
CENTRED	S EH N T ER D
CENTRES	S EH N T ER Z
CENTROMERE	S EH N T R OW M AH R
CENTROMERES	S EH N T R AH M IY R Z
CERE	S IH R
CEREAL	S IH R IY AH L
CEREALS	S IH R IY AH L Z
CEREBELLA	S EH R AH B EH L AH
CEREBELLAR	S EH R AH B EH L AH R
CEREBELLUM	S EH R AH B EH L AH M
CEREBELLUMS	S EH R AH B EH L AH M Z
CEREBRA	S AH R EH B R AH
CEREBRAL	S EH R AH B R AH L
CEREBRAL(2)	S ER IY B R AH L
CEREBRALLY	S ER IY B R AH L IY
CEREBRALS	S EH R AH B R AH L Z
CEREBRATE	S EH R AH B R AH T
CEREBRATED	S EH R AH B R EY T IH D
CEREBRATES	S EH R AH B R AH T S
CEREBRATING	S EH R AH B R EY T IH NG
CEREBRATION	S EH R AH B R EY SH AH N
CEREBRATIONS	S EH R AH B R EY SH AH N Z
CEREBRIC	S EH R AH B R IH K
CEREBROSIDE	S AH R EH B R AH S AY D
CEREBROSIDES	S AH R EH B R AH S AY D Z
CEREBROSPINAL	S EH R AH B R AA S AH N AH L
CEREBROVASCULAR	S AH R EH B R AH V AE S Y AH L AH R
CEREBRUM	S AH R EH B R AH M
CEREBRUMS	S AH R EH B R AH M Z
CERECLOTH	S AH R EH K L AH TH
CERECLOTHS	S AH R EH K L AH TH S
CERED	S IY R D
CEREMENT	S IH R M AH N T
CEREMENTS	S EH R AH M AH N T S
CEREMONIAL	S EH R AH M OW N IY AH L
CEREMONIALISM	S EH R AH M OW N IY AH L IH Z AH M
CEREMONIALISMS	S EH R AH M OW N IY AH L IH Z AH M Z
CEREMONIALIST	S EH R AH M OW N IY AH L IH S T
CEREMONIALISTS	S EH R AH M OW N IY AH L IH S T S
CEREMONIALLY	S EH R AH M OW N IY AH L IY
CEREMONIALS	S EH R AH M OW N IY AH L Z
CEREMONIES	S EH R AH M OW N IY Z
CEREMONIOUS	S EH R AH M OW N IY AH S
CEREMONIOUSLY	S EH R AH M OW N IY AH S L IY
CEREMONIOUSNESS	S EH R AH M OW N IY AH S N AH S
CEREMONIOUSNESSES	S EH R AH M OW N IY AH S N AH S IH Z
CEREMONY	S EH R AH M OW N IY
CERES	S IH R IY Z
CEREUS	S IH R IY AH S
CEREUSES	S IY R IY AH Z AH Z
CESAREAN	S AH S AE R IY AH N
CESAREANS	S EH S AH R IY N Z
CHAFFERED	CH AE F ER D
CHAFFERER	CH AE F ER ER
CHAFFERERS	CH AE F ER ER Z
CHAIRED	CH EH R D
CHAMBERED	CH EY M B ER D
CHAMFERED	CH AE M F EH R D
CHANCRE	CH AE NG K AH R
CHANCRES	CH AE NG K AH R Z
CHANDELIERED	SH AE N D AH L IH ER D
CHANTERELLE	CH AE N T AH R AH L
CHANTERELLES	CH AE N T AH R AH L Z
CHAPAREJOS	CH AH P AE R AH JH AH Z
CHAPTERED	CH AE P T ER D
CHARACTERED	K AE R IH K T ER D
CHARE	CH AE R
CHARED	CH AA R D
CHARES	CH AE R Z
CHARRED	CH AA R D
CHARTERED	CH AA R T ER D
CHARTERER	CH AA R T ER ER
CHARTERERS	CH AA R T ER ER Z
CHARTREUSE	SH AA R T R UW Z
CHARTREUSE(2)	SH AA R T R UW S
CHARTREUSES	CH AA R T R IY Y UW S IH Z
CHATTERED	CH AE T ER D
CHATTERER	CH AE T ER ER
CHATTERERS	CH AE T ER ER Z
CHAUFFEURED	SH OW F ER D
CHAUSSURE	CH AO SH Y AH R
CHAUSSURES	CH AO SH Y AH R Z
CHECKERED	CH EH K ER D
CHECKREIN	CH EH K R EY N
CHECKREINS	CH EH K R EY N Z
CHEERED	CH IH R D
CHEERER	CH IH ER ER
CHEERERS	CH IH ER ER Z
CHEMORECEPTION	K AH M AO R AH S EH P AH N
CHEMORECEPTIONS	K EH M AH R AH S EH P T IY AH N Z
CHEMORECEPTIVE	K AH M AO R AH S EH P T AH V
CHEMORECEPTOR	K AH M AO R AH S EH P T AH R
CHEMORECEPTORS	K EH M AH R AH S EH P T AH R Z
CHEQUERED	CH EH K W IY R D
CHEVELURE	CH AH V EH L Y AH R
CHEVELURES	CH AH V EH L Y AH R Z
CHEVRE	CH EH V AH R
CHEVRES	CH EH V AH R Z
CHICKAREE	CH IH K ER IY
CHICKAREES	CH IH K ER IY Z
CHILDREN	CH IH L D R AH N
CHIMERE	CH IH M AH R
CHIMERES	CH AH M IY R Z
CHINAWARE	CH IH N AH W EH R
CHINAWARES	CH IH N AH W EH R Z
CHIPPERED	CH IH P ER D
CHIRRE	CH AH R
CHIRRED	CH AH R D
CHIRRES	CH AH R Z
CHITTERED	CH IH T IY R D
CHIVAREE	CH AY V ER IY
CHIVAREED	CH IH V AH R IY D
CHIVAREEING	CH AY V ER IY IH NG
CHIVAREES	CH AY V ER IY Z
CHLAMYDOSPORE	K L AE M AH D AA S AH R
CHLAMYDOSPORES	K L AE M AH D AA S AH R Z
CHLORELLA	K L AH R EH L AH
CHLORELLAS	K L AH R EH L AH Z
CHLORENCHYMA	K L AH R EH NG K AH M AH
CHLORENCHYMAS	K L AH R EH NG K AH M AH Z
CHLORENCHYMATA	K L AO R AH NG K IH M AH T AH
CHLOROPRENE	K L AO R AH P R IY N
CHLOROPRENES	K L AO R AH P R IY N Z
CHOIRED	K W AY ER D
CHOPPERED	CH AA P ER D
CHORE	CH AO R
CHOREA	CH AO R IY AH
CHOREAL	CH OW R AH L
CHOREAS	CH AH R IY Z
CHORED	CH OW R D
CHOREGI	CH AO R AH JH IY
CHOREGUS	CH AO R AH G AH S
CHOREGUSES	CH AO R AH G Y UW Z AH Z
CHOREIC	CH OW R IH K
CHOREIFORM	CH AH R IY F AH R M
CHOREMAN	CH OW R M AE N
CHOREMEN	CH OW R M EH N
CHOREOGRAPH	K AO R IY AH G R AE F
CHOREOGRAPHED	K AO R IY AH G R AE F T
CHOREOGRAPHER	K AO R IY AA G R AH F ER
CHOREOGRAPHERS	K AO R IY AA G R AH F ER Z
CHOREOGRAPHIC	K AO R IY AH G R AE F IH K
CHOREOGRAPHICALLY	K OW R IY AH G R AE F IH K AH L IY
CHOREOGRAPHIES	K OW R IY AA G R AH F IY Z
CHOREOGRAPHING	K AO R IY AA G R AH F IH NG
CHOREOGRAPHING(2)	K AO R IY AH G R AE F IH NG
CHOREOGRAPHS	K OW R IY AH G R AE F S
CHOREOGRAPHY	K AO R IY AA G R AH F IY
CHOREOID	CH AO R IY OY D
CHORES	CH AO R Z
CHOWDERED	CH AW D ER D
CHRESARD	K R EH S AH R D
CHRESARDS	K R EH S AH R D Z
CHRESTOMATHIES	K R EH S T AA M AH TH AY Z
CHRESTOMATHY	K R EH S T AA M AH TH IY
CHROMATOPHORE	K R AH M AE T AH F AH R
CHROMATOPHORES	K R AH M AE T AH F AH R Z
CHROMOMERE	K R AH M OW M AH R
CHROMOMERES	K R AA M AH M IY R Z
CHROMOPHORE	K R AA M AH F AH R
CHROMOPHORES	K R AA M AH F AH R Z
CHROMOSPHERE	K R AH M AA S AH R
CHROMOSPHERES	K R AA M AH S IY R Z
CHUNTERED	CH AH N T IY R D
CHURRED	CH AH R D
CHURRIGUERESQUE	CH AH R AH G W AH R EH S
CICOREE	S IH K AH R IY IY
CICOREES	S IH K AH R IY Z
CIGARET	S IH G AH R EH T
CIGARETS	S IH G AH R EH T S
CIGARETTE	S IH G AH R EH T
CIGARETTES	S IH G AH R EH T S
CINCTURE	S IH NG K T Y AH R
CINCTURED	S IH NG K T Y AH R D
CINCTURES	S IH NG K T Y AH R Z
CINDERED	S IH N D ER D
CINEREOUS	S AH N IY R IY AH S
CIPHERED	S AY F ER D
CIRCUMFERENCE	S ER K AH M F R AH N S
CIRCUMFERENCES	S ER K AH M F R AH N S IH Z
CIRCUMFERENTIAL	S ER K AH M F ER AH N T IY AH L
CIRE	S AY R
CIRES	S AY R Z
CITHREN	S IH TH R AH N
CITHRENS	S IH TH R AH N Z
CITREOUS	S IH T R IY AH S
CITRICULTURE	S IH T R AH K AH L T Y AH R
CITRICULTURES	S IH T R AH K AH L T Y AH R Z
CLABBERED	K L AE B IY R D
CLAMBERED	K L AE M B ER D
CLAMBERER	K L AE M B ER ER
CLAMBERERS	K L AE M B ER ER Z
CLAMORED	K L AE M ER D
CLAMORER	K L AE M ER ER
CLAMORERS	K L AE M ER ER Z
CLAMOURED	K L AH M OW Y AH R D
CLANGORED	K L AE NG ER D
CLANGOURED	K L AE N G OW Y ER D
CLARENCE	K L EH R AH N S
CLARENCES	K L AE R AH N S IH Z
CLARET	K L AE R AH T
CLARETS	K L AE R AH T S
CLATTERED	K L AE T ER D
CLATTERER	K L AE T ER ER
CLATTERERS	K L AE T ER ER Z
CLAVERED	K L AH V IY R D
CLAYMORE	K L EY M AO R
CLAYMORES	K L EY M AO R EY Z
CLAYWARE	K L EY W EH R
CLAYWARES	K L EY W EH R Z
CLEARED	K L IH R D
CLEARER	K L IH R ER
CLEARERS	K L IH ER ER Z
CLEAREST	K L IH R IH S T
CLERESTORIES	K L AH R EH S T AH R AY Z
CLERESTORY	K L IY R AH S T AO R IY
CLEVERER	K L EH V ER ER
CLEVEREST	K L EH V ER AH S T
CLINKERED	K L IH NG K ER D
CLITORECTOMIES	K L IH T AH R EH K T AH M AY Z
CLITORECTOMY	K L IH T AH R EH K T AH M IY
CLOBBERED	K L AA B ER D
CLOISTERED	K L OY S T ER D
CLOISTRESS	K L OY S T R AH S
CLOISTRESSES	K L OY S T R EH S AH Z
CLOSURE	K L OW ZH ER
CLOSURED	K L OW ZH ER D
CLOSURES	K L OW ZH ER Z
CLOTHESPRESS	K L OW DH Z P R EH S
CLOTHESPRESSES	K L OW DH Z P R EH S IH Z
CLOTURE	K L OW CH ER
CLOTURED	K L OW CH ER D
CLOTURES	K L OW CH ER Z
CLOURED	K L OW Y AH R D
CLUSTERED	K L AH S T ER D
CLUTTERED	K L AH T ER D
COADMIRE	K OW AH D M AY ER
COADMIRED	K OW AH D M AY ER D
COADMIRES	K OW AH D M AY ER Z
COANCHORED	K OW AE NG K ER D
COAPPEARED	K OW AH P IH ER D
COATDRESS	K OW T D R EH S
COATDRESSES	K OW T D R EH S IH Z
COAUTHORED	K OW AA TH ER D
COBELLIGERENT	K OW B AH L IH JH ER AH N T
COBELLIGERENTS	K OW B AH L IH JH ER AH N T S
COCHAIRED	K OW CH EH ER D
COCKERED	K AA K ER D
COCKEREL	K AA K EH R AH L
COCKERELS	K AA K EH R AH L Z
COCKSURE	K AA K SH UH R
COCKSURELY	K AA K SH UH R L IY
COCKSURENESS	K AA K SH UH R N AH S
COCKSURENESSES	K AA K SH UH R N AH S IH Z
COCREATE	K OW K R IY EY T
COCREATED	K OW K R IY EY T IH D
COCREATES	K OW K R IY EY T S
COCREATING	K OW K R IY EY T IH NG
COCREATOR	K OW K R IY EY T ER
COCREATORS	K OW K R IY EY T ER Z
COCULTURE	K OW K AH L CH ER
COCULTURED	K OW K AH L CH ER D
COCULTURES	K OW K AH L CH ER Z
CODIRECT	K OW D AH R EH K T
CODIRECTED	K OW D AH R EH K T IH D
CODIRECTING	K OW D AH R EH K T IH NG
CODIRECTION	K OW D AH R EH K SH AH N
CODIRECTIONS	K OW D AH R EH K SH AH N Z
CODIRECTOR	K OW D AH R EH K T ER
CODIRECTORS	K OW D AH R EH K T ER Z
CODIRECTS	K OW D AH R EH K T S
CODISCOVERED	K OW D IH S K AH V ER D
CODISCOVERER	K OW D IH S K OW V EH R ER
CODISCOVERERS	K OW D IH S K OW V EH R ER Z
COENAMORED	K OW AH N AE M AH R D
COENDURE	K OW EH N D Y UH R
COENDURED	K OW EH N D Y UH R D
COENDURES	K OW EH N D Y UH R Z
COENURE	K OW EH N Y AH R
COENURES	K OW EH N Y AH R Z
COERECT	K OW IH R EH K T
COERECTED	K OW IH R EH K T IH D
COERECTING	K OW IH R EH K T IH NG
COERECTS	K OW IH R EH K T S
COFEATURE	K OW F IY CH ER
COFEATURED	K OW F IY CH ER D
COFEATURES	K OW F IY CH ER Z
COFFERED	K AO F ER D
COFFRET	K AA F R EH T
COFFRETS	K AA F R EH T S
COHEIRESS	K OW EH R AH S
COHEIRESSES	K OW EH R AH S IH Z
COHERE	K OW HH IH R
COHERED	K OW HH IH R D
COHERENCE	K OW HH IH R AH N S
COHERENCES	K OW HH IH ER AH N S IH Z
COHERENCIES	K OW HH IH ER AH N S IY Z
COHERENCY	K OW HH IH ER AH N S IY
COHERENT	K OW HH IH R AH N T
COHERENTLY	K OW HH IY R AH N T L IY
COHERER	K OW HH IH ER ER
COHERERS	K OW HH IH ER ER Z
COHERES	K OW HH IH R Z
COIFFURE	K W AA F Y UH R
COIFFURED	K W AA F Y UH R D
COIFFURES	K W AA F Y UH R Z
COINFERRED	K OW IH N F ER D
COINHERE	K OW IH N HH IH ER
COINHERED	K OW IH N HH IH ER D
COINHERES	K OW IH N HH IH ER Z
COINSURE	K OW IH N SH UH R
COINSURED	K OW IH N SH UH R D
COINSURER	K OW IH N SH UH R ER
COINSURERS	K OW IH N SH UH R ER Z
COINSURES	K OW IH N SH UH R Z
COINTERRED	K OW IH N T ER R EH D
COISTREL	K OW IH S T R AH L
COISTRELS	K OW IH S T R AH L Z
COLLARED	K AA L ER D
COLLARET	K AA L AE R AH T
COLLARETS	K AA L AE R AH T S
COLORBRED	K AH L ER B R EH D
COLORECTAL	K OW L OW R EH K T AH L
COLORED	K AH L ER D
COLOREDS	K AA L ER AH D Z
COLORER	K AH L ER ER
COLORERS	K AH L ER ER Z
COLOURED	K AH L ER D
COLOURER	K AH L ER ER
COLOURERS	K AH L ER ER Z
COLURE	K OW L UH R
COLURES	K OW L UH R Z
COMFREY	K AH M F R IY
COMFREYS	K AA M F R EY Z
COMMANDEERED	K AA M AH N D IH R D
COMMISSIONAIRE	K AH M IH SH AH N AH AY ER
COMMISSIONAIRES	K AH M IH SH AH N AH AY ER Z
COMMISSURE	K AH M IH SH ER
COMMISSURES	K AH M IH SH ER Z
COMMIXTURE	K AH M IH K S CH ER
COMMIXTURES	K AH M IH K S CH ER Z
COMMODORE	K AA M AH D AO R
COMMODORES	K AA M AH D OW R Z
COMPADRE	K AA M P EY D AH R
COMPADRES	K AA M P EY D AH R Z
COMPARE	K AH M P EH R
COMPARED	K AH M P EH R D
COMPARER	K AH M P EH R ER
COMPARERS	K AH M P EH R ER Z
COMPARES	K AH M P EH R Z
COMPEERED	K AH M P IH ER D
COMPERE	K AA M P AH R
COMPERED	K AA M P IY R D
COMPERES	K AA M P IY R Z
COMPOSURE	K AH M P OW ZH ER
COMPOSURES	K AH M P OW ZH ER Z
COMPRADORE	K AA M P R AE D AH R
COMPRADORES	K AA M P R AE D AH R Z
COMPREHEND	K AA M P R IY HH EH N D
COMPREHENDED	K AA M P R IH HH EH N D IH D
COMPREHENDIBLE	K AA M P R IH HH EH N D AH B AH L
COMPREHENDING	K AA M P R IH HH EH N D IH NG
COMPREHENDS	K AA M P R IY HH EH N D Z
COMPREHENSIBILITIES	K AA M P R IH HH EH N S AH B IH L AH T IY Z
COMPREHENSIBILITY	K AA M P R IY HH EH N S AH B IH L AH T IY
COMPREHENSIBLE	K AA M P R IY HH EH N S AH B AH L
COMPREHENSIBLENESS	K AA M P R IH HH EH N S AH B AH L N AH S
COMPREHENSIBLENESSES	K AA M P R IH HH EH N S AH B AH L N AH S IH Z
COMPREHENSIBLY	K AA M P R IH HH EH N S AH B L IY
COMPREHENSION	K AA M P R IY HH EH N SH AH N
COMPREHENSIONS	K AA M P R IH HH EH N CH AH N Z
COMPREHENSIVE	K AA M P R IY HH EH N S IH V
COMPREHENSIVELY	K AA M P R IH HH EH N S IH V L IY
COMPREHENSIVENESS	K AA M P R IH HH EH N S IH V N AH S
COMPREHENSIVENESSES	K AA M P R IH HH EH N S IH V N AH S IH Z
COMPRESS	K AA M P R EH S
COMPRESS(2)	K AH M P R EH S
COMPRESSED	K AH M P R EH S T
COMPRESSEDLY	K AH M P R EH S AH D L IY
COMPRESSES	K AA M P R EH S AH Z
COMPRESSES(2)	K AH M P R EH S AH Z
COMPRESSES(3)	K AH M P R EH S IH Z
COMPRESSIBILITIES	K AH M P R EH S AH B IH L AH T IY Z
COMPRESSIBILITY	K AH M P R EH S AH B IH L AH T IY
COMPRESSIBLE	K AH M P R EH S AH B AH L
COMPRESSING	K AH M P R EH S IH NG
COMPRESSION	K AH M P R EH SH AH N
COMPRESSIONAL	K AH M P R EH SH AH N AH L
COMPRESSIONS	K AH M P R EH SH AH N Z
COMPRESSIVE	K AH M P R EH S IH V
COMPRESSIVELY	K AH M P R EH S IH V L IY
COMPRESSOR	K AH M P R EH S ER
COMPRESSORS	K AH M P R EH S ER Z
COMPUTERESE	K AA M P Y UW T AH R IY Z
COMPUTERESES	K AA M P Y UW T AH R IY Z AH Z
CONCENTERED	K AH N S EH N T ER D
CONCESSIONAIRE	K AH N S EH SH AH N EH R
CONCESSIONAIRES	K AH N S EH SH AH N EH R Z
CONCRESCENCE	K AH N K R EH S AH N S
CONCRESCENCES	K AH N K R EH S AH N S IH Z
CONCRESCENT	K AH N K R EH S AH N T
CONCRETE	K AH N K R IY T
CONCRETE(2)	K AA N K R IY T
CONCRETED	K AA N K R IY T IH D
CONCRETELY	K AA N K R IY T L IY
CONCRETENESS	K AA N K R IY T N AH S
CONCRETENESSES	K AA N K R IY T N AH S IH Z
CONCRETES	K AA N K R IY T S
CONCRETING	K AA N K R IY T IH NG
CONCRETION	K AA N K R IY SH AH N
CONCRETIONARY	K AA N K R IY SH AH N EH R IY
CONCRETIONS	K AA N K R IY SH AH N Z
CONCRETISM	K AA N K R IY T IH Z AH M
CONCRETISMS	K AA N K R IY T IH Z AH M Z
CONCRETIST	K AA N K R IY T IH S T
CONCRETISTS	K AA N K R IY T IH S T S
CONCRETIZATION	K AA N K R IY T AH Z EY SH AH N
CONCRETIZATIONS	K AA N K R IY T AH Z EY SH AH N Z
CONCRETIZE	K AA N K R IY T AY Z
CONCRETIZED	K AA N K R IY T AY Z D
CONCRETIZES	K AA N K R IY T AY Z IH Z
CONCRETIZING	K AA N K R IY T AY Z IH NG
CONCURRED	K AH N K ER D
CONCURRENCE	K AH N K ER AH N S
CONCURRENCES	K AH N K ER AH N S IH Z
CONCURRENCIES	K AH N K ER AH N S IY Z
CONCURRENCY	K AH N K ER AH N S IY
CONCURRENT	K AH N K ER AH N T
CONCURRENTLY	K AH N K ER AH N T L IY
CONCURRENTS	K AH N K ER AH N T S
CONDORES	K AA N D AO R Z
CONDOTTIERE	K AA N D AA T IY R
CONDUCTRESS	K AA N D AH K T R AH S
CONDUCTRESSES	K AA N D AH K T R EH S AH Z
CONFEREE	K AA N F ER IY
CONFEREES	K AA N F ER IY Z
CONFERENCE	K AA N F ER AH N S
CONFERENCE(2)	K AA N F R AH N S
CONFERENCES	K AA N F ER AH N S AH Z
CONFERENCES(2)	K AA N F R AH N S AH Z
CONFERENCING	K AA N F R AH N S IH NG
CONFERENCINGS	K AA N F AH R AH N S IH NG Z
CONFERENTIAL	K AH N F ER AH N T IY AH L
CONFERRED	K AH N F ER D
CONFERRENCE	K AH N F ER AH N S
CONFERRENCES	K AH N F ER AH N S IH Z
CONFERRER	K AH N F ER ER
CONFERRERS	K AH N F ER ER Z
CONFIGURE	K AH N F IH G Y ER
CONFIGURED	K AH N F IH G Y ER D
CONFIGURES	K AH N F IH G Y ER Z
CONFITURE	K AH N F IH CH ER
CONFITURES	K AH N F IH CH ER Z
CONFRERE	K AA N F R EH R
CONFRERES	K AA N F R EH R Z
CONGREGANT	K AA NG G R AH G AH N T
CONGREGANTS	K AA NG G R AH G AH N T S
CONGREGATE	K AA NG G R AH G EY T
CONGREGATED	K AA NG G R IH G EY T IH D
CONGREGATES	K AA NG G R IH G EY T S
CONGREGATING	K AA NG G R IH G EY T IH NG
CONGREGATION	K AA NG G R AH G EY SH AH N
CONGREGATIONAL	K AA NG G R AH G EY SH AH N AH L
CONGREGATIONALISM	K AA NG G R IH G EY SH AH N AH L IH Z AH M
CONGREGATIONALISMS	K AA NG G R IH G EY SH AH N AH L IH Z AH M Z
CONGREGATIONALIST	K AA NG G R IH G EY SH AH N AH L IH S T
CONGREGATIONALISTS	K AA NG G R IH G EY SH AH N AH L IH S T S
CONGREGATIONS	K AA NG G R AH G EY SH AH N Z
CONGREGATOR	K AA NG G R IH G EY T ER
CONGREGATORS	K AA NG G R IH G EY T ER Z
CONGRESS	K AA NG G R AH S
CONGRESSED	K AA NG G R AH S T
CONGRESSES	K AA NG G R AH S IH Z
CONGRESSING	K AA NG G R AH S IH NG
CONGRESSIONAL	K AH N G R EH SH AH N AH L
CONGRESSIONALLY	K AH N G R EH SH AH N AH L IY
CONGRESSIONALLY(2)	K AH N G R EH SH N AH L IY
CONGRESSMAN	K AA NG G R AH S M AH N
CONGRESSMEN	K AA NG G R AH S M IH N
CONGRESSPEOPLE	K AA NG G R AH S P IY P AH L
CONGRESSPERSON	K AA NG G R AH S P ER S AH N
CONGRESSPERSONS	K AA NG G R AH S P ER S AH N Z
CONGRESSWOMAN	K AA NG G R AH S W UH M AH N
CONGRESSWOMEN	K AA NG G R AH S W IH M IH N
CONIDIOPHORE	K AH N AH D IY AH F AH R
CONIDIOPHORES	K AH N AH D IY AH F AH R Z
CONJECTURE	K AH N JH EH K CH ER
CONJECTURE(2)	K AH N JH EH K SH ER
CONJECTURED	K AH N JH EH K CH ER D
CONJECTURER	K AH N JH EH K CH ER ER
CONJECTURERS	K AH N JH EH K CH ER ER Z
CONJECTURES	K AH N JH EH K CH ER Z
CONJECTURES(2)	K AH N JH EH K SH ER Z
CONJUNCTURE	K AH N JH AH NG K CH ER
CONJUNCTURES	K AH N JH AH NG K CH ER Z
CONJURE	K AA N JH ER
CONJURED	K AA N JH ER D
CONJURER	K AH N JH UH R ER
CONJURERS	K AH N JH UH R ER Z
CONJURES	K AA N JH ER Z
CONQUERED	K AA NG K ER D
CONQUISTADORES	K AA N K W IH S T AH D AH R Z
CONSERVATOIRE	K AA N S AH R V AH T OY R
CONSERVATOIRES	K AA N S AH R V AH T OY R Z
CONSIDERED	K AH N S IH D ER D
CONSIGLIERE	K AA N S IH G L IY R
CONSPIRE	K AH N S P AY ER
CONSPIRED	K AH N S P AY ER D
CONSPIRES	K AH N S P AY ER Z
CONTEXTURE	K AA N T EH K S CH ER
CONTEXTURES	K AA N T EH K S CH ER Z
CONTOURED	K AA N T UH R D
CONTRACTURE	K AA N T R AE K CH ER
CONTRACTURES	K AA N T R AE K CH ER Z
CONTREDANSE	K AA N T R EH D AH N S
CONTREDANSES	K AA N T R AH D AE N S AH Z
CONTRETEMPS	K AA N T R AH T EH M P S
COOKWARE	K UH K W EH R
COOKWARES	K UH K W EH R Z
COOPERED	K UW P ER D
COPARENT	K OW P AE R AH N T
COPARENTS	K OW P AE R AH N T S
COPARTNERED	K OW P AA R T N ER D
COPPERED	K AA P ER D
COPREMIA	K AA P R AH M AY AH
COPREMIAS	K AA P R AH M AY AH Z
COPREMIC	K AA P R IY M AH K
COPRESENT	K OW P R EH Z AH N T
COPRESENTED	K OW P R EH Z AH N T IH D
COPRESENTING	K OW P R EH Z AH N T IH NG
COPRESENTS	K OW P R EH Z AH N T S
COPRESIDENT	K OW P R EH Z AH D AH N T
COPRESIDENTS	K OW P R EH Z AH D AH N T S
COPYREAD	K AA P IY R IY D
COPYREADER	K AA P IY R IY D ER
COPYREADERS	K AA P IY R IY D ER Z
COPYREADING	K OW P AY ER EY D IH NG
COPYREADS	K AA P IY R IY D Z
CORE	K AO R
CORECIPIENT	K OW R IH S IH P IY AH N T
CORECIPIENTS	K OW R IH S IH P IY AH N T S
CORED	K OW R EH D
COREDEEM	K OW R IY D IY M
COREDEEMED	K OW R IY D IY M D
COREDEEMING	K OW R IY D IY M IH NG
COREDEEMS	K OW R IY D IY M Z
COREIGN	K OW R EY N
COREIGNS	K OW R EY N Z
CORELATE	K OW R IH L EY T
CORELATED	K OW R IH L EY T IH D
