SH	EH S
FASHIONS	F AE SH AH N Z
FASHIOUS	F AE SH AH S
FATSHEDERA	F AE T SH EH D IH R AH
FATSHEDERAS	F AE T SH EH D IH R AH Z
FATTISH	F AE T IH SH
FEEBLISH	F IY B AH L IH SH
FELDSHER	F EH L D SH AH R
FELDSHERS	F EH L D SH AH R Z
FELLOWSHIP	F EH L OW SH IH P
FELLOWSHIPED	F EH L OW SH IH P T
FELLOWSHIPING	F EH L OW SH IH P IH NG
FELLOWSHIPPED	F EH L OW SH IH P T
FELLOWSHIPPING	F EH L OW SH IH P IH NG
FELLOWSHIPS	F EH L OW SH IH P S
FETISH	F EH T IH SH
FETISHES	F EH T IH SH IH Z
FETISHISM	F EH T IH SH IH Z AH M
FETISHISMS	F EH T IH SH IH Z AH M Z
FETISHIST	F EH T IH SH IH S T
FETISHIST(2)	F EH T IH SH AH S T
FETISHISTIC	F EH T IH SH IH S T IH K
FETISHISTICALLY	F EH T IH SH IH S T IH K AH L IY
FETISHISTS	F EH T IH SH AH S T S
FETISHISTS(2)	F EH T IH SH IH S T S
FEVERISH	F IY V ER IH SH
FEVERISHLY	F EH V ER IH SH L IY
FEVERISHNESS	F IY V ER IH SH N AH S
FEVERISHNESSES	F IY V ER IH SH N AH S IH Z
FIENDISH	F IY N D IH SH
FIENDISHLY	F IY N D IH SH L IY
FIENDISHNESS	F IY N D IH SH N AH S
FIENDISHNESSES	F IY N D IH SH N AH S IH Z
FIFTYISH	F IH F T IY IH SH
FILEFISH	F AY L F IH SH
FILEFISHES	F AY L F IH SH IH Z
FINFISH	F IH N F IH SH
FINFISHES	F IH N F IH SH IH Z
FINISH	F IH N IH SH
FINISHED	F IH N IH SH T
FINISHER	F IH N IH SH ER
FINISHERS	F IH N IH SH ER Z
FINISHES	F IH N IH SH IH Z
FINISHING	F IH N IH SH IH NG
FISH	F IH SH
FISHABILITIES	F IH SH AH B IH L AH T EH Z
FISHABILITY	F IH SH AH B IH L AH T EH
FISHABLE	F IH SH AH B AH L
FISHBOLT	F IH SH B OW L T
FISHBOLTS	F IH SH B OW L T S
FISHBONE	F IH SH B OW N
FISHBONES	F IH SH B OW N Z
FISHBOWL	F IH SH B OW L
FISHBOWLS	F IH SH B OW L Z
FISHED	F IH SH T
FISHER	F IH SH ER
FISHERFOLK	F IH SH ER F OW K
FISHERIES	F IH SH ER IY Z
FISHERMAN	F IH SH ER M AE N
FISHERMAN(2)	F IH SH ER M AH N
FISHERMEN	F IH SH ER M IH N
FISHERS	F IH SH ER Z
FISHERWOMAN	F IH SH ER W UH M AH N
FISHERWOMEN	F IH SH ER W IH M AH N
FISHERY	F IH SH ER IY
FISHES	F IH SH AH Z
FISHES(2)	F IH SH IH Z
FISHEYE	F IH SH AY
FISHEYES	F IH SH AY Z
FISHGIG	F IH SH G IH G
FISHGIGS	F IH SH G IH G Z
FISHHOOK	F IH SH HH UH K
FISHHOOKS	F IH SH HH UH K S
FISHIER	F IH SH IY ER
FISHIEST	F IH SH IY AH S T
FISHILY	F IH SH IY L IY
FISHING	F IH SH IH NG
FISHINGS	F IH SH IH NG Z
FISHLESS	F IH SH L AH S
FISHLIKE	F IH SH L AY K
FISHLINE	F IH SH L AY N
FISHLINES	F IH SH L AY N Z
FISHMEAL	F IH SH M IY L
FISHMEALS	F IH SH M IY L Z
FISHMONGER	F IH SH M AA NG G ER
FISHMONGERS	F IH SH M AH NG G ER Z
FISHNET	F IH SH N EH T
FISHNETS	F IH SH N EH T S
FISHPLATE	F IH SH P L EY T
FISHPLATES	F IH SH P L EY T S
FISHPOLE	F IH SH P OW L
FISHPOLES	F IH SH P OW L Z
FISHPOND	F IH SH P AA N D
FISHPONDS	F IH SH P AA N D Z
FISHTAIL	F IH SH T EY L
FISHTAILED	F IH SH T EY L D
FISHTAILING	F IH SH T EY L IH NG
FISHTAILS	F IH SH T EY L Z
FISHWAY	F IH SH W EY
FISHWAYS	F IH SH W EY Z
FISHWIFE	F IH SH W AY F
FISHWIVES	F IH SH W AY V Z
FISHWORM	F IH SH W ER M
FISHWORMS	F IH SH W ER M Z
FISHY	F IH SH IY
FLAGSHIP	F L AE G SH IH P
FLAGSHIPS	F L AE G SH IH P S
FLASH	F L AE SH
FLASHBACK	F L AE SH B AE K
FLASHBACKS	F L AE SH B AE K S
FLASHBOARD	F L AE SH B OW R D
FLASHBOARDS	F L AE SH B OW R D Z
FLASHBULB	F L AE SH B AH L B
FLASHBULBS	F L AE SH B AH L B Z
FLASHCARD	F L AE SH K AA R D
FLASHCARDS	F L AE SH K AA R D Z
FLASHCUBE	F L AE SH K Y UW B
FLASHCUBES	F L AE SH K Y UW B Z
FLASHED	F L AE SH T
FLASHER	F L AE SH ER
FLASHERS	F L AE SH ER Z
FLASHES	F L AE SH IH Z
FLASHGUN	F L AE SH G AH N
FLASHGUNS	F L AE SH G AH N Z
FLASHIER	F L AE SH IY ER
FLASHIEST	F L AE SH IY AH S T
FLASHILY	F L AE SH IY L IY
FLASHINESS	F L AE SH IY N AH S
FLASHINESSES	F L AE SH IY N AH S IH Z
FLASHING	F L AE SH IH NG
FLASHINGS	F L AE SH IH NG Z
FLASHLAMP	F L AE SH L AE M P
FLASHLAMPS	F L AE SH L AE M P S
FLASHLIGHT	F L AE SH L AY T
FLASHLIGHTS	F L AE SH L AY T S
FLASHOVER	F L AE SH OW V ER
FLASHOVERS	F L AE SH OW V ER Z
FLASHTUBE	F L AE SH T UW B
FLASHTUBES	F L AE SH T UW B Z
FLASHY	F L AE SH IY
FLATFISH	F L AE T F IH SH
FLATFISHES	F L AE T F IH SH IH Z
FLATTISH	F L AE T IH SH
FLATWASH	F L AE T W AA SH
FLATWASHES	F L AE T W AA SH IH Z
FLEISHIG	F L IY SH AH G
FLEMISH	F L EH M IH SH
FLEMISHED	F L EH M AH SH T
FLEMISHES	F L EH M AH SH AH Z
FLEMISHING	F L EH M AH SH AH NG
FLESH	F L EH SH
FLESHED	F L EH SH T
FLESHER	F L EH SH ER
FLESHERS	F L EH SH ER Z
FLESHES	F L EH SH IH Z
FLESHIER	F L EH SH IY ER
FLESHIEST	F L EH SH IY AH S T
FLESHINESS	F L EH SH IY N AH S
FLESHINESSES	F L EH SH IY N AH S IH Z
FLESHING	F L EH SH IH NG
FLESHINGS	F L EH SH IH NG Z
FLESHLIER	F L EH SH L IY ER
FLESHLIEST	F L EH SH L IY AH S T
FLESHLY	F L EH SH L IY
FLESHMENT	F L EH SH M AH N T
FLESHMENTS	F L EH SH M AH N T S
FLESHPOT	F L EH SH P AA T
FLESHPOTS	F L EH SH P AA T S
FLESHY	F L EH SH IY
FLOURISH	F L ER IH SH
FLOURISHED	F L ER IH SH T
FLOURISHER	F L ER IH SH ER
FLOURISHERS	F L ER IH SH ER Z
FLOURISHES	F L ER IH SH AH Z
FLOURISHES(2)	F L ER IH SH IH Z
FLOURISHING	F L ER IH SH IH NG
FLOURISHINGLY	F L ER IH SH IH NG L IY
FLUSH	F L AH SH
FLUSHABLE	F L AH SH AH B AH L
FLUSHED	F L AH SH T
FLUSHER	F L AH SH ER
FLUSHERS	F L AH SH ER Z
FLUSHES	F L AH SH IH Z
FLUSHEST	F L AH SH AH S T
FLUSHING	F L AH SH IH NG
FLUSHNESS	F L AH SH N AH S
FLUSHNESSES	F L AH SH N AH S IH Z
FOGYISH	F OW G IY IH SH
FOLKISH	F OW K IH SH
FOLKISHNESS	F OW K IH SH N AH S
FOLKISHNESSES	F OW K IH SH N AH S IH Z
FOLKLORISH	F OW K L OW R IH SH
FOLLOWERSHIP	F AA L OW ER SH IH P
FOLLOWERSHIPS	F AA L OW ER SH IH P S
FOOLFISH	F UW L F IH SH
FOOLFISHES	F UW L F IH SH IH Z
FOOLISH	F UW L IH SH
FOOLISHER	F UW L IH SH ER
FOOLISHEST	F UW L IH SH AH S T
FOOLISHLY	F UW L IH SH L IY
FOOLISHNESS	F UW L IH SH N AH S
FOOLISHNESSES	F UW L IH SH N AH S IH Z
FOPPISH	F AA P IH SH
FOPPISHLY	F AA P IH SH L IY
FOPPISHNESS	F AA P IH SH N AH S
FOPPISHNESSES	F AA P IH SH N AH S IH Z
FOREMANSHIP	F OW R M AE N SH IH P
FOREMANSHIPS	F OW R M AE N SH IH P S
FORESHADOW	F AO R SH AE D OW
FORESHADOWED	F AO R SH AE D OW D
FORESHADOWER	F OW R SH AE D OW ER
FORESHADOWERS	F OW R SH AE D OW ER Z
FORESHADOWING	F AO R SH AE D OW IH NG
FORESHADOWS	F AO R SH AE D OW Z
FORESHANK	F OW R SH AE NG K
FORESHANKS	F OW R SH AE NG K S
FORESHEET	F OW R SH IY T
FORESHEETS	F OW R SH IY T S
FORESHOCK	F OW R SH AA K
FORESHOCKS	F OW R SH AA K S
FORESHORE	F OW R SH OW R
FORESHORES	F OW R SH OW R Z
FORESHORTEN	F OW R SH AO R T AH N
FORESHORTENED	F OW R SH AO R T AH N D
FORESHORTENING	F OW R SH AO R T AH N IH NG
FORESHORTENS	F OW R SH AO R T AH N Z
FORESHOW	F OW R SH OW
FORESHOWED	F OW R SH OW D
FORESHOWING	F OW R SH OW IH NG
FORESHOWN	F OW R SH OW N
FORESHOWS	F OW R SH OW Z
FORTYISH	F AO R T IY IH SH
FOXFISH	F AA K S F IH SH
FOXFISHES	F AA K S F IH SH IH Z
FRAMESHIFT	F R EY M SH IH F T
FRAMESHIFTS	F R EY M SH IH F T S
FREAKISH	F R IY K IH SH
FREAKISHLY	F R IY K IH SH L IY
FREAKISHNESS	F R IY K IH SH N AH S
FREAKISHNESSES	F R IY K IH SH N AH S IH Z
FRESH	F R EH SH
FRESHED	F R EH SH T
FRESHEN	F R EH SH AH N
FRESHENED	F R EH SH AH N D
FRESHENER	F R EH SH AH N ER
FRESHENER(2)	F R EH SH N ER
FRESHENERS	F R EH SH AH N ER Z
FRESHENERS(2)	F R EH SH N ER Z
FRESHENING	F R EH SH AH N IH NG
FRESHENING(2)	F R EH SH N IH NG
FRESHENS	F R EH SH AH N Z
FRESHER	F R EH SH ER
FRESHES	F R EH SH IH Z
FRESHEST	F R EH SH AH S T
FRESHET	F R EH SH AH T
FRESHETS	F R EH SH AH T S
FRESHING	F R EH SH IH NG
FRESHLY	F R EH SH L IY
FRESHMAN	F R EH SH M AH N
FRESHMEN	F R EH SH M IH N
FRESHNESS	F R EH SH N AH S
FRESHNESSES	F R EH SH N AH S IH Z
FRESHWATER	F R EH SH W AO T ER
FRESHWATERS	F R EH SH W AO T ER Z
FRIENDSHIP	F R EH N D SH IH P
FRIENDSHIPS	F R EH N D SH IH P S
FROGFISH	F R AA G F IH SH
FROGFISHES	F R AA G F IH SH IH Z
FROSH	F R AA SH
FRUMPISH	F R AH M P AH SH
FURBISH	F ER B IH SH
FURBISHED	F ER B IH SH T
FURBISHER	F ER B IH SH ER
FURBISHERS	F ER B IH SH ER Z
FURBISHES	F ER B IH SH AH Z
FURBISHING	F ER B IH SH IH NG
FURNISH	F ER N IH SH
FURNISHED	F ER N IH SH T
FURNISHER	F ER N IH SH ER
FURNISHERS	F ER N IH SH ER Z
FURNISHES	F ER N IH SH IH Z
FURNISHING	F ER N IH SH IH NG
FURNISHINGS	F ER N IH SH IH NG Z
GALOSH	G AH L AA SH
GALOSHE	G AE L AH SH
GALOSHED	G AE L AH SH T
GALOSHES	G AH L AA SH AH Z
GALOSHES(2)	G AH L AA SH IH Z
GAMASHES	G AE M AH SH AH Z
GAMESMANSHIP	G EY M Z M AH N SH IH P
GAMESMANSHIPS	G EY M Z M AE N SH IH P S
GANGSTERISH	G AE NG S T ER IH SH
GARFISH	G AA R F AH SH
GARFISHES	G AA R F AH SH AH Z
GARISH	G EH R IH SH
GARISHLY	G AE R IH SH L IY
GARISHNESS	G AE R IH SH N AH S
GARISHNESSES	G AE R IH SH N AH S IH Z
GARNISH	G AA R N IH SH
GARNISHED	G AA R N IH SH T
GARNISHEE	G AA R N AH SH IY IY
GARNISHEED	G AA R N AH SH IY D
GARNISHEEING	G AA R N IH SH IY AH NG
GARNISHEES	G AA R N AH SH IY Z
GARNISHES	G AA R N IH SH AH Z
GARNISHING	G AA R N AH SH AH NG
GARNISHMENT	G AA R N IH SH M AH N T
GARNISHMENTS	G AA R N IH SH M AH N T S
GASH	G AE SH
GASHED	G AE SH T
GASHER	G AE SH ER
GASHES	G AE SH AH Z
GASHEST	G AE SH AH S T
GASHING	G AE SH IH NG
GASHOLDER	G AE S HH OW L D ER
GASHOLDERS	G AE S HH OW L D ER Z
GASHOUSE	G AE S HH AW S
GASHOUSES	G AE SH AH S IH Z
GAWKISH	G AO K IH SH
GAWKISHLY	G AO K IH SH L IY
GAWKISHNESS	G AO K IH SH N AH S
GAWKISHNESSES	G AO K IH SH N AH S IH Z
GEARSHIFT	G IH ER SH IH F T
GEARSHIFTS	G IH ER SH IH F T S
GEISHA	G EY SH AH
GEISHAS	G IY SH AH Z
GENERALSHIP	JH EH N ER AH L SH IH P
GENERALSHIPS	JH EH N ER AH L SH IH P S
GHOULISH	G UW L IH SH
GHOULISHLY	G UW L IH SH L IY
GHOULISHNESS	G UW L IH SH N AH S
GHOULISHNESSES	G UW L IH SH N AH S IH Z
GIBBERISH	G IH B ER IH SH
GIBBERISHES	JH IH B EH R AH SH AH Z
GIRAFFISH	JH AH R AE F AH SH
GIRLISH	G ER L IH SH
GIRLISHLY	G ER L IH SH L IY
GIRLISHNESS	G ER L IH SH N AH S
GIRLISHNESSES	G ER L IH SH N AH S IH Z
GIRSH	JH AH R SH
GIRSHES	JH AH R SH AH Z
GLASSHOUSE	G L AE S HH AW S
GLASSHOUSES	G L AE S HH AW S IH Z
GLOBEFISH	G L OW B F IH SH
GLOBEFISHES	G L OW B F IH SH IH Z
GNASH	N AE SH
GNASHED	N AE SH T
GNASHES	N AE SH IH Z
GNASHING	N AE SH IH NG
GNOMISH	N OW M IH SH
GOATFISH	G OW T F IH SH
GOATFISHES	G OW T F IH SH IH Z
GOATISH	G OW T IH SH
GODSHIP	G AA D SH IH P
GODSHIPS	G AA D SH IH P S
GOLDFISH	G OW L D F IH SH
GOLDFISHES	G OW L D F IH SH IH Z
GOLOSH	G AA L AH SH
GOLOSHE	G AA L AH SH
GOLOSHES	G AA L AH SH AH Z
GOODISH	G UH D IH SH
GOOSEFISH	G UW S F IH SH
GOOSEFISHES	G UW S F IH SH IH Z
GOOSEFLESH	G UW S F L EH SH
GOOSEFLESHES	G UW S F L EH SH IH Z
GOSH	G AA SH
GOSHAWK	G AA S HH AO K
GOSHAWKS	G OW Z HH AO K S
GOULASH	G UW L AA SH
GOULASHES	G AW L AH SH AH Z
GOVERNORSHIP	G AH V ER N ER SH IH P
GOVERNORSHIPS	G AH V ER N ER SH IH P S
GOYISH	G OW IY IH SH
GRANTSMANSHIP	G R AE N T S M AE N SH IH P
GRANTSMANSHIPS	G R AE N T S M AE N SH IH P S
GRAPESHOT	G R EY P SH AA T
GRASSHOPPER	G R AE S HH AA P ER
GRASSHOPPERS	G R AE S HH AA P ER Z
GRAYFISH	G R EY F IH SH
GRAYFISHES	G R EY F IH SH IH Z
GRAYISH	G R EY IH SH
GREENISH	G R IY N IH SH
GREENISHNESS	G R IY N IH SH N AH S
GREENISHNESSES	G R IY N IH SH N AH S IH Z
GREENSHANK	G R IY N SH AE NG K
GREENSHANKS	G R IY N SH AE NG K S
GREYISH	G R EY IH SH
GROGSHOP	G R AA G SH AA P
GROGSHOPS	G R AA G SH AA P S
GROUNDFISH	G R AW N D F IH SH
GROUNDFISHES	G R AW N D F IH SH IH Z
GROUNDSHEET	G R AW N D SH IY T
GROUNDSHEETS	G R AW N D SH IY T S
GRUFFISH	G R AH F IH SH
GRUMPISH	G R AH M P AH SH
GRUSHIE	G R AH SH AY
GUARDIANSHIP	G AA R D IY AH N SH IH P
GUARDIANSHIPS	G AA R D IY AH N SH IH P S
GUILDSHIP	G IH L D SH IH P
GUILDSHIPS	G IH L D SH IH P S
GUITARFISH	G AH T AA R F IH SH
GUITARFISHES	G AH T AA R F IH SH IH Z
GUMSHOE	G AH M SH UW
GUMSHOED	G AH M SH UW D
GUMSHOEING	G AH M SH UW IH NG
GUMSHOES	G AH M SH UW Z
GUNSHIP	G AH N SH IH P
GUNSHIPS	G AH N SH IH P S
GUNSHOT	G AH N SH AA T
GUNSHOTS	G AH N SH AA T S
GURSH	G AH R SH
GURSHES	G AH R SH AH Z
GURUSHIP	G AH R UW SH IH P
GURUSHIPS	G AH R UW SH IH P S
GUSH	G AH SH
GUSHED	G AH SH T
GUSHER	G AH SH ER
GUSHERS	G AH SH ER Z
GUSHES	G AH SH IH Z
GUSHIER	G AH SH IY ER
GUSHIEST	G AH SH IY AH S T
GUSHILY	G AH SH IY L IY
GUSHINESS	G AH SH IY N AH S
GUSHINESSES	G AH SH IY N AH S IH Z
GUSHING	G AH SH IH NG
GUSHINGLY	G AH SH IH NG L IY
GUSHY	G AH SH IY
GUTTERSNIPISH	G AH T ER S N AY P IH SH
GYPSYISH	JH IH P S IY IH SH
HABERDASHER	HH AH B AH R D AH SH AH R
HABERDASHERIES	HH AE B ER D AE SH AH R IY Z
HABERDASHERS	HH AH B AH R D AH SH AH R Z
HABERDASHERY	HH AE B ER D AE SH ER IY
HAGBUSH	HH AE G AH SH
HAGBUSHES	HH AE G AH SH AH Z
HAGFISH	HH AE G F IH SH
HAGFISHES	HH AE G F AH SH AH Z
HAGGISH	HH AE G AH SH
HAIRBRUSH	HH EH R B R AH SH
HAIRBRUSHES	HH EH R B R AH SH IH Z
HANDCRAFTSMANSHIP	HH AE N D K R AE F T S M AE N SH IH P
HANDCRAFTSMANSHIPS	HH AE N D K R AE F T S M AE N SH IH P S
HANDSHAKE	HH AE N D SH EY K
HANDSHAKES	HH AE N D SH EY K S
HANDSHAKING	HH AE N D SH EY K IH NG
HANDSHAKINGS	HH AE N D SH EY K IH NG Z
HARDSHIP	HH AA R D SH IH P
HARDSHIPS	HH AA R D SH IH P S
HARSH	HH AA R SH
HARSHEN	HH AA R SH AH N
HARSHENED	HH AA R SH AH N D
HARSHENING	HH AA R SH AH N IH NG
HARSHENS	HH AA R SH AH N Z
HARSHER	HH AA R SH ER
HARSHEST	HH AA R SH AH S T
HARSHLY	HH AA R SH L IY
HARSHNESS	HH AA R SH N AH S
HARSHNESSES	HH AA R SH N AH S IH Z
HARTSHORN	HH AA R T S HH AO R N
HARTSHORNS	HH AA R T S HH AO R N Z
HASH	HH AE SH
HASHED	HH AE SH T
HASHEESH	HH AH SH IY SH
HASHEESHES	HH AH SH IY SH AH Z
HASHES	HH AE SH AH Z
HASHHEAD	HH AE SH HH EH D
HASHHEADS	HH AE SH HH EH D Z
HASHING	HH AE SH IH NG
HASHISH	HH AE SH IY SH
HASHISHES	HH AE SH IH SH IH Z
HAWKISH	HH AO K IH SH
HAWKISHLY	HH AO K IH SH L IY
HAWKISHNESS	HH AO K IH SH N AH S
HAWKISHNESSES	HH AO K IH SH N AH S IH Z
HAWKSHAW	HH AO K SH AO
HAWKSHAWS	HH AO K SH AO Z
HEADFISH	HH EH D F IH SH
HEADFISHES	HH EH D F IH SH IH Z
HEADMASTERSHIP	HH EH D M AE S T ER SH IH P
HEADMASTERSHIPS	HH EH D M AE S T ER SH IH P S
HEADSHIP	HH EH D SH IH P
HEADSHIPS	HH EH D SH IH P S
HEADSHRINKER	HH EH D SH R IH NG K ER
HEADSHRINKERS	HH EH D SH R IH NG K ER Z
HEATHENISH	HH IY DH AH N IH SH
HEATHENISHLY	HH IY DH AH N IH SH L IY
HEIMISH	HH IY M AH SH
HEIRSHIP	EH R SH IH P
HEIRSHIPS	EH R SH IH P S
HEISHI	HH IY SH IY
HELLISH	HH EH L IH SH
HELLISHLY	HH EH L IH SH L IY
HELLISHNESS	HH EH L IH SH N AH S
HELLISHNESSES	HH EH L IH SH N AH S IH Z
HELMSMANSHIP	HH EH L M Z M AE N SH IH P
HELMSMANSHIPS	HH EH L M Z M AE N SH IH P S
HIBAKUSHA	HH AH B AE K AH SH AH
HICKISH	HH IH K IH SH
HIGHBUSH	HH AY B UH SH
HIPPISH	HH IH P IH SH
HIPSHOT	HH IH P SH AA T
HOBBLEBUSH	HH AA B AH L B UH SH
HOBBLEBUSHES	HH AA B AH L B UH SH IH Z
HOCKSHOP	HH AA K SH AA P
HOCKSHOPS	HH AA K SH AA P S
HOGFISH	HH AA G F IH SH
HOGFISHES	HH AA G F IH SH IH Z
HOGGISH	HH AA G IH SH
HOGGISHLY	HH AA G IH SH L IY
HOGGISHNESS	HH AA G IH SH N AH S
HOGGISHNESSES	HH AA G IH SH N AH S IH Z
HOGSHEAD	HH AA G Z HH EH D
HOGSHEADS	HH AA G Z HH EH D Z
HOGWASH	HH AA G W AA SH
HOGWASHES	HH AA G W AA SH IH Z
HOODLUMISH	HH UW D L AH M IH SH
HORSEFLESH	HH AO R S F L EH SH
HORSEFLESHES	HH AO R S F L EH SH IH Z
HORSEMANSHIP	HH AO R S M AH N SH IH P
HORSEMANSHIPS	HH AO R S M AE N SH IH P S
HORSERADISH	HH AO R S R AE D IH SH
HORSERADISHES	HH AO R S ER EY D IH SH IH Z
HORSESHIT	HH AO R SH IH T
HORSESHITS	HH AO R S SH IH T S
HORSESHOD	HH AO R S SH AA D
HORSESHOE	HH AO R S SH UW
HORSESHOED	HH AO R S SH UW D
HORSESHOEING	HH AO R S SH UW IH NG
HORSESHOER	HH AO R S SH UW ER
HORSESHOERS	HH AO R S SH UW ER Z
HORSESHOES	HH AO R S SH UW Z
HOTSHOT	HH AA SH AA T
HOTSHOTS	HH AA SH AA T S
HOTTISH	HH AA T IH SH
HOYDENISH	HH OY D AH N IH SH
HUFFISH	HH AH F IH SH
HUNNISH	HH AH N AH SH
HUSH	HH AH SH
HUSHABY	HH AH SH AH B AY
HUSHED	HH AH SH T
HUSHEDLY	HH AH SH AH D L IY
HUSHES	HH AH SH IH Z
HUSHFUL	HH AH SH F AH L
HUSHING	HH AH SH IH NG
IMMESH	IH M EH SH
IMMESHED	IH M EH SH T
IMMESHES	IH M EH SH IH Z
IMMESHING	IH M EH SH IH NG
IMPERISHABILITIES	IH M P EH R IH SH AH B IH L AH T EH Z
IMPERISHABILITY	IH M P EH R IH SH AH B IH L AH T EH
IMPERISHABLE	IH M P EH R IH SH AH B AH L
IMPERISHABLENESS	IH M P EH R IH SH AH B AH L N AH S
IMPERISHABLENESSES	IH M P EH R IH SH AH B AH L N AH S IH Z
IMPERISHABLES	IH M P EH R IH SH AH B AH L Z
IMPERISHABLY	IH M P EH R IH SH AH B L IY
IMPISH	IH M P IH SH
IMPISHLY	IH M P IH SH L IY
IMPISHNESS	IH M P IH SH N AH S
IMPISHNESSES	IH M P IH SH N EH S AH Z
IMPOVERISH	IH M P AA V R IH SH
IMPOVERISHED	IH M P AA V R IH SH T
IMPOVERISHER	IH M P AA V R IH SH ER
IMPOVERISHERS	IH M P AA V R IH SH ER Z
IMPOVERISHES	IH M P AA V R IH SH AH Z
IMPOVERISHING	IH M P AA V R IH SH IH NG
IMPOVERISHMENT	IH M P AA V R IH SH M AH N T
IMPOVERISHMENTS	IH M P AA V R IH SH M AH N T S
INDISTINGUISHABILITIES	IH N D IH S T IH NG G W IH SH AH B IH L AH T EH Z
INDISTINGUISHABILITY	IH N D IH S T IH NG G W IH SH AH B IH L AH T EH
INDISTINGUISHABLE	IH N D IH S T IH NG G W IH SH AH B AH L
INDISTINGUISHABLENESS	IH N D IH S T IH NG G W IH SH AH B AH L N AH S
INDISTINGUISHABLENESSES	IH N D IH S T IH NG G W IH SH AH B AH L N AH S IH Z
INDISTINGUISHABLY	IH N D IH S T IH NG G W IH SH AH B L IY
INEXTINGUISHABLE	IH N IH K S T IH NG G W IH SH AH B AH L
INEXTINGUISHABLY	IH N IH K S T IH NG G W IH SH AH B L IY
INMESH	IH N M EH SH
INMESHED	IH N M EH SH T
INMESHES	IH N M EH SH IH Z
INMESHING	IH N M EH SH IH NG
INRUSH	IH N R AH SH
INRUSHES	IH N R AH SH IH Z
INSHEATH	IH N SH IY TH
INSHEATHED	IH N SH IY DH D
INSHEATHING	IH N SH IY DH IH NG
INSHEATHS	IH N SH IY TH S
INSHORE	IH N SH AO R
INSHRINE	IH N SH R AY N
INSHRINED	IH N SH R AY N D
INSHRINES	IH N SH R AY N Z
INSHRINING	IH N SH R AY N IH NG
INSPECTORSHIP	IH N S P EH K T ER SH IH P
INSPECTORSHIPS	IH N S P EH K T ER SH IH P S
INSTRUCTORSHIP	IH N S T R AH K T ER SH IH P
INSTRUCTORSHIPS	IH N S T R AH K T ER SH IH P S
INTERMESH	IH N T ER M EH SH
INTERMESHED	IH N T ER M EH SH T
INTERMESHES	IH N T ER M EH SH IH Z
INTERMESHING	IH N T ER M EH SH IH NG
INTERNSHIP	IH N T ER N SH IH P
INTERNSHIPS	IH N T ER N SH IH P S
INTERPARISH	IH N T ER P AE R IH SH
INTERRELATIONSHIP	IH N T ER R IY L EY SH AH N SH IH P
INTERRELATIONSHIPS	IH N T ER R IY L EY SH AH N SH IH P S
JACKFISH	JH AE K F IH SH
JACKFISHES	JH AE K F IH SH IH Z
JADISH	JH EY D IH SH
JADISHLY	JH EY D IH SH L IY
JARGONISH	JH AA R G AH N IH SH
JELLYFISH	JH EH L IY F IH SH
JELLYFISHES	JH EH L IY F IH SH IH Z
JEWFISH	JH UW F IH SH
JEWFISHES	JH UW F IH SH IH Z
JINGOISH	JH IH N G OW AH SH
JINRICKSHA	JH IH N R IH K AH
JINRICKSHAS	JH IH N R IH K AH Z
JINRIKISHA	JH IH N R IH K AH SH AH
JINRIKISHAS	JH IH N R IH K AH SH AH Z
JOSH	JH AA SH
JOSHED	JH AA SH T
JOSHER	JH AA SH AH R
JOSHERS	JH AA SH AH R Z
JOSHES	JH AA SH AH Z
JOSHING	JH AA SH AH NG
JUDGESHIP	JH AH JH SH IH P
JUDGESHIPS	JH AH JH SH IH P S
KADDISH	K AA D IH SH
KADDISHES	K AA D IH SH IH Z
KADDISHIM	K AE D AH SH AH M
KASHA	K AA SH AH
KASHAS	K AE SH AH Z
KASHER	K AE SH AH R
KASHERED	K AH SH IY R D
KASHERING	K AH SH IY R AH NG
KASHERS	K AE SH AH R Z
KASHMIR	K AE SH M IH R
KASHMIR(2)	K AE SH M IY R
KASHMIRS	K AE SH M AH R Z
KASHRUT	K AE SH R AH T
KASHRUTH	K AE SH R AH TH
KASHRUTHS	K AE SH R AH TH S
KASHRUTS	K AE SH R Y UW T S
KEESHOND	K IY SH AH N D
KEESHONDEN	K IY SH AA N D AH N
KEESHONDS	K IY SH AH N D Z
KIBOSH	K IH B AH SH
KIBOSHED	K IH B AH SH T
KIBOSHES	K IH B AH SH AH Z
KIBOSHING	K IH B AH SH AH NG
KICKSHAW	K IH K SH AO
KICKSHAWS	K IH K SH AO Z
KIDDISH	K IH D IH SH
KIDDUSH	K IH D AH SH
KIDDUSHES	K IH D AH SH AH Z
KIDDUSHIM	K IH D AH SH AH M
KILLIFISH	K IH L IH F IH SH
KILLIFISHES	K IH L IH F AH SH AH Z
KINGFISH	K IH NG F IH SH
KINGFISHER	K IH NG F IH SH ER
KINGFISHERS	K IH NG F IH SH ER Z
KINGFISHES	K IH NG F IH SH IH Z
KINGSHIP	K IH NG SH IH P
KINGSHIPS	K IH NG SH IH P S
KINSHIP	K IH N SH IH P
KINSHIPS	K IH N SH IH P S
KISHKA	K IH SH AH
KISHKAS	K IH SH AH Z
KISHKE	K IH SH
KISHKES	K IH SH S
KITTENISH	K IH T AH N IH SH
KITTENISHLY	K IH T AH N IH SH L IY
KITTENISHNESS	K IH T AH N IH SH N AH S
KITTENISHNESSES	K IH T AH N IH SH N AH S IH Z
KNAVISH	N EY V AH SH
