EI	IY
REINTER	R IY IH N T ER
REINTERPRET	R IY IH N T ER P R AH T
REINTERPRETATION	R IY IH N T ER P R AH T EY SH AH N
REINTERPRETATIONS	R IY IH N T ER P R AH T EY SH AH N Z
REINTERPRETED	R IY IH N T ER P R AH T IH D
REINTERPRETING	R IY IH N T ER P R AH T IH NG
REINTERPRETS	R IY IH N T ER P R AH T S
REINTERRED	R IY IH N T ER R EH D
REINTERRING	R IY IH N T ER R IH NG
REINTERS	R IY IH N T ER Z
REINTERVIEW	R IY IH N T ER V Y UW
REINTERVIEWED	R IY IH N T ER V Y UW D
REINTERVIEWING	R IY IH N T ER V Y UW IH NG
REINTERVIEWS	R IY IH N T ER V Y UW Z
REINTRODUCE	R IY IH N T R AH D UW S
REINTRODUCED	R IY IH N T R AH D UW S T
REINTRODUCES	R IY IH N T R AH D UW S IH Z
REINTRODUCING	R IY IH N T R AH D UW S IH NG
REINTRODUCTION	R IY IH N T R AH D AH K SH AH N
REINTRODUCTIONS	R IY IH N T R AH D AH K SH AH N Z
REINVADE	R IY IH N V EY D
REINVADED	R IY IH N V EY D IH D
REINVADES	R IY IH N V EY D Z
REINVADING	R IY IH N V EY D IH NG
REINVASION	R IY IH N V EY ZH AH N
REINVASIONS	R IY IH N V EY ZH AH N Z
REINVENT	R IY IH N V EH N T
REINVENTED	R IY IH N V EH N T IH D
REINVENTING	R IY IH N V EH N T IH NG
REINVENTION	R IY IH N V EH N SH AH N
REINVENTIONS	R IY IH N V EH N CH AH N Z
REINVENTS	R IY IH N V EH N T S
REINVEST	R IY IH N V EH S T
REINVESTED	R IY IH N V EH S T IH D
REINVESTIGATE	R IY IH N V EH S T AH G AH T
REINVESTIGATED	R IY IH N V EH S T AH G EY T IH D
REINVESTIGATES	R IY IH N V EH S T AH G AH T S
REINVESTIGATING	R IY IH N V EH S T AH G EY T IH NG
REINVESTIGATION	R IY IH N V EH S T AH G EY SH AH N
REINVESTIGATIONS	R IY IH N V EH S T AH G EY SH AH N Z
REINVESTING	R IY IH N V EH S T IH NG
REINVESTMENT	R IY IH N V EH S T M AH N T
REINVESTMENT(2)	R IY IH N V EH S M AH N T
REINVESTMENTS	R IY IH N V EH S T M AH N T S
REINVESTS	R IY IH N V EH S T S
REINVESTS(2)	R IY IH N V EH S S
REINVESTS(3)	R IY IH N V EH S
REINVIGORATE	R IY IH N V IH G ER EY T
REINVIGORATED	R IY IH N V IH G ER EY T IH D
REINVIGORATES	R IY IH N V IH G ER AH T S
REINVIGORATING	R IY IH N V IH G ER EY T IH NG
REINVIGORATION	R IY IH N V IH G ER EY SH AH N
REINVIGORATIONS	R IY IH N V IH G ER EY SH AH N Z
REINVIGORATOR	R IY IH N V IH G ER AH T ER
REINVIGORATORS	R IY IH N V IH G ER AH T ER Z
REINVITE	R IY IH N V AY T
REINVITED	R IY IH N V AY T IH D
REINVITES	R IY IH N V AY T S
REINVITING	R IY IH N V AY T IH NG
REINVOKE	R IY IH N V OW K
REINVOKED	R IY IH N V OW K T
REINVOKES	R IY IH N V OW K S
REINVOKING	R IY IH N V OW K IH NG
REIS	R IY Z
REISSUE	R IY IH SH UW
REISSUED	R IY IH SH UW D
REISSUER	R IY IH SH UW ER
REISSUERS	R IY IH SH UW ER Z
REISSUES	R IY IH SH UW Z
REISSUING	R IY IH SH UW IH NG
REITBOK	R IY IH T B AH K
REITBOKS	R IY IH T B AH K S
REITERATE	R IY IH T ER EY T
REITERATED	R IY IH T ER EY T IH D
REITERATES	R IY IH T ER EY S
REITERATING	R IY IH T ER EY T IH NG
REITERATION	R IY IH T ER EY SH AH N
REITERATIONS	R IY IH T ER EY SH AH N Z
REITERATIVE	R IY IH T ER AH T IH V
REITERATIVELY	R IY IH T ER AH T IH V L IY
REIVE	R IY AH V
REIVED	R IY AH V D
REIVER	R IY AH V AH R
REIVERS	R IY IH V AH R Z
REIVES	R IY AH V Z
REIVING	R IY AH V AH NG
RESEEING	R IY S IY IH NG
RESEIZE	R IY S IY Z
RESEIZED	R IY S IY Z D
RESEIZES	R IY S IY Z IH Z
RESEIZING	R IY S IY Z IH NG
RESHOEING	R IY SH UW IH NG
REVEILLE	R AH V EY L
REVEILLES	R AH V EY L Z
REWEIGH	R IY W EY
REWEIGHED	R IY W EY D
REWEIGHING	R IY W EY IH NG
REWEIGHS	R IY W EY Z
RHOMBOIDEI	R AA M B OY D IY
RIBONUCLEOPROTEIN	R AH B AH N AH K L IY AA P R AH T IY N
RIBONUCLEOPROTEINS	R AH B AH N AH K L IY AA P R AH T IY N Z
ROGUEING	R OW G IH NG
ROTTWEILER	R AA T W IY AH L AH R
ROTTWEILERS	R AA T W IY L AH R Z
SABEING	S EY B IY AH NG
SANSEI	S AE N S IY
SANSEIS	S AE N S IY AH S
SAUTEING	S AO T EY IH NG
SCARABAEI	S K AH R AE B IY IY
SCHLOCKMEISTER	S K L AA K M IY S T AH R
SCHLOCKMEISTERS	S K L AA K M IY S T AH R Z
SCHWARMEREI	S K W AO R M AH R IY
SCHWARMEREIS	S K W AO R M IH R IY AH S
SCLEREID	S K L IY R IY D
SCLEREIDS	S K L IY R IY D Z
SCLEROPROTEIN	S K L AH R AA P R AH T IY N
SCLEROPROTEINS	S K L AH R AA P R AH T IY N Z
SEBORRHEIC	S AH B AO R IY AH K
SEEING	S IY IH NG
SEEINGS	S IY IH NG Z
SEGUEING	S EH G IY AH NG
SEI	S AY
SEICENTO	S AY S EH N T OW
SEICENTOS	S AY S EH N T AH Z
SEICHE	S AY CH
SEICHES	S AY CH AH Z
SEIDEL	S AY D AH L
SEIDELS	S AY D AH L Z
SEIF	S IY F
SEIFS	S AY F S
SEIGNEUR	S AY G N AH R
SEIGNEURIAL	S AY N AH Y UH R IY AH L
SEIGNEURIES	S AY G N Y AH R AY Z
SEIGNEURS	S AY N IY Y AH R Z
SEIGNEURY	S AY G N Y AH R IY
SEIGNIOR	S AY G N AY AH R
SEIGNIORAGE	S IY G N IY ER IH JH
SEIGNIORAGES	S AY G N IY AO R AH JH AH Z
SEIGNIORIES	S AY G N IY AH R AY Z
SEIGNIORS	S AY G N IY AH R Z
SEIGNIORY	S AY G N AY AO R IY
SEIGNORAGE	S AY G N AH R AH JH
SEIGNORAGES	S AY G N AO R AH JH AH Z
SEIGNORIAL	S AY G N AO R IY AH L
SEIGNORIES	S AY G N AH R AY Z
SEIGNORY	S AY G N AH R IY
SEINE	S EY N
SEINED	S AY N D
SEINER	S AY N AH R
SEINERS	S AY N AH R Z
SEINES	S AY N Z
SEINING	S AY N AH NG
SEIS	S IY S
SEISABLE	S IY AH S AH B AH L
SEISE	S AY Z
SEISED	S IY AH S T
SEISER	S AY S ER
SEISERS	S AY S AH R Z
SEISES	S AY Z AH Z
SEISIN	S AY S AH N
SEISING	S AY Z AH NG
SEISINGS	S AY S AH NG Z
SEISINS	S AY S AH N Z
SEISM	S IY AH Z AH M
SEISMAL	S AY Z M AH L
SEISMIC	S AY Z M IH K
SEISMICALLY	S AY Z M IH K AH L IY
SEISMICITIES	S AY Z M IH K AH T IY Z
SEISMICITY	S AY Z M IH K AH T IY
SEISMISM	S AY Z M AH Z AH M
SEISMISMS	S AY Z M AH Z AH M Z
SEISMOGRAM	S AY Z M AA G R AH M
SEISMOGRAMS	S AY Z M AA G R AH M Z
SEISMOGRAPH	S AY Z M AH G R AE F
SEISMOGRAPHER	S AY Z M AH G R AE F ER
SEISMOGRAPHERS	S AY Z M AH G R AE F ER Z
SEISMOGRAPHIC	S AY Z M AH G R AE F IH K
SEISMOGRAPHIES	S AY Z M AH G R AE F IY Z
SEISMOGRAPHS	S AY Z M AH G R AE F S
SEISMOGRAPHY	S AY Z M AH G R AE F IY
SEISMOLOGICAL	S AY Z M AH L AO JH AH K AH L
SEISMOLOGIES	S AY Z M AA L AH JH AY Z
SEISMOLOGIST	S AY Z M AA L AH JH IH S T
SEISMOLOGISTS	S AY Z M AA L AH JH IH S T S
SEISMOLOGY	S AY Z M AA L AH JH IY
SEISMOMETER	S AY Z M AA M AH T AH R
SEISMOMETERS	S AY Z M AA M AH T AH R Z
SEISMOMETRIC	S AY Z M AH M AH T R AH K
SEISMOMETRIES	S AY Z M AH M EH T R AY Z
SEISMOMETRY	S AY Z M AH M EH T R IY
SEISMS	S AY Z AH M Z
SEISOR	S AY Z AH R
SEISORS	S AY S AH R Z
SEISURE	S AY ZH Y AH R
SEISURES	S AY ZH Y AH R Z
SEIZABLE	S IY Z AH B AH L
SEIZE	S IY Z
SEIZED	S IY Z D
SEIZER	S IY Z ER
SEIZERS	S IY Z ER Z
SEIZES	S IY Z IH Z
SEIZIN	S AY Z AH N
SEIZING	S IY Z IH NG
SEIZINGS	S IY Z IH NG Z
SEIZINS	S AY Z AH N Z
SEIZOR	S IY Z ER
SEIZORS	S IY Z ER Z
SEIZURE	S IY ZH ER
SEIZURES	S IY ZH ER Z
SEMEIOLOGIES	S IY M IY AA L AH JH AY Z
SEMEIOLOGY	S IY M IY AA L AH JH IY
SEMEIOTIC	S IY M IY AH T AH K
SEMEIOTICS	S IY M IY AH T AH S Z
SEMIDEIFIED	S AH M IY D IY AH F AY D
SEMIDEIFIES	S AH M IY D IY AH F AY Z
SEMIDEIFY	S EH M AH D IY AH F AY
SEMIDEIFYING	S AH M IY D IY IH F AY AH NG
SEREIN	S IY R IY N
SEREINS	S IY R IY N Z
SHEIK	SH IY K
SHEIKDOM	SH IY K D AH M
SHEIKDOMS	SH IY K D AH M Z
SHEIKH	SH IY K
SHEIKHDOM	SH IY K
SHEIKHDOMS	SH IY K D AH M Z
SHEIKHS	SH IY K S
SHEIKS	SH IY K S
SHEILA	SH IY L AH
SHEILAS	SH IY L AH Z
SHEITAN	SH IY T AH N
SHEITANS	SH IY T AH N Z
SHIVAREEING	SH AH V AE R IY AH NG
SHOEING	SH UW IH NG
SIGHTSEEING	S AY T S IY IH NG
SIMULTANEITIES	S AH M UH L T AH N AH T AY Z
SIMULTANEITY	S AH M UH L T AH N IY AH T IY
SINGEING	S IH N JH IH NG
SKEEING	S K IY AH NG
SKEIGH	S K EY
SKEIN	S K EY N
SKEINED	S K IY N D
SKEINING	S K IY N AH NG
SKEINS	S K EY N Z
SKREIGH	S K R EY
SKREIGHED	S K R EY D
SKREIGHING	S K R EY AH NG
SKREIGHS	S K R EY Z
SLEIGH	S L EY
SLEIGHED	S L EY D
SLEIGHER	S L EY AH R
SLEIGHERS	S L EY AH R Z
SLEIGHING	S L EY AH NG
SLEIGHS	S L EY Z
SLEIGHT	S L AY T
SLEIGHTS	S L AY T S
SNOWSHOEING	S N OW SH UW IH NG
SOBEIT	S OW B IY T
SOLEI	S OW L IY
SORTIEING	S AO R T IY IH NG
SOVEREIGN	S AA V R AH N
SOVEREIGNLY	S AA V R AH N L IY
SOVEREIGNS	S AA V R AH N Z
SOVEREIGNTIES	S AA V R AH N T IY Z
SOVEREIGNTY	S AA V R AH N T IY
SPAEING	S P IY AH NG
SPAEINGS	S P IY AH NG Z
SPARTEINE	S P AA R T IY N
SPARTEINES	S P AA R T IY N Z
SPEIL	S P IY L
SPEILED	S P IY AH L D
SPEILING	S P IY AH L AH NG
SPEILS	S P IY AH L Z
SPEIR	S P IH R
SPEIRED	S P IY R D
SPEIRING	S P IY R AH NG
SPEIRS	S P IH R Z
SPEISE	S P IY Z
SPEISES	S P IY Z AH Z
SPEISS	S P IY S
SPEISSES	S P IY S AH Z
SPIEGELEISEN	S P IY JH AH L IY AH S AH N
SPIEGELEISENS	S P IY JH AH L IY S AH N Z
SPONTANEITIES	S P AA N T AH N IY AH T IY Z
SPONTANEITY	S P AA N T AH N IY AH T IY
SPRINGEING	S P R IH NG IY AH NG
SQUEEGEEING	S K W IY JH IY AH NG
SQUILGEEING	S K W IH L JH IY AH NG
STEIN	S T AY N
STEINBOK	S T IY N B AH K
STEINBOKS	S T IY N B AH K S
STEINS	S T AY N Z
STYMIEING	S T AY M IY IH NG
SUBCEILING	S AH B S EH L IH NG
SUBCEILINGS	S AH B S EH L IH NG Z
SUBSEIZURE	S AH B S IY ZH ER
SUBSEIZURES	S AH B S IY ZH ER Z
SUPERHEAVYWEIGHT	S UW P ER HH EH V IY W EY T
SUPERHEAVYWEIGHTS	S UW P ER HH EH V IY W EY T S
SURFEIT	S ER F AH T
SURFEITED	S ER F AH T IH D
SURFEITER	S ER F AH T ER
SURFEITERS	S ER F AH T ER Z
SURFEITING	S ER F AH T IH NG
SURFEITS	S ER F AH T S
SURVEIL	S ER V EY L
SURVEILLANCE	S ER V EY L AH N S
SURVEILLANCES	S ER V EY L AH N S IH Z
SURVEILLANT	S ER V EY L AH N T
SURVEILLANTS	S ER V EY L AH N T S
SURVEILLED	S ER V EY L D
SURVEILLING	S ER V EY L IH NG
SURVEILS	S ER V EY L Z
SWINGEING	S W IH NG IY AH NG
SYNCHRONEITIES	S IH NG K R AH N AH T AY Z
SYNCHRONEITY	S IH NG K R AH N IY AH T IY
SYNGENEIC	S IH N JH IY N IY AH K
TAMEIN	T EY M IH N
TAMEINS	T EY M IH N Z
TEEING	T IY IH NG
TEIGLACH	T EY G L AH CH
TEIID	T IY AH D
TEIIDS	T IY AH D Z
TEIND	T IY N D
TEINDS	T IY N D Z
TERREPLEIN	T EH R AH P L IY N
TERREPLEINS	T EH R AH P L IY N Z
THEIN	TH AY N
THEINE	TH IY N
THEINES	TH IY N Z
THEINS	TH IY N Z
THEIR	DH EH R
THEIRS	DH EH R Z
THEIRSELVES	DH EH R S EH L V Z
THEISM	TH IY IH Z AH M
THEISMS	TH IY Z AH M Z
THEIST	DH IY AH S T
THEISTIC	TH IY IH S T IH K
THEISTICAL	TH IY IH S T IH K AH L
THEISTICALLY	TH IY IH S T IH K AH L IY
THEISTS	TH IY S T S
THEREIN	DH EH R IH N
THEREINAFTER	TH IY R AH N AE F T AH R
THEREINTO	TH IY R IY N T OW
THOLEIITE	TH OW L IY AY T
THOLEIITES	TH OW L IY AY T S
THOLEIITIC	TH OW L IY AH T AH K
TIEING	T AY IH NG
TINEID	T AY N AH D
TINEIDS	T AY N AH D Z
TINGEING	T IH NG IY AH NG
TIPPYTOEING	T IH P IY T OW IH NG
TIPTOEING	T IH P T OW IH NG
TOEING	T OW IH NG
TRACHEID	T R AH CH IY D
TRACHEIDS	T R AH CH IY D Z
TRACHEITIS	T R AE CH IY AY T AH S
TRACHEITISES	T R AE CH AH T AY Z AH Z
TRANSCEIVER	T R AE N S IY V ER
TRANSCEIVERS	T R AE N S IY V ER Z
TREEING	T R IY IH NG
TREILLAGE	T R IY L AH JH
TREILLAGES	T R IY L AH JH AH Z
TRITHEISM	T R AY DH IY IH Z AH M
TRITHEISMS	T R AH TH IY Z AH M Z
TRITHEIST	T R AY DH IY AH S T
TRITHEISTIC	T R AH TH IY S T AH K
TRITHEISTICAL	T R AH TH IY S T IH S AH L
TRITHEISTS	T R AH TH IY S T S
TRUEING	T R UW IH NG
TRUSTEEING	T R AH S T IY IH NG
TURNVEREIN	T AH R N V AH R IY N
TURNVEREINS	T AH R N V AH R IY N Z
TWINGEING	T W IH N JH IH NG
ULTRALIGHTWEIGHT	AH L T R AH L AY T W EY T
UNAGEING	AH N EY JH IH NG
UNCONCEIVABLE	AH N K AH N S IY V AH B AH L
UNDECEIVE	AH N D IH S IY V
UNDECEIVED	AH N D IH S IY V D
UNDECEIVES	AH N D IH S IY V Z
UNDECEIVING	AH N D IH S IY V IH NG
UNDERWEIGHT	AH N D ER W EY T
UNDERWEIGHTS	AH N D ER W EY T S
UNFEIGNED	AH N F EY N D
UNFEIGNEDLY	AH N F EY N AH D L IY
UNFREEING	AH N F R IY IH NG
UNPERCEIVED	AH N P ER S IY V D
UNREINFORCED	AH N R IY IH N F OW R S T
UNSEEING	AH N S IY IH NG
UNSEIZED	AH N S IY Z D
UNVEIL	AH N V EY L
UNVEILED	AH N V EY L D
UNVEILING	AH N V EY L IH NG
UNVEILINGS	AH N V EY L IH NG Z
UNVEILS	AH N V EY L Z
UNVEINED	AH N V EY N D
UNWEIGHT	AH N W EY T
UNWEIGHTED	AH N W EY T IH D
UNWEIGHTING	AH N W EY T IH NG
UNWEIGHTS	AH N W EY T S
URAEI	Y UH R IY IY
UREIC	Y UH R IY AH K
UREIDE	Y AH R IY D
UREIDES	Y AH R IY D Z
UVEITIC	Y UW V EY T AH K
UVEITIDES	Y UW V AH T AY D Z
UVEITIS	Y UW V IY AY T AH S
UVEITISES	Y UW V AH T AY Z AH Z
VEIL	V EY L
VEILED	V EY L D
VEILEDLY	V EY L AH D L IY
VEILER	V EY L ER
VEILERS	V EY L ER Z
VEILING	V EY L IH NG
VEILINGS	V EY L IH NG Z
VEILLIKE	V EY L AY K
VEILS	V EY L Z
VEIN	V EY N
VEINAL	V EY N AH L
VEINED	V EY N D
VEINER	V EY N ER
VEINERS	V EY N ER Z
VEINIER	V EY N IY ER
VEINIEST	V EY N IY AH S T
VEINING	V EY N IH NG
VEININGS	V EY N IH NG Z
VEINLESS	V EY N L AH S
VEINLET	V EY N L AH T
VEINLETS	V EY N L AH T S
VEINLIKE	V EY N L AY K
VEINS	V EY N Z
VEINULE	V EY N Y UW L
VEINULES	V EY N Y UW L Z
VEINULET	V EY N Y UW L AH T
VEINULETS	V EY N Y UW L AH T S
VEINY	V EY N IY
VELLEITIES	V EH L AH T AY Z
VELLEITY	V EH L IY AH T IY
VERMEIL	V ER M AH L
VERMEILS	V ER M AH L Z
VICEREINE	V IH S AH R IY N
VICEREINES	V IH S AH R IY N Z
VILLEIN	V IH L IY N
VILLEINS	V IH L IY N Z
VISEING	V AY S IH NG
VOGUEING	V OW G IH NG
WEEWEEING	W IY W IY IH NG
WEIGELA	W EY JH AH L AH
WEIGELAS	W EY JH AH L AH Z
WEIGELIA	W EY JH IY L Y AH
WEIGELIAS	W EY JH IY L Y AH Z
WEIGH	W EY
WEIGHABLE	W EY AH B AH L
WEIGHED	W EY D
WEIGHER	W EY ER
WEIGHERS	W EY ER Z
WEIGHING	W EY IH NG
WEIGHMAN	W EY M AE N
WEIGHMEN	W EY M EH N
WEIGHS	W EY Z
WEIGHT	W EY T
WEIGHTED	W EY T IH D
WEIGHTER	W EY T ER
WEIGHTERS	W EY T ER Z
WEIGHTIER	W EY T IY ER
WEIGHTIEST	W EY T IY AH S T
WEIGHTILY	W EY T IY L IY
WEIGHTINESS	W EY T IY N AH S
WEIGHTINESSES	W EY T IY N AH S IH Z
WEIGHTING	W EY T IH NG
WEIGHTLESS	W EY T L AH S
WEIGHTLESSLY	W EY T L AH S L IY
WEIGHTLESSNESS	W EY T L AH S N AH S
WEIGHTLESSNESSES	W EY T L AH S N AH S IH Z
WEIGHTLIFTER	W EY T L IH F T ER
WEIGHTLIFTERS	W EY T L IH F T ER Z
WEIGHTLIFTING	W EY T L IH F T IH NG
WEIGHTLIFTINGS	W EY T L IH F T IH NG Z
WEIGHTS	W EY T S
WEIGHTY	W EY T IY
WEIMARANER	W IY M AH R EY N AH R
WEIMARANERS	W IY M AE R AH N AH R Z
WEINER	W AY N ER
WEINERS	W IY N AH R Z
WEIR	W IY R
WEIRD	W IH R D
WEIRDER	W IH R D ER
WEIRDEST	W IH R D AH S T
WEIRDIE	W IH ER D IY
WEIRDIES	W IH ER D IY Z
WEIRDLY	W IH R D L IY
WEIRDNESS	W IH R D N AH S
WEIRDNESSES	W IH ER D N AH S IH Z
WEIRDO	W IH R D OW
WEIRDOES	W IH ER D OW Z
WEIRDOS	W IH R D OW Z
WEIRDS	W IH ER D Z
WEIRDY	W IH ER D IY
WEIRS	W IH ER Z
WEISENHEIMER	W IY S AH N HH IY M AH R
WEISENHEIMERS	W IY S AH N HH IY M AH R Z
WELTERWEIGHT	W EH L T ER W EY T
WELTERWEIGHTS	W EH L T ER W EY T S
WHEREIN	W EH R IH N
WHEREIN(2)	HH W EH R IH N
WHEREINTO	W IY R IY N T OW
WHINGEING	W IH NG IY AH NG
WISENHEIMER	W AY Z AH N HH AY M ER
WISENHEIMERS	W AY Z AH N HH AY M ER Z
XANTHEIN	Z AE N TH IY N
XANTHEINS	Z AE N TH IY N Z
XENOGENEIC	Z EH N AH JH IY N IY AH K
YAHRZEIT	Y AE R Z IY T
YAHRZEITS	Y AE R Z IY T S
ZEIN	Z IY N
ZEINS	Z IY N Z
ZEITGEBER	Z IY T JH IY B AH R
ZEITGEBERS	Z IY T JH AH B AH R Z
ZEITGEIST	T S AY T G AY S T
ZEITGEISTS	T S AY T G AY S T S
KOP	K AA P
COACERVATE	K OW AE S AH R V EY T
MERGANSER	M AH R G AE N Z AH R
FYCE	F AY S
OIL	OY L
LEA	L IY
LWEI	L W IY
