EA	IY AH
DENUCLEARIZING	D IY N UW K L IY ER AY Z IH NG
DEOXYRIBONUCLEASE	D IY AH K S AH R AH B AA N AH K L IY Z
DEOXYRIBONUCLEASES	D IY AH K S AH R AH B AA N AH K L IY Z AH Z
DEREALIZATION	D IY R IY L AH Z EY SH AH N
DEREALIZATIONS	D IY R IY L AH Z EY SH AH N Z
DIAGNOSEABLE	D AY IH G N OW S AH B AH L
DIAPHYSEAL	D AY AH F IH Z IY AH L
DIARRHEA	D AY ER IY AH
DIARRHEAL	D AY AE R IY AH L
DIARRHEAS	D AY ER IY AH Z
DIARRHOEA	D AY ER IY AH
DIARRHOEAS	D AY AH R IY AH Z
DISAGREEABLE	D IH S AH G R IY AH B AH L
DISAGREEABLENESS	D IH S AH G R IY AH B AH L N AH S
DISAGREEABLENESSES	D IH S AH G R IY AH B AH L N AH S IH Z
DISAGREEABLY	D IH S AH G R IY AH B L IY
DISAPPEAR	D IH S AH P IH R
DISAPPEAR(2)	D IH S AH P IY R
DISAPPEARANCE	D IH S AH P IH R AH N S
DISAPPEARANCE(2)	D IH S AH P IY R AH N S
DISAPPEARANCES	D IH S AH P IH R AH N S IH Z
DISAPPEARANCES(2)	D IH S AH P IY R AH N S IH Z
DISAPPEARED	D IH S AH P IH R D
DISAPPEARED(2)	D IH S AH P IY R D
DISAPPEARING	D IH S AH P IH R IH NG
DISAPPEARING(2)	D IH S AH P IY R IH NG
DISAPPEARS	D IH S AH P IH R Z
DISAPPEARS(2)	D IH S AH P IY R Z
DISCHARGEABLE	D IH S CH AA R JH AH B AH L
DISCOURAGEABLE	D IH S K ER IH JH AH B AH L
DISEASE	D IH Z IY Z
DISEASED	D IH Z IY Z D
DISEASES	D IH Z IY Z AH Z
DISEASES(2)	D IH Z IY Z IH Z
DISEASING	D IH Z IY Z IH NG
DISHEARTEN	D IH S HH AA R T AH N
DISHEARTENED	D IH S HH AA R T AH N D
DISHEARTENING	D IH S HH AA R T AH N IH NG
DISHEARTENING(2)	D IH S HH AA R T N IH NG
DISHEARTENINGLY	D IH S HH AA R T AH N IH NG L IY
DISHEARTENMENT	D IH S HH AA R T AH N M AH N T
DISHEARTENMENTS	D IH S HH AA R T AH N M AH N T S
DISHEARTENS	D IH S HH AA R T AH N Z
DISLIKEABLE	D IH S L AY K AH B AH L
DISPLACEABLE	D IH S P L EY S AH B AH L
DISPLEASE	D IH S P L IY Z
DISPLEASED	D IH S P L IY Z D
DISPLEASES	D IH S P L IY Z IH Z
DISPLEASING	D IH S P L IY Z IH NG
DISPLEASURE	D IH S P L EH ZH ER
DISPLEASURES	D IH S P L EH ZH ER Z
DISPREAD	D IH S R IY AE D
DISPREADING	D IH S R IY EY D AH NG
DISPREADS	D IH S R IY AE D Z
DISSEAT	D IH S IY T
DISSEATED	D IH S IY T IH D
DISSEATING	D IH S IY T IH NG
DISSEATS	D IH S IY T S
DISSERVICEABLE	D IH S ER V AH S AH B AH L
DOGEAR	D AA G IY R
DOGEARED	D AA G IY R D
DOGEARING	D AA G IY R IH NG
DOGEARS	D AA G IY R Z
DOPEHEAD	D OW P HH EH D
DOPEHEADS	D OW P HH EH D Z
DOUBLEHEADER	D AH B AH L HH EH D ER
DOUBLEHEADERS	D AH B AH L HH EH D ER Z
DOUBLESPEAK	D AH B AH L S P IY K
DOUBLESPEAKER	D AH B AH L S P IY K ER
DOUBLESPEAKERS	D AH B AH L S P IY K ER Z
DOUBLESPEAKS	D AH B AH L S P IY K S
DOWNBEAT	D AW N B IY T
DOWNBEATS	D AW N B IY T S
DOWNHEARTED	D AW N HH AA R T IH D
DOWNHEARTEDLY	D AW N HH AA R T AH D L IY
DOWNHEARTEDNESS	D AW N HH AA R T AH D N AH S
DOWNHEARTEDNESSES	D AW N HH AA R T AH D N AH S IH Z
DOWNSTREAM	D AW N S T R IY M
DRAGONHEAD	D R AE G AH N HH EH D
DRAGONHEADS	D R AE G AH N HH EH D Z
DRAPEABILITIES	D R EY P AH B IH L AH T EH Z
DRAPEABILITY	D R EY P AH B IH L AH T EH
DRAPEABLE	D R EY P AH B AH L
DREAD	D R EH D
DREADED	D R EH D IH D
DREADFUL	D R EH D F AH L
DREADFULLY	D R EH D F AH L IY
DREADFULNESS	D R EH D F AH L N AH S
DREADFULNESSES	D R EH D F AH L N AH S IH Z
DREADFULS	D R EH D F AH L Z
DREADING	D R EH D IH NG
DREADLOCK	D R EH D L AA K
DREADLOCKS	D R EH D L AA K S
DREADNOUGHT	D R EH D N AO T
DREADNOUGHTS	D R EH D N AO T S
DREADS	D R EH D Z
DREAM	D R IY M
DREAMED	D R IY M D
DREAMER	D R IY M ER
DREAMERS	D R IY M ER Z
DREAMFUL	D R IY M F AH L
DREAMFULLY	D R IY M F AH L IY
DREAMFULNESS	D R IY M F AH L N AH S
DREAMFULNESSES	D R IY M F AH L N AH S IH Z
DREAMIER	D R IY M IY ER
DREAMIEST	D R IY M IY AH S T
DREAMILY	D R IY M IY L IY
DREAMINESS	D R IY M IY N AH S
DREAMINESSES	D R IY M IY N AH S IH Z
DREAMING	D R IY M IH NG
DREAMLAND	D R IY M L AE N D
DREAMLANDS	D R IY M L AE N D Z
DREAMLESS	D R IY M L AH S
DREAMLESSLY	D R IY M L AH S L IY
DREAMLESSNESS	D R IY M L AH S N AH S
DREAMLESSNESSES	D R IY M L AH S N AH S IH Z
DREAMLIKE	D R IY M L AY K
DREAMS	D R IY M Z
DREAMT	D R EH M T
DREAMTIME	D R IY M T AY M
DREAMTIMES	D R IY M T AY M Z
DREAMWORLD	D R IY M W ER L D
DREAMWORLDS	D R IY M W ER L D Z
DREAMY	D R IY M IY
DREAR	D R IH ER
DREARIER	D R IH ER IY ER
DREARIES	D R IH ER IY Z
DREARIEST	D R IH ER IY AH S T
DREARILY	D R IH ER IY L IY
DREARINESS	D R IY R IY N AH S
DREARINESSES	D R IH ER IY N AH S IH Z
DREARS	D R IH ER Z
DREARY	D R IH R IY
DRIVEABILITIES	D R AY V AH B IH L AH T EH Z
DRIVEABILITY	D R AY V AH B IH L AH T EH
DRIVEABLE	D R AY V AH B AH L
DROPHEAD	D R AA P HH EH D
DROPHEADS	D R AA P HH EH D Z
DRUMBEAT	D R AH M B IY T
DRUMBEATER	D R AH M B IY T ER
DRUMBEATERS	D R AH M B IY T ER Z
DRUMBEATING	D R AH M B IY T IH NG
DRUMBEATINGS	D R AH M B IY T IH NG Z
DRUMBEATS	D R AH M B IY T S
DRUMHEAD	D R AH M HH EH D
DRUMHEADS	D R AH M HH EH D Z
DULCINEA	D AH L S IH N IY AH
DULCINEAS	D AH L S AH N IY Z
DUMBHEAD	D AH M HH EH D
DUMBHEADS	D AH M HH EH D Z
DUNDERHEAD	D AH N D AH R IY D
DUNDERHEADED	D AH N D AH R IY D AH D
DUNDERHEADS	D AH N D AH R IY D Z
DUNDREARIES	D AH N D R IH ER IY Z
DUSTHEAP	D AH S T HH IY P
DUSTHEAPS	D AH S T HH IY P S
DYEABILITIES	D AY AH B IH L AH T EH Z
DYEABILITY	D AY AH B IH L AH T EH
DYEABLE	D AY AH B AH L
DYSMENORRHEA	D IH Z M AH N AO R IY AH
DYSMENORRHEAS	D IH Z M AH N AO R IY Z
DYSPNEA	D IH S P N IY AH
DYSPNEAL	D IH S N IY AH L
DYSPNEAS	D IH S N IY Z
DYSPNOEA	D IH S N OW AH AH
DYSPNOEAS	D IH S N OW AH AH Z
EACH	IY CH
EAGER	IY G ER
EAGERER	IY G ER ER
EAGEREST	IY G ER AH S T
EAGERLY	IY G ER L IY
EAGERNESS	IY G ER N AH S
EAGERNESSES	IY G ER N AH S IH Z
EAGERS	IY G ER Z
EAGLE	IY G AH L
EAGLES	IY G AH L Z
EAGLET	IY IH JH L AH T
EAGLETS	IY G L AH T S
EAGRE	IY G AH R
EAGRES	IY G AH R Z
EALDORMAN	EH L D AO R M AH N
EALDORMEN	EH L D AO R M AH N
EANLING	IY N L AH NG
EANLINGS	IY N L AH NG Z
EAR	IY R
EAR(2)	IH R
EARACHE	IH ER EY K
EARACHES	IH ER EY K S
EARDROP	IH ER D R AA P
EARDROPS	IH ER D R AA P S
EARDRUM	IH ER D R AH M
EARDRUMS	IH ER D R AH M Z
EARED	IH R D
EARFLAP	IH ER F L AE P
EARFLAPS	IH ER F L AE P S
EARFUL	IY R F AH L
EARFULS	IH ER F AH L Z
EARING	IH ER IH NG
EARINGS	IH ER IH NG Z
EARL	ER L
EARLAP	IH ER L AE P
EARLAPS	IH ER L AE P S
EARLDOM	ER L D AH M
EARLDOMS	ER L D AH M Z
EARLESS	IH R L AH S
EARLESS(2)	IY R L AH S
EARLIER	ER L IY ER
EARLIEST	ER L IY AH S T
EARLINESS	ER L IY N AH S
EARLINESSES	ER L IY N AH S IH Z
EARLOBE	IH ER L OW B
EARLOBES	IH ER L OW B Z
EARLOCK	IH ER L AA K
EARLOCKS	IH ER L AA K S
EARLS	ER L Z
EARLSHIP	ER L SH IH P
EARLSHIPS	ER L SH IH P S
EARLY	ER L IY
EARLYWOOD	ER L IY W UH D
EARLYWOODS	ER L IY W UH D Z
EARMARK	IH R M AA R K
EARMARK(2)	IY R M AA R K
EARMARKED	IH R M AA R K T
EARMARKED(2)	IY R M AA R K T
EARMARKING	IH R M AA R K IH NG
EARMARKING(2)	IY R M AA R K IH NG
EARMARKS	IH R M AA R K S
EARMARKS(2)	IY R M AA R K S
EARMUFF	IH R M AH F
EARMUFF(2)	IY R M AH F
EARMUFFS	IH R M AH F S
EARMUFFS(2)	IY R M AH F S
EARN	ER N
EARNED	ER N D
EARNER	ER N ER
EARNERS	ER N ER Z
EARNEST	ER N IH S T
EARNESTLY	ER N AH S T L IY
EARNESTNESS	ER N AH S T N AH S
EARNESTNESSES	ER N AH S T N AH S IH Z
EARNESTS	ER N AH S T S
EARNING	ER N IH NG
EARNINGS	ER N IH NG Z
EARNS	ER N Z
EARPHONE	IH R F OW N
EARPHONE(2)	IY R F OW N
EARPHONES	IH R F OW N Z
EARPHONES(2)	IY R F OW N Z
EARPIECE	IH R P IY S
EARPIECE(2)	IY R P IY S
EARPIECES	IH R P IY S IH Z
EARPIECES(2)	IY R P IY S IH Z
EARPLUG	IH R P L AH G
EARPLUG(2)	IY R P L AH G
EARPLUGS	IH R P L AH G Z
EARPLUGS(2)	IY R P L AH G Z
EARRING	IH R IH NG
EARRING(2)	IY R IH NG
EARRINGS	IH R IH NG Z
EARRINGS(2)	IY R IH NG Z
EARS	IH R Z
EARS(2)	IY R Z
EARSHOT	IH R SH AA T
EARSHOT(2)	IY R SH AA T
EARSHOTS	IH ER SH AA T S
EARSPLITTING	IH ER S P L IH T IH NG
EARSTONE	IH ER S T OW N
EARSTONES	IH ER S T OW N Z
EARTH	ER TH
EARTHBORN	ER TH B AO R N
EARTHBOUND	ER TH B AW N D
EARTHED	ER TH T
EARTHEN	ER TH AH N
EARTHENWARE	ER TH AH N W EH R
EARTHENWARES	ER TH AH N W EH R Z
EARTHIER	ER TH IY ER
EARTHIEST	ER TH IY AH S T
EARTHILY	ER TH IY L IY
EARTHINESS	ER TH IY N AH S
EARTHINESSES	ER TH IY N AH S IH Z
EARTHING	ER TH IH NG
EARTHLIER	ER TH L IY ER
EARTHLIEST	ER TH L IY AH S T
EARTHLIGHT	ER TH L AY T
EARTHLIGHTS	ER TH L AY T S
EARTHLIKE	ER TH L AY K
EARTHLINESS	ER TH L IY N AH S
EARTHLINESSES	ER TH L IY N AH S IH Z
EARTHLING	ER TH L IH NG
EARTHLINGS	ER TH L IH NG Z
EARTHLY	ER TH L IY
EARTHMAN	ER TH M AE N
EARTHMEN	ER TH M EH N
EARTHMOVER	ER TH M UW V ER
EARTHMOVERS	ER TH M UW V ER Z
EARTHMOVING	ER TH M UW V IH NG
EARTHMOVINGS	ER TH M UW V IH NG Z
EARTHNUT	ER TH N AH T
EARTHNUTS	ER TH N AH T S
EARTHPEA	ER TH P IY
EARTHPEAS	ER TH P IY Z
EARTHQUAKE	ER TH K W EY K
EARTHQUAKES	ER TH K W EY K S
EARTHRISE	ER TH R AY Z
EARTHRISES	ER TH R IY Z IH Z
EARTHS	ER TH S
EARTHSET	ER TH S EH T
EARTHSETS	ER TH S EH T S
EARTHSHAKER	ER TH SH EY K ER
EARTHSHAKERS	ER TH SH EY K ER Z
EARTHSHAKING	ER TH SH EY K IH NG
EARTHSHAKINGLY	ER TH SH EY K IH NG L IY
EARTHSHINE	ER TH SH AY N
EARTHSHINES	ER TH SH AY N Z
EARTHSTAR	ER TH S T AA R
EARTHSTARS	ER TH S T AA R Z
EARTHWARD	ER TH W ER D
EARTHWARDS	ER TH W ER D Z
EARTHWORK	ER TH W ER K
EARTHWORKS	ER TH W ER K S
EARTHWORM	ER TH W ER M
EARTHWORMS	ER TH W ER M Z
EARTHY	ER TH IY
EARWAX	IH R W AE K S
EARWAX(2)	IY R W AE K S
EARWAXES	IH ER W AE K S IH Z
EARWIG	IH ER W IH G
EARWIGGED	IH ER W IH G D
EARWIGGING	IH ER W IH G IH NG
EARWIGS	IH ER W IH G Z
EARWITNESS	IH ER W IH T N AH S
EARWITNESSES	IH ER W IH T N AH S IH Z
EARWORM	IH ER W ER M
EARWORMS	IH ER W ER M Z
EASE	IY Z
EASED	IY Z D
EASEFUL	IY Z F AH L
EASEFULLY	IY Z F AH L IY
EASEL	IY Z AH L
EASELS	IY Z AH L Z
EASEMENT	IY Z M AH N T
EASEMENTS	IY Z M AH N T S
EASES	IY Z IH Z
EASIER	IY Z IY ER
EASIES	IY Z IY Z
EASIEST	IY Z IY AH S T
EASILY	IY Z AH L IY
EASINESS	IY Z IY N AH S
EASINESSES	IY Z IY N AH S IH Z
EASING	IY Z IH NG
EAST	IY S T
EASTBOUND	IY S T B AW N D
EASTER	IY S T ER
EASTERLIES	IY S T ER L IY Z
EASTERLY	IY S T ER L IY
EASTERN	IY S T ER N
EASTERNER	IY S T ER N ER
EASTERNERS	IY S T ER N ER Z
EASTERNMOST	IY S T ER N M OW S T
EASTERS	IY S T ER Z
EASTING	IY S T IH NG
EASTINGS	IY S T IH NG Z
EASTS	IY S T S
EASTWARD	IY S T W ER D
EASTWARDS	IY S T W ER D Z
EASY	IY Z IY
EASYGOING	IY Z IY G OW IH NG
EASYGOINGNESS	IY Z IY G OW IH NG N AH S
EASYGOINGNESSES	IY Z IY G OW IH NG N AH S IH Z
EAT	IY T
EATABLE	IY T AH B AH L
EATABLES	IY T AH B AH L Z
EATEN	IY T AH N
EATER	IY T ER
EATERIES	IY T ER IY Z
EATERS	IY T ER Z
EATERY	IY T ER IY
EATH	IY TH
EATING	IY T IH NG
EATINGS	IY T IH NG Z
EATS	IY T S
EAU	OW
EAUX	OW
EAUX(2)	OW Z
EAVE	IY V
EAVED	IY V D
EAVES	IY V Z
EAVESDROP	IY V Z D R AA P
EAVESDROPPED	IY V EH Z D R AH P T
EAVESDROPPER	IY V EH Z D R AA P AH R
EAVESDROPPERS	IY V AH Z D R AA P AH R Z
EAVESDROPPING	IY V Z D R AA P IH NG
EAVESDROPS	IY V EH Z D R AH P S
ECHINACEA	EH CH AH N EY S IY AH
ECHINACEAS	EH CH AH N AH S IY Z
ECOFREAK	EH K AH F R IY K
ECOFREAKS	EH K AH F R IY K S
EFFACEABLE	IH F EY S AH B AH L
EGGBEATER	EH G B IY T ER
EGGBEATERS	EH G B IY T ER Z
EGGHEAD	EH G HH EH D
EGGHEADED	EH G HH EH D IH D
EGGHEADEDNESS	EH G HH EH D AH D N AH S
EGGHEADEDNESSES	EH G HH EH D AH D N AH S IH Z
EGGHEADS	EH G HH EH D Z
ELECTROWEAK	AH L EH K T R OW IY K
ELODEA	AH L OW D IY AH
ELODEAS	EH L AH D IY Z
EMBRACEABLE	IH M B R EY S AH B AH L
EMPYREAL	IH M P AY ER AH L
EMPYREAN	IH M P AY R IY AH N
EMPYREANS	IH M P AH R IY N Z
ENDEAR	EH N D IY R
ENDEARED	EH N D IY R D
ENDEARING	EH N D IY R IH NG
ENDEARINGLY	EH N D IH ER IH NG L IY
ENDEARMENT	IH N D IH R M AH N T
ENDEARMENTS	EH N D IH ER M AH N T S
ENDEARS	EH N D IH ER Z
ENDEAVOR	IH N D EH V ER
ENDEAVORED	IH N D EH V ER D
ENDEAVORING	IH N D EH V ER IH NG
ENDEAVORING(2)	IH N D EH V R IH NG
ENDEAVORS	IH N D EH V ER Z
ENDEAVOUR	IH N D EH V ER
ENDEAVOURED	IH N D IY AH V OW Y AH R D
ENDEAVOURING	IH N D IY AH V OW Y AH R AH NG
ENDEAVOURS	IH N D IY AH V OW Y AH R Z
ENDLEAF	EH N D L IY F
ENDLEAVES	EH N D L IY V Z
ENDONUCLEASE	IH N D AA N AH K L IY Z
ENDONUCLEASES	IH N D AA N AH K L IY Z AH Z
ENDOSTEA	EH N D AA S T IY
ENDOSTEAL	EH N D UW S T IY L
ENDOSTEALLY	EH N D UW S T IY L IY
ENDOTRACHEAL	IH N D AA T R AE CH IY AH L
ENFORCEABILITIES	EH N F OW R S AH B IH L AH T EH Z
ENFORCEABILITY	EH N F AO R S AH B IH L IH T IY
ENFORCEABLE	EH N F AO R S AH B AH L
ENLARGEABLE	EH N L AA R JH AH B AH L
ENNEAD	IH N IY D
ENNEADIC	IH N IY D AH K
ENNEADS	IH N IY D Z
ENNEAGON	IH N IY G AH N
ENNEAGONS	IH N IY G AH N Z
ENSHEATH	EH N SH IY TH
ENSHEATHE	EH N SH IY DH
ENSHEATHED	EH N SH IY DH D
ENSHEATHES	EH N SH IY DH Z
ENSHEATHING	EH N SH IY DH IH NG
ENSHEATHS	EH N SH IY TH S
ENTREAT	EH N T R IY T
ENTREATED	EH N T R IY T IH D
ENTREATIES	EH N T R IY T IY Z
ENTREATING	EH N T R IY T IH NG
ENTREATINGLY	EH N T R IY T IH NG L IY
ENTREATMENT	EH N T R IY T M AH N T
ENTREATMENTS	EH N T R IY T M AH N T S
ENTREATS	EH N T R IY T S
ENTREATY	EH N T R IY T IY
ENUCLEATE	AH N AH K L IY EY T
ENUCLEATED	AH N AH K L IY EY T AH D
ENUCLEATES	AH N AH K L IY EY T S
ENUCLEATING	AH N AH K L IY EY T AH NG
ENUCLEATION	AH N AH K L IY EY SH AH N
ENUCLEATIONS	AH N AH K L IY T IY AH N Z
ENWREATHE	EH N R IY DH
ENWREATHED	EH N R IY DH D
ENWREATHES	EH N R IY DH Z
ENWREATHING	EH N R IY DH IH NG
EPICUREAN	EH P AH K Y UH R IY AH N
EPICUREANISM	EH P IH K Y UH R IY AH N IH Z AH M
EPICUREANISMS	EH P IH K Y UH R IY AH N IH Z AH M Z
EPICUREANS	EH P IH K Y UH R IY AH N Z
EPIGEAL	AH P IH JH IY AH L
EPIGEAN	AH P AY JH IY AH N
EPIPHYSEAL	EH P AH F IH Z IY AH L
ESCHEAT	IH S CH IY T
ESCHEATABLE	IH S CH IY T AH B AH L
ESCHEATED	IH S CH IY T IH D
ESCHEATING	IH S CH IY T IH NG
ESCHEATS	IH S CH IY T S
ESOPHAGEAL	EH S AH F IH JH IY AH L
ESTREAT	EH S T R IY T
ESTREATED	EH S T R IY EY T AH D
ESTREATING	EH S T R IY EY T AH NG
ESTREATS	EH S T R IY EY T S
ETHEREAL	IH TH IH R IY AH L
ETHEREALITIES	IH TH IH R IY AH L AH T IY Z
ETHEREALITY	IH TH IH R IY AH L AH T IY
ETHEREALIZATION	IH TH IH R IY AH L AH Z EY SH AH N
ETHEREALIZATIONS	IH TH IH R IY AH L AH Z EY SH AH N Z
ETHEREALIZE	IH TH IH R IY AH L AY Z
ETHEREALIZED	IH TH IH R IY AH L AY Z D
ETHEREALIZES	IH TH IH R IY AH L AY Z IH Z
ETHEREALIZING	IH TH IH R IY AH L AY Z IH NG
ETHEREALLY	IH TH IH R IY AH L IY
ETHEREALNESS	IH TH IH R IY AH L N AH S
ETHEREALNESSES	IH TH IH R IY AH L N AH S IH Z
EUCLIDEAN	Y UW K L AY D IY AH N
EUPNEA	Y UW P N IY AH
EUPNEAS	Y UW P N IY Z
EUPNOEA	Y UW P N OW AH AH
EUPNOEAS	Y UW P N OW AH AH Z
EXCHANGEABILITIES	IH K S CH EY N JH AH B IH L AH T EH Z
EXCHANGEABILITY	IH K S CH EY N JH AH B IH L AH T EH
EXCHANGEABLE	IH K S CH EY N JH AH B AH L
EXONUCLEASE	IH G Z AA N AH K L IY Z
EXONUCLEASES	IH G Z AA N AH K L IY Z AH Z
EXTRACORPOREAL	EH K S T R AH K AO R P OW R IY AH L
EXTRACORPOREALLY	EH K S T R AH K AO R P OW R IY AH L IY
EXTRANUCLEAR	EH K S T R AH N UW K L IY ER
EYEABLE	AY AH B AH L
EYEBEAM	AY B IY M
EYEBEAMS	AY B IY M Z
EYEWEAR	AY W EH R
FACEABLE	F EY S AH B AH L
FADEAWAY	F EY D AH W EY
FADEAWAYS	F EY D AH W EY Z
FAINEANT	F EY N IY AH N T
FAINEANTS	F EY N IY N T S
FAINTHEARTED	F EY N T HH AA R T IH D
FAINTHEARTEDLY	F EY N T HH AA R T AH D L IY
FAINTHEARTEDNESS	F EY N T HH AA R T AH D N AH S
FAINTHEARTEDNESSES	F EY N T HH AA R T AH D N AH S IH Z
FAIRLEAD	F EH R L IY D
FAIRLEADER	F EH R L IY D ER
FAIRLEADERS	F EH R L IY D ER Z
FAIRLEADS	F EH R L IY D Z
FARMSTEAD	F AA R M S T EH D
FARMSTEADS	F AA R M S T EH D Z
FATHEAD	F AE T HH EH D
FATHEADED	F AE T HH EH D IH D
FATHEADEDLY	F AE T HH EH D AH D L IY
FATHEADEDNESS	F AE T HH EH D AH D N AH S
FATHEADEDNESSES	F AE T HH EH D AH D N AH S IH Z
FATHEADS	F AE T HH EH D Z
FEAL	F IY AH L
FEALTIES	F IY AH L T IY Z
FEALTY	F IY AH L T IY
FEALTY(2)	F IY L T IY
FEAR	F IH R
FEARED	F IH R D
FEARER	F IH ER ER
FEARERS	F IH ER ER Z
FEARFUL	F IH R F AH L
FEARFULLER	F IH ER F AH L ER
FEARFULLEST	F IH ER F AH L AH S T
FEARFULLY	F IH ER F AH L IY
FEARFULNESS	F IH ER F AH L N AH S
FEARFULNESSES	F IH ER F AH L N AH S IH Z
FEARING	F IH R IH NG
FEARLESS	F IH R L AH S
FEARLESSLY	F IH ER L AH S L IY
FEARLESSNESS	F IH ER L AH S N AH S
FEARLESSNESSES	F IH ER L AH S N AH S IH Z
FEARS	F IH R Z
FEARSOME	F IH R S AH M
FEARSOMELY	F IH ER S AH M L IY
FEARSOMENESS	F IH ER S AH M N AH S
FEARSOMENESSES	F IH ER S AH M N AH S IH Z
FEASANCE	F IY Z AH N S
FEASANCES	F IY Z AH N S IH Z
FEASE	F IY Z
FEASED	F IY Z D
FEASES	F IY Z AH Z
FEASIBILITIES	F IY Z AH B IH L AH T IY Z
FEASIBILITY	F IY Z AH B IH L AH T IY
FEASIBLE	F IY Z AH B AH L
FEASIBLY	F IY Z AH B L IY
FEASING	F IY Z AH NG
FEAST	F IY S T
FEASTED	F IY S T IH D
FEASTER	F IY S T ER
FEASTERS	F IY S T ER Z
FEASTFUL	F IY S T F AH L
FEASTING	F IY S T IH NG
FEASTS	F IY S T S
FEAT	F IY T
FEATER	F IY T ER
FEATEST	F IY T AH S T
FEATHER	F EH DH ER
FEATHERBED	F EH DH ER B EH D
FEATHERBEDDED	F EH DH ER B EH D IH D
FEATHERBEDDING	F EH DH ER B EH D IH NG
FEATHERBEDDINGS	F EH DH ER B EH D IH NG Z
FEATHERBEDS	F EH DH ER B EH D Z
FEATHERBRAIN	F EH DH ER B R EY N
FEATHERBRAINED	F EH DH ER B R EY N D
FEATHERBRAINS	F EH DH ER B R EY N Z
FEATHERED	F EH DH ER D
FEATHEREDGE	F EH DH ER EH JH
FEATHEREDGED	F EH DH ER EH JH D
FEATHEREDGES	F EH DH ER EH JH IH Z
FEATHEREDGING	F EH DH ER EH JH IH NG
FEATHERHEAD	F EH DH ER HH EH D
FEATHERHEADED	F EH DH ER HH EH D IH D
FEATHERHEADS	F EH DH ER HH EH D Z
FEATHERIER	F EH DH ER IY ER
FEATHERIEST	F EH DH ER IY AH S T
FEATHERING	F EH DH ER IH NG
FEATHERING(2)	F EH DH R IH NG
FEATHERINGS	F EH DH ER IH NG Z
FEATHERLESS	F EH DH ER L AH S
FEATHERLIGHT	F EH DH ER L AY T
FEATHERS	F EH DH ER Z
FEATHERSTITCH	F EH DH ER S T IH CH
FEATHERSTITCHED	F EH DH ER S T IH CH T
FEATHERSTITCHES	F EH DH ER S T IH CH IH Z
FEATHERSTITCHING	F EH DH ER S T IH CH IH NG
FEATHERWEIGHT	F EH DH ER W EY T
FEATHERWEIGHTS	F EH DH ER W EY T S
FEATHERY	F EH DH ER IY
FEATHERY(2)	F EH DH R IY
FEATLIER	F IY T L IY ER
FEATLIEST	F IY T L IY AH S T
FEATLY	F IY T L IY
FEATS	F IY T S
FEATURE	F IY CH ER
FEATURED	F IY CH ER D
FEATURELESS	F IY CH ER L AH S
FEATURES	F IY CH ER Z
FEATURETTE	F IY CH ER EH T
FEATURETTES	F IY CH ER EH T S
FEATURING	F IY CH ER IH NG
FEAZE	F IY Z
FEAZED	F IY Z D
FEAZES	F IY Z AH Z
FEAZING	F IY Z AH NG
FIDDLEHEAD	F IH D AH L HH EH D
FIDDLEHEADS	F IH D AH L HH EH D Z
FIGEATER	F IH G IY T ER
FIGEATERS	F IH G IY T ER Z
FIGUREHEAD	F IH G Y ER HH EH D
FIGUREHEADS	F IH G Y ER HH EH D Z
FILEABLE	F AY L AH B AH L
FINEABLE	F AY N AH B AH L
FIREABLE	F AY ER AH B AH L
FIREARM	F AY ER AA R M
FIREARM(2)	F AY R AA R M
FIREARMS	F AY ER AA R M Z
FIREARMS(2)	F AY R AA R M Z
FIREBREAK	F AY ER B R EY K
FIREBREAKS	F AY ER B R EY K S
FISHMEAL	F IH SH M IY L
FISHMEALS	F IH SH M IY L Z
FLAMBEAU	F L AE M B IY UW
FLAMBEAUS	F L AE M B IY AH S
FLAMBEAUX	F L AE M B IY AH K S
FLATHEAD	F L AE T HH EH D
FLATHEADS	F L AE T HH EH D Z
FLEA	F L IY
FLEABAG	F L IY B AE G
FLEABAGS	F L IY B AE G Z
FLEABANE	F L IY B EY N
FLEABANES	F L IY B EY N Z
FLEABITE	F L IY B AY T
FLEABITES	F L IY B AY T S
FLEAHOPPER	F L IY HH AA P ER
FLEAHOPPERS	F L IY HH AA P ER Z
FLEAM	F L IY M
FLEAMS	F L IY M Z
FLEAPIT	F L IY P IH T
FLEAPITS	F L IY P IH T S
FLEAS	F L IY Z
FLEAWORT	F L IY W AO R T
FLEAWORTS	F L IY W AO R T S
FLYLEAF	F L AY L IY F
FLYLEAVES	F L AY L IY V Z
FOOTGEAR	F UH T G IH ER
FOOTGEARS	F UH T G IH ER Z
FOOTWEAR	F UH T W EH R
FORBEAR	F AO R B AE ER
FORBEARANCE	F AO R B EH R AH N S
FORBEARANCES	F AO R B AE ER AH N S IH Z
FORBEARER	F AO R B AE ER ER
FORBEARERS	F AO R B AE ER ER Z
FORBEARING	F AO R B AE ER IH NG
FORBEARS	F AO R B AE ER Z
FORCEMEAT	F OW R S M IY T
FORCEMEATS	F OW R S M IY T S
FOREARM	F AO R AA R M
FOREARMED	F OW R AA R M D
FOREARMING	F OW R AA R M IH NG
FOREARMS	F AO R AA R M Z
FOREBEAR	F AO R B EH R
FOREBEARS	F AO R B EH R Z
FOREHEAD	F AO R HH EH D
FOREHEADS	F AO R HH EH D Z
FOREPEAK	F OW R P IY K
FOREPEAKS	F OW R P IY K S
FOREREACH	F OW R IY CH
FOREREACHED	F OW R IY CH T
FOREREACHES	F OW R IY CH IH Z
