CE	S IY
CETOLOGY	S AH T AA L AH JH IY
CEVICHE	S EH V AH CH
CEVICHES	S EH V AH CH AH Z
CHALCEDONIC	CH AE L S AH D AH N AH K
CHALCEDONIES	CH AE L S EH D AH N AY Z
CHALCEDONY	CH AE L S AH D OW N IY
CHALICE	CH AE L IH S
CHALICED	CH AE L AH S T
CHALICES	CH AE L AH S
CHANCE	CH AE N S
CHANCED	CH AE N S T
CHANCEFUL	CH AE N S F AH L
CHANCEL	CH AE N S AH L
CHANCELLERIES	CH AE N S AH L AH R IY Z
CHANCELLERY	CH AE N S AH L AH R IY
CHANCELLOR	CH AE N S AH L ER
CHANCELLOR(2)	CH AE N S L ER
CHANCELLORIES	CH AE N S AH L ER IY Z
CHANCELLORS	CH AE N S AH L ER Z
CHANCELLORSHIP	CH AE N S AH L ER SH IH P
CHANCELLORSHIPS	CH AE N S AH L ER SH IH P S
CHANCELLORY	CH AE N S AH L ER IY
CHANCELS	CH AE N S AH L Z
CHANCERIES	CH AE N S AH R IY Z
CHANCERY	CH AE N S ER IY
CHANCES	CH AE N S AH Z
CHANCES(2)	CH AE N S IH Z
CHATOYANCE	CH AE T OY AH N S
CHATOYANCES	CH AE T OY AE N S AH Z
CHELICERA	CH AH L IH S AH R AH
CHELICERAE	CH AH L IH S AH R IY
CHELICERAL	CH AH L IH S AH R AH L
CHEMILUMINESCENCE	K EH M AH L AH M AH N EH S AH N S
CHEMILUMINESCENCES	K EH M AH L AH M AH N AH S EH N S AH Z
CHEMILUMINESCENT	K EH M AH L AH M AH N EH S AH N T
CHEMORECEPTION	K AH M AO R AH S EH P AH N
CHEMORECEPTIONS	K EH M AH R AH S EH P T IY AH N Z
CHEMORECEPTIVE	K AH M AO R AH S EH P T AH V
CHEMORECEPTOR	K AH M AO R AH S EH P T AH R
CHEMORECEPTORS	K EH M AH R AH S EH P T AH R Z
CHICER	SH IY K ER
CHICEST	SH IY K AH S T
CHIMNEYPIECE	CH IH M N IY P IY S
CHIMNEYPIECES	CH IH M N IY P IY S IH Z
CHIROMANCER	CH IH R AH M AE N S AH R
CHIROMANCERS	CH IH R AH M AE N S AH R Z
CHOICE	CH OY S
CHOICELY	CH OY S L IY
CHOICENESS	CH OY S N AH S
CHOICENESSES	CH OY S N AH S IH Z
CHOICER	CH OY S ER
CHOICES	CH OY S AH Z
CHOICES(2)	CH OY S IH Z
CHOICEST	CH OY S AH S T
CHROMINANCE	K R OW M AH N AH N S
CHROMINANCES	K R AA M AH N AE N S AH Z
CHROMOCENTER	K R AA M AH S EH N T AH R
CHROMOCENTERS	K R AA M AH S EH N T AH R Z
CICATRICES	S AH K AE T R AH S
CICELIES	S IH S AH L AY Z
CICELY	S IH S AH L IY
CICERO	S IH S ER OW
CICERONE	S IH S ER OW N
CICERONES	S IH S AH R OW N Z
CICERONI	S AH S EH R AH N IY
CICEROS	S IH S AH R AH Z
CILICE	S IH L AH S
CILICES	S IH L AH S
CIMICES	S IH M AH S
CINQUECENTIST	S IH NG K W AH S EH N T AH S T
CINQUECENTISTI	S IH NG K W AH S AH N T IH S T IY
CINQUECENTISTS	S IH NG K W AH S EH N T AH S T S
CINQUECENTO	S IH NG K W AH S EH N T OW
CINQUECENTOS	S IH NG K W AH S EH N T AH Z
CIRCUMCENTER	S ER K AH M S EH N T ER
CIRCUMCENTERS	S ER K AH M S EH N T ER Z
CIRCUMFERENCE	S ER K AH M F R AH N S
CIRCUMFERENCES	S ER K AH M F R AH N S IH Z
CIRCUMJACENT	S AH R K AH M JH AH S AH N T
CIRCUMSTANCE	S ER K AH M S T AE N S
CIRCUMSTANCED	S ER K AH M S T AE N S T
CIRCUMSTANCES	S ER K AH M S T AE N S AH Z
CIRCUMSTANCES(2)	S ER K AH M S T AE N S IH Z
CLADOCERAN	K L AH D AA S AH R AH N
CLADOCERANS	K L AH D AA S AH R AH N Z
CLAIRAUDIENCE	K L AE AH R AO D IY AH N S
CLAIRAUDIENCES	K L AE AH R AO D IY EH N S AH Z
CLAIRVOYANCE	K L EH R V OY AH N S
CLAIRVOYANCES	K L AE ER V OY AH N S IH Z
CLARENCE	K L EH R AH N S
CLARENCES	K L AE R AH N S IH Z
CLEARANCE	K L IH R AH N S
CLEARANCES	K L IH R AH N S IH Z
COACERVATE	K OW AE S AH R V EY T
COACERVATES	K OW AE S AH R V EY T S
COACERVATION	K OW AE S AH R V EY SH AH N
COACERVATIONS	K OW AE S AH R V EY T IY AH N Z
COADJUTRICES	K OW AE JH AH T R AH S
COALESCE	K OW AH L EH S
COALESCED	K OW AH L EH S T
COALESCENCE	K OW AH L EH S AH N S
COALESCENCES	K OW AH L EH S AH N S IH Z
COALESCENT	K OW AH L EH S AH N T
COALESCES	K OW AH L EH S IH Z
COCKATRICE	K AA K AE T R AH S
COCKATRICES	K AA K AE T R AH S
CODEPENDENCE	K OW D IH P EH N D AH N S
CODEPENDENCES	K OW D IH P EH N D AH N S IH Z
CODICES	K OW D AY S IH Z
CODPIECE	K AA D P IY S
CODPIECES	K AA D P IY S IH Z
COERCE	K OW ER S
COERCED	K OW ER S T
COERCER	K OW ER S ER
COERCERS	K OW ER S ER Z
COERCES	K OW ER S IH Z
COEXISTENCE	K OW IH G Z IH S T AH N S
COEXISTENCES	K OW EH G Z IH S T AH N S IH Z
COFINANCE	K OW F AH N AE N S
COFINANCED	K OW F AH N AE N S T
COFINANCES	K OW F AH N AE N S IH Z
COGNIZANCE	K AA G N AH Z AH N S
COGNIZANCES	K AA G N AH Z AH N S IH Z
COGNOSCENTE	K AH N AA S AH N T
COGNOSCENTI	K AA G N AO SH EH N T IY
COHERENCE	K OW HH IH R AH N S
COHERENCES	K OW HH IH ER AH N S IH Z
COINCIDENCE	K OW IH N S IH D AH N S
COINCIDENCES	K OW IH N S AH D AH N S IH Z
COINSURANCE	K OW IH N SH ER AH N S
COINSURANCES	K OW IH N SH UH R AH N S IH Z
COMEUPPANCE	K AH M AH P AH N S
COMEUPPANCES	K AH M AH P AH N S IH Z
COMMENCE	K AH M EH N S
COMMENCED	K AH M EH N S T
COMMENCEMENT	K AH M EH N S M AH N T
COMMENCEMENTS	K AH M EH N S M AH N T S
COMMENCER	K AH M EH N S ER
COMMENCERS	K AH M EH N S ER Z
COMMENCES	K AH M EH N S AH Z
COMMERCE	K AA M ER S
COMMERCED	K AA M ER S T
COMMERCES	K AA M ER S IH Z
COMMONPLACE	K AA M AH N P L EY S
COMMONPLACENESS	K AA M AH N P L EY S N AH S
COMMONPLACENESSES	K AA M AH N P L EY S N AH S IH Z
COMMONPLACES	K AA M AH N P L EY S IH Z
COMPETENCE	K AA M P AH T IH N S
COMPETENCES	K AA M P AH T AH N S IH Z
COMPLACENCE	K AH M P L EY S AH N S
COMPLACENCES	K AH M P L EY S AH N S IH Z
COMPLACENCIES	K AH M P L EY S AH N S IY Z
COMPLACENCY	K AH M P L EY S AH N S IY
COMPLACENT	K AH M P L EY S AH N T
COMPLACENTLY	K AH M P L EY S AH N T L IY
COMPLAISANCE	K AH M P L EY S AH N S
COMPLAISANCES	K AH M P L EY S AH N S IH Z
COMPLIANCE	K AH M P L AY AH N S
COMPLIANCES	K AH M P L AY AH N S IH Z
COMPLICE	K AA M P L AH S
COMPLICES	K AA M P L AH S
CONCEAL	K AH N S IY L
CONCEALABLE	K AH N S IY L AH B AH L
CONCEALED	K AH N S IY L D
CONCEALER	K AH N S IY L ER
CONCEALERS	K AH N S IY L ER Z
CONCEALING	K AH N S IY L IH NG
CONCEALINGLY	K AH N S IY L IH NG L IY
CONCEALMENT	K AH N S IY L M AH N T
CONCEALMENTS	K AH N S IY L M AH N T S
CONCEALS	K AH N S IY L Z
CONCEDE	K AH N S IY D
CONCEDED	K AH N S IY D IH D
CONCEDEDLY	K AH N S IY D AH D L IY
CONCEDER	K AH N S IY D ER
CONCEDERS	K AH N S IY D ER Z
CONCEDES	K AH N S IY D Z
CONCEDING	K AH N S IY D IH NG
CONCEIT	K AH N S IY T
CONCEITED	K AH N S IY T AH D
CONCEITEDLY	K AH N S IY T AH D L IY
CONCEITEDNESS	K AH N S IY T AH D N AH S
CONCEITEDNESSES	K AH N S IY T AH D N AH S IH Z
CONCEITING	K AH N S IY T IH NG
CONCEITS	K AH N S IY T S
CONCEIVABILITIES	K AH N S IY V AH B IH L AH T EH Z
CONCEIVABILITY	K AH N S IY V AH B IH L AH T EH
CONCEIVABLE	K AH N S IY V AH B AH L
CONCEIVABLENESS	K AH N S IY V AH B AH L N AH S
CONCEIVABLENESSES	K AH N S IY V AH B AH L N AH S IH Z
CONCEIVABLY	K AH N S IY V AH B L IY
CONCEIVE	K AH N S IY V
CONCEIVED	K AH N S IY V D
CONCEIVER	K AH N S IY V ER
CONCEIVERS	K AH N S IY V ER Z
CONCEIVES	K AH N S IY V Z
CONCEIVING	K AH N S IY V IH NG
CONCELEBRANT	K AH N S EH L AH B R AH N T
CONCELEBRANTS	K AH N S EH L AH B R AH N T S
CONCELEBRATE	K AH N S EH L AH B R AH T
CONCELEBRATED	K AH N S EH L AH B R EY T IH D
CONCELEBRATES	K AH N S EH L AH B R AH T S
CONCELEBRATING	K AH N S EH L AH B R EY T IH NG
CONCELEBRATION	K AH N S EH L AH B R EY SH AH N
CONCELEBRATIONS	K AH N S EH L AH B R EY SH AH N Z
CONCENT	K AH N S EH N T
CONCENTER	K AH N S EH N T ER
CONCENTERED	K AH N S EH N T ER D
CONCENTERING	K AH N S EH N T ER IH NG
CONCENTERS	K AH N S EH N T ER Z
CONCENTRATE	K AA N S AH N T R EY T
CONCENTRATED	K AA N S AH N T R EY T AH D
CONCENTRATED(2)	K AO N S AH N T R EY T IH D
CONCENTRATEDLY	K AA N S AH N T R EY T AH D L IY
CONCENTRATES	K AA N S AH N T R EY T S
CONCENTRATING	K AA N S AH N T R EY T IH NG
CONCENTRATION	K AA N S AH N T R EY SH AH N
CONCENTRATIONS	K AA N S AH N T R EY SH AH N Z
CONCENTRATIVE	K AA N S AH N T R EY T IH V
CONCENTRATOR	K AA N S AH N T R EY T ER
CONCENTRATORS	K AA N S AH N T R EY T ER Z
CONCENTRIC	K AH N S EH N T R IH K
CONCENTRICALLY	K AH N S EH N T R IH K AH L IY
CONCENTRICITIES	K AH N S EH N T R IH K AH T IY Z
CONCENTRICITY	K AH N S EH N T R IH K AH T IY
CONCENTS	K AH N S EH N T S
CONCEPT	K AA N S EH P T
CONCEPTACLE	K AA N S EH P T AH K AH L
CONCEPTACLES	K AA N S EH P T AH K AH L Z
CONCEPTION	K AH N S EH P SH AH N
CONCEPTIONAL	K AA N S EH P SH AH N AH L
CONCEPTIONS	K AH N S EH P SH AH N Z
CONCEPTIVE	K AA N S EH P T IH V
CONCEPTS	K AA N S EH P T S
CONCEPTS(2)	K AA N S EH P S
CONCEPTUAL	K AH N S EH P CH UW AH L
CONCEPTUALISE	K AA N S EH P T Y UW AH L AY Z
CONCEPTUALISED	K AH N S EH P CH AH W AH L IY Z D
CONCEPTUALISES	K AH N S EH P CH AH W AH L IY Z IH Z
CONCEPTUALISING	K AH N S EH P CH AH W AH L IY Z IH NG
CONCEPTUALISM	K AH N S EH P CH AH W AH L IH Z AH M
CONCEPTUALISMS	K AH N S EH P CH AH W AH L IH Z AH M Z
CONCEPTUALIST	K AH N S EH P CH AH W AH L IH S T
CONCEPTUALISTIC	K AH N S EH P CH AH W AH L IH S T IH K
CONCEPTUALISTICALLY	K AH N S EH P CH AH W AH L IH S T IH K AH L IY
CONCEPTUALISTS	K AH N S EH P CH AH W AH L IH S T S
CONCEPTUALITIES	K AH N S EH P CH AH W AH L AH T IY Z
CONCEPTUALITY	K AH N S EH P CH AH W AH L AH T IY
CONCEPTUALIZATION	K AH N S EH P CH W AH L IH Z EY SH AH N
CONCEPTUALIZATIONS	K AH N S EH P CH AH W AH L AH Z EY SH AH N Z
CONCEPTUALIZE	K AH N S EH P CH AH W AH L AY Z
CONCEPTUALIZED	K AH N S EH P CH AH W AH L AY Z D
CONCEPTUALIZER	K AH N S EH P CH AH W AH L AY Z ER
CONCEPTUALIZERS	K AH N S EH P CH AH W AH L AY Z ER Z
CONCEPTUALIZES	K AH N S EH P CH AH W AH L AY Z IH Z
CONCEPTUALIZING	K AH N S EH P CH AH W AH L AY Z IH NG
CONCEPTUALLY	K AH N S EH P CH UW AH L IY
CONCEPTUS	K AA N S EH P T AH S
CONCEPTUSES	K AA N S EH P T Y UW S IH Z
CONCERN	K AH N S ER N
CONCERNED	K AH N S ER N D
CONCERNING	K AH N S ER N IH NG
CONCERNMENT	K AH N S ER N M AH N T
CONCERNMENTS	K AH N S ER N M AH N T S
CONCERNS	K AH N S ER N Z
CONCERT	K AA N S ER T
CONCERT(2)	K AH N S ER T
CONCERTED	K AH N S ER T AH D
CONCERTED(2)	K AH N S ER T IH D
CONCERTEDLY	K AH N S ER T AH D L IY
CONCERTEDNESS	K AH N S ER T AH D N AH S
CONCERTEDNESSES	K AH N S ER T AH D N AH S IH Z
CONCERTGOER	K AH N S ER T G OW ER
CONCERTGOERS	K AH N S ER T G OW ER Z
CONCERTGOING	K AH N S ER T G OW IH NG
CONCERTGOINGS	K AH N S ER T G OW IH NG Z
CONCERTI	K AH N CH EH R T IY
CONCERTINA	K AA N S ER T IY N AH
CONCERTINAS	K AA N S ER T IY N AH Z
CONCERTING	K AH N S ER T IH NG
CONCERTINI	K AA N S AH R T AH N IY
CONCERTINO	K AA N S AH R T AH N OW
CONCERTINOS	K AH N S ER T IH N AA S
CONCERTIZE	K AH N S ER T AY Z
CONCERTIZED	K AH N S ER T AY Z D
CONCERTIZES	K AH N S ER T AY Z IH Z
CONCERTIZING	K AH N S ER T AY Z IH NG
CONCERTMASTER	K AA N S ER T M AE S T ER
CONCERTMASTERS	K AH N S ER T M AE S T ER Z
CONCERTMEISTER	K AA N S AH R T M IY S T AH R
CONCERTMEISTERS	K AA N S AH R T M IY S T AH R Z
CONCERTO	K AH N CH EH R T OW
CONCERTOS	K AH N CH EH R T OW Z
CONCERTS	K AA N S ER T S
CONCERTS(2)	K AH N S ER T S
CONCESSION	K AH N S EH SH AH N
CONCESSIONAIRE	K AH N S EH SH AH N EH R
CONCESSIONAIRES	K AH N S EH SH AH N EH R Z
CONCESSIONAL	K AH N S EH SH AH N AH L
CONCESSIONARY	K AH N S EH SH AH N EH R IY
CONCESSIONER	K AH N S EH SH AH N ER
CONCESSIONERS	K AH N S EH SH AH N ER Z
CONCESSIONS	K AH N S EH SH AH N Z
CONCESSIVE	K AH N S EH S IH V
CONCESSIVELY	K AH N S EH S IH V L IY
CONCOMITANCE	K AH N K OW M AY T AH N S
CONCOMITANCES	K AH N K OW M AY T AH N S IH Z
CONCORDANCE	K AH N K AO R D AH N S
CONCORDANCES	K AH N K AO R D AH N S IH Z
CONCRESCENCE	K AH N K R EH S AH N S
CONCRESCENCES	K AH N K R EH S AH N S IH Z
CONCRESCENT	K AH N K R EH S AH N T
CONCUPISCENCE	K AA N K Y AH P IH S AH N S
CONCUPISCENCES	K AA N K Y AH P IH S EH N S AH Z
CONCUPISCENT	K AH N K AH P IY Z S EH N T
CONCURRENCE	K AH N K ER AH N S
CONCURRENCES	K AH N K ER AH N S IH Z
CONDESCEND	K AA N D IH S EH N D
CONDESCENDED	K AA N D IH S EH N D IH D
CONDESCENDENCE	K AA N D IH S EH N D AH N S
CONDESCENDENCES	K AA N D IH S EH N D AH N S IH Z
CONDESCENDING	K AA N D IH S EH N D IH NG
CONDESCENDINGLY	K AA N D IH S EH N D IH NG L IY
CONDESCENDS	K AA N D IH S EH N D Z
CONDESCENSION	K AA N D AH S EH N SH AH N
CONDESCENSIONS	K AA N D IH S EH N CH AH N Z
CONDOLENCE	K AH N D OW L AH N S
CONDOLENCES	K AH N D OW L AH N S AH Z
CONDUCE	K AH N D UW S
CONDUCED	K AH N D UW S T
CONDUCER	K AH N D UW S ER
CONDUCERS	K AH N D UW S ER Z
CONDUCES	K AH N D UW S IH Z
CONDUCTANCE	K AA N D AH K T AH N S
CONDUCTANCES	K AA N D AH K T AH N S IH Z
CONFERENCE	K AA N F ER AH N S
CONFERENCE(2)	K AA N F R AH N S
CONFERENCES	K AA N F ER AH N S AH Z
CONFERENCES(2)	K AA N F R AH N S AH Z
CONFERRENCE	K AH N F ER AH N S
CONFERRENCES	K AH N F ER AH N S IH Z
CONFIDENCE	K AA N F AH D EH N S
CONFIDENCES	K AA N F AH D EH N S IH Z
CONFLUENCE	K AA N F L UW AH N S
CONFLUENCES	K AH N F L UW AH N S IH Z
CONFORMANCE	K AH N F AO R M AH N S
CONFORMANCES	K AH N F AO R M AH N S IH Z
CONGRUENCE	K AO N G R UW AH N S
CONGRUENCES	K AH N G R UW AH N S IH Z
CONNIVANCE	K AH N AY V AH N S
CONNIVANCES	K AH N AY V AH N S IH Z
CONSCIENCE	K AA N SH AH N S
CONSCIENCELESS	K AA N CH AH N S L AH S
CONSCIENCES	K AA N CH IH N S IH Z
CONSEQUENCE	K AA N S AH K W AH N S
CONSEQUENCES	K AA N S AH K W EH N S AH Z
CONSISTENCE	K AH N S IH S T AH N S
CONSISTENCES	K AH N S IH S T AH N S IH Z
CONSONANCE	K AA N S AH N AH N S
CONSONANCES	K AA N S AH N AH N S IH Z
CONTINENCE	K AA N T AH N AH N S
CONTINENCES	K AA N T AH N AH N S IH Z
CONTINGENCE	K AH N T IH N JH AH N S
CONTINGENCES	K AH N T IH N JH AH N S IH Z
CONTINUANCE	K AH N T IH N Y UW AH N S
CONTINUANCES	K AH N T IH N Y UW AH N S IH Z
CONTRACEPTION	K AA N T R AH S EH P SH AH N
CONTRACEPTIONS	K AA N T R AH S EH P SH AH N Z
CONTRACEPTIVE	K AA N T R AH S EH P T IH V
CONTRACEPTIVES	K AA N T R AH S EH P T IH V Z
CONTRIVANCE	K AH N T R AY V AH N S
CONTRIVANCES	K AH N T R AY V AH N S IH Z
CONVALESCE	K AA N V AH L EH S
CONVALESCED	K AA N V AH L EH S T
CONVALESCENCE	K AA N V AH L EH S AH N S
CONVALESCENCES	K AA N V AH L EH S AH N S IH Z
CONVALESCENT	K AA N V AH L EH S AH N T
CONVALESCENTS	K AA N V AH L EH S AH N T S
CONVALESCES	K AA N V AH L EH S IH Z
CONVENIENCE	K AH N V IY N Y AH N S
CONVENIENCES	K AH N V IY N Y AH N S IH Z
CONVERGENCE	K AH N V ER JH AH N S
CONVERGENCES	K AH N V ER JH AH N S IH Z
CONVERSANCE	K AH N V ER S AH N S
CONVERSANCES	K AH N V ER S AH N S IH Z
CONVEYANCE	K AH N V EY AH N S
CONVEYANCER	K AH N V EY AH N S ER
CONVEYANCERS	K AH N V EY AH N S ER Z
CONVEYANCES	K AH N V EY AH N S IH Z
CONVINCE	K AH N V IH N S
CONVINCED	K AH N V IH N S T
CONVINCER	K AH N V IH N S ER
CONVINCERS	K AH N V IH N S ER Z
CONVINCES	K AH N V IH N S IH Z
COPACETIC	K OW P AE S AH T AH K
COPARCENARIES	K AA P AA R K AH N EH R IY Z
COPARCENARY	K AA P AA R K AH N EH R IY
COPARCENER	K AA P AA R K AH N ER
COPARCENERS	K AA P AA R K AH N ER Z
COPPICE	K AA P AH S
COPPICED	K AA P IH K S K T
COPPICES	K AA P IH K S IH Z
COPRINCE	K OW P R IH N S
COPRINCES	K OW P R IH N S IH Z
COPROCESSING	K OW P R AA S EH S IH NG
COPROCESSINGS	K OW P R AA S EH S IH NG Z
COPROCESSOR	K OW P R AA S EH S ER
COPROCESSORS	K OW P R AA S EH S ER Z
COPRODUCE	K OW P R AH D UW S
COPRODUCED	K OW P R AH D UW S T
COPRODUCER	K OW P R AH D UW S ER
COPRODUCERS	K OW P R AH D UW S ER Z
COPRODUCES	K OW P R AH D UW S IH Z
CORIACEOUS	K OW R AY AH S IY AH S
CORNICE	K AO R N AY S
CORNICED	K AO R N IH K S T
CORNICES	K AO R N IH K S IH Z
CORPULENCE	K AO R P Y AH L AH N S
CORPULENCES	K AO R P Y AH L AH N S IH Z
CORRESPONDENCE	K AO R AH S P AA N D AH N S
CORRESPONDENCES	K AO R AH S P AA N D AH N S IH Z
CORTICES	K AO R T AH S
COTRANSDUCE	K OW T R AE N S D UW S
COTRANSDUCED	K OW T R AE N S D UW S T
COTRANSDUCES	K OW T R AE N S D UW S IH Z
COUNTENANCE	K AW N T AH N AH N S
COUNTENANCED	K AW N T AH N AH N S T
COUNTENANCER	K AW N T AH N AH N S ER
COUNTENANCERS	K AW N T AH N AH N S ER Z
COUNTENANCES	K AW N T AH N AH N S IH Z
COUNTERBALANCE	K AW N T ER B AE L AH N S
COUNTERBALANCE(2)	K AW N ER B AE L AH N S
COUNTERBALANCED	K AW N T ER B AE L AH N S T
COUNTERBALANCED(2)	K AW N ER B AE L AH N S T
COUNTERBALANCES	K AW N T ER B AE L AH N S IH Z
COUNTERBALANCES(2)	K AW N ER B AE L AH N S IH Z
COUNTEREVIDENCE	K AW N T ER EH V AH D AH N S
COUNTEREVIDENCES	K AW N T ER EH V AH D AH N S IH Z
COUNTERFORCE	K AW N T ER F AO R S
COUNTERFORCES	K AW N T ER F AO R S IH Z
COUNTERINCENTIVE	K AW N T ER IH N S EH N T IH V
COUNTERINCENTIVES	K AW N T ER IH N S EH N T IH V Z
COUNTERINFLUENCE	K AW N T ER IH N F L UW AH N S
COUNTERINFLUENCED	K AW N T ER IH N F L UW AH N S T
COUNTERINFLUENCES	K AW N T ER IH N F L UW AH N S IH Z
COUNTERINSTANCE	K AW N T ER IH N S T AH N S
COUNTERINSTANCES	K AW N T ER IH N S T AH N S IH Z
COUNTERINTELLIGENCE	K AW N T ER IH N T EH L IH JH AH N S
COUNTERINTELLIGENCE(2)	K AW N ER IH N T EH L IH JH AH N S
COUNTERINTELLIGENCES	K AW N T ER IH N T EH L AH JH AH N S IH Z
COUNTERSURVEILLANCE	K AW N T ER S ER V EY L AH N S
COUNTERSURVEILLANCES	K AW N T ER S ER V EY L AH N S IH Z
COUNTERTRANSFERENCE	K AW N T ER T R AE N S F ER AH N S
COUNTERTRANSFERENCES	K AW N T ER T R AE N S F ER AH N S IH Z
COUNTERVIOLENCE	K AW N T ER V AY AH L AH N S
COUNTERVIOLENCES	K AW N T ER V AY AH L AH N S IH Z
COVALENCE	K OW V EY L AH N S
COVALENCES	K OW V EY L AH N S IH Z
COVARIANCE	K OW V EH R IY AH N S
COVARIANCES	K OW V EH R IY AH N S IH Z
COWARDICE	K AW ER D AH S
COWARDICES	K AW ER D AH S IH Z
CRANIOCEREBRAL	K R EY N IY AA S AH R EH B R AH L
CRAWLSPACE	K R AO L S P EY S
CRAWLSPACES	K R AO L S P EY S IH Z
CREDENCE	K R IY D AH N S
CREDENCES	K R EH D AH N S IH Z
CRESCENDI	K R EH S EH N D IY
CRESCENDO	K R IH SH EH N D OW
CRESCENDOED	K R IH SH EH N D OW D
CRESCENDOES	K R IH SH EH N D OW Z
CRESCENDOING	K R IH SH EH N D OW IH NG
CRESCENDOS	K R IH SH EH N D OW Z
CRESCENT	K R EH S AH N T
CRESCENTIC	K R EH S AH N T IH K
CRESCENTS	K R EH S AH N T S
CREVICE	K R EH V AH S
CREVICED	K R EH V AH S T
CREVICES	K R EH V AH S IH Z
CRICETID	K R IH S AH T AH D
CRICETIDS	K R IH S AH T AH D Z
CROCEIN	K R OW S IY N
CROCEINE	K R OW S IY N
CROCEINES	K R OW S IY N Z
CROCEINS	K R OW S IY N Z
CROSSPIECE	K R AO S P IY S
CROSSPIECES	K R AO S P IY S AH Z
CROSSPIECES(2)	K R AO S P IY S IH Z
CRUCES	K R UW S IY Z
CRUSTACEA	K R AH S T EY S IY AH
CRUSTACEAN	K R AH S T EY SH AH N
CRUSTACEANS	K R AH S T EY SH AH N Z
CRUSTACEOUS	K R AH S T EY SH AH S
CULICES	K Y UW L AH S
CURVACEOUS	K ER V EY SH AH S
CYBERSPACE	S AY B ER S P EY S
CYBERSPACES	S AH B AH R S AH S AH Z
CYLICES	S AY L AH S
CYSTICERCI	S IH S T AH S AH R S IY
CYSTICERCOID	S IH S T IH S AH R K OY D
CYSTICERCOIDS	S IH S T IH S AH R K OY D Z
CYSTICERCOSES	S IH S T IH S AH R K OW Z AH Z
CYSTICERCOSIS	S IH S T IH K S ER K OW Z IY Z
CYSTICERCUS	S IH S T AH S AH R K AH S
DACE	D EY S
DACES	D EY S AH Z
DALLIANCE	D AE L IY AH N S
DALLIANCES	D AE L AY AE N S AH Z
DAMASCENE	D AE M AH S IY N
DAMASCENED	D AE M AH S IY N D
DAMASCENES	D AE M AH S IY N Z
DAMASCENING	D AE M AH S IY N IH NG
DANCE	D AE N S
DANCEABLE	D AE N S AH B AH L
DANCED	D AE N S T
DANCER	D AE N S ER
DANCERS	D AE N S ER Z
DANCES	D AE N S AH Z
DANCES(2)	D AE N S IH Z
DECADENCE	D EH K AH D AH N S
DECADENCES	D EH K AH D AH N S IH Z
DECEASE	D IH S IY S
DECEASED	D IH S IY S T
DECEASES	D IY S IY S IH Z
DECEASING	D IY S IY S IH NG
DECEDENT	D EH S IY D AH N T
DECEDENTS	D EH S IY D AH N T S
DECEIT	D IH S IY T
DECEITFUL	D IH S IY T F AH L
DECEITFULLY	D AH S IY T F AH L IY
DECEITFULNESS	D AH S IY T F AH L N AH S
DECEITFULNESSES	D AH S IY T F AH L N AH S IH Z
DECEITS	D IH S IY T S
DECEIVABLE	D IH S IY V AH B AH L
DECEIVE	D IH S IY V
DECEIVED	D IH S IY V D
DECEIVER	D IH S IY V ER
DECEIVERS	D IH S IY V ER Z
DECEIVES	D IH S IY V Z
DECEIVING	D IH S IY V IH NG
DECEIVINGLY	D IH S IY V IH NG L IY
DECELERATE	D IH S EH L ER EY T
DECELERATED	D IH S EH L ER EY T IH D
DECELERATES	D IY S EH L AH R EY T S
DECELERATING	D IH S EH L ER EY T IH NG
DECELERATION	D IH S EH L ER EY SH AH N
DECELERATIONS	D IY S EH L AH R EY SH AH N Z
DECELERATOR	D IY S EH L AH R EY T ER
DECELERATORS	D IY S EH L AH R EY T ER Z
DECEMVIR	D AH S EH M V AH R
DECEMVIRAL	D AH S EH M V AH R AH L
DECEMVIRATE	D AH S EH M V AH R EY T
DECEMVIRATES	D AH S EH M V AH R EY T S
DECEMVIRI	D AH S EH M V AH R IY
DECEMVIRS	D AH S EH M V AH R Z
DECENARIES	D IY S AH N EH R IY Z
DECENARY	D IY S AH N EH R IY
DECENCIES	D IY S AH N S IY Z
DECENCY	D IY S AH N S IY
DECENNIA	D AH S EH N IY AH
DECENNIAL	D AH S EH N IY AH L
DECENNIALLY	D IY S AH N IY AH L IY
DECENNIALS	D IY S AH N IY AH L Z
DECENNIUM	D AH S EH N IY AH M
DECENNIUMS	D AH S EH N IY AH M Z
DECENT	D IY S AH N T
DECENTER	D IY S EH N T ER
DECENTERED	D IY S EH N T ER D
DECENTERING	D IY S EH N T ER IH NG
DECENTERS	D IY S EH N T ER Z
DECENTEST	D IY S AH N T AH S T
DECENTLY	D IY S AH N T L IY
DECENTRALIZATION	D IH S EH N T R AH L IH Z EY SH AH N
DECENTRALIZATIONS	D IY S EH N T R AH L AH Z EY SH AH N Z
DECENTRALIZE	D IH S EH N T R AH L AY Z
DECENTRALIZED	D IH S EH N T R AH L AY Z D
DECENTRALIZES	D IY S EH N T R AH L AY Z IH Z
DECENTRALIZING	D IH S EH N T R AH L AY Z IH NG
DECENTRE	D IY S EH N T ER
DECENTRED	D IY S EH N T ER D
DECENTRES	D IY S EH N T ER Z
DECENTRING	D IY S EH N T ER IH NG
DECEPTION	D IH S EH P SH AH N
DECEPTIONAL	D IH S EH P SH AH N AH L
DECEPTIONS	D IH S EH P SH AH N Z
DECEPTIVE	D IH S EH P T IH V
